Year,Территория,Пол,GeoCode,Value
2007,,,,115.478276
2008,,,,106.340082
2009,,,,103.932976
2010,,,,101.138775
2011,,,,100.367124
2012,,,,104.342194
2013,,,,102.43272
2014,,,,101.065558
2015,,,,98.249685
2016,,,,93.423511
2017,,,,90.6
2018,,,,83.012882
2019,,,,78.928029
2020,,,,53.463697
2021,,,,58.143497
2007,,Женщины,,91.061332
2008,,Женщины,,85.809103
2009,,Женщины,,85.417204
2010,,Женщины,,84.9
2011,,Женщины,,81.94725
2012,,Женщины,,85.223608
2013,,Женщины,,87.8
2014,,Женщины,,88.7
2015,,Женщины,,83.7
2016,,Женщины,,81.7
2017,,Женщины,,77.7
2018,,Женщины,,69.02199
2019,,Женщины,,66.863517
2020,,Женщины,,46.052047
2021,,Женщины,,50.405858
2007,,Мужчины,,140.46199
2008,,Мужчины,,127.338423
2009,,Мужчины,,122.936319
2010,,Мужчины,,117.8
2011,,Мужчины,,119.256007
2012,,Мужчины,,123.922984
2013,,Мужчины,,117.4
2014,,Мужчины,,113.7
2015,,Мужчины,,113.1
2016,,Мужчины,,105.3
2017,,Мужчины,,103.8
2018,,Мужчины,,97.234292
2019,,Мужчины,,91.178105
2020,,Мужчины,,60.767053
2021,,Мужчины,,65.99579
2007,Баткенская область,,KG05,80.315042
2008,Баткенская область,,KG05,81.679899
2009,Баткенская область,,KG05,82.704723
2010,Баткенская область,,KG05,81.83755
2011,Баткенская область,,KG05,78.880836
2012,Баткенская область,,KG05,90.334237
2013,Баткенская область,,KG05,90.032265
2014,Баткенская область,,KG05,86.073371
2015,Баткенская область,,KG05,72.743563
2016,Баткенская область,,KG05,67.061001
2017,Баткенская область,,KG05,70.8
2018,Баткенская область,,KG05,64.887679
2019,Баткенская область,,KG05,55.906409
2020,Баткенская область,,KG05,46.609654
2021,Баткенская область,,KG05,47.339416
2007,Баткенская область,Женщины,KG05,70.837249
2008,Баткенская область,Женщины,KG05,67.323067
2009,Баткенская область,Женщины,KG05,81.332337
2010,Баткенская область,Женщины,KG05,62.3
2011,Баткенская область,Женщины,KG05,63.9
2012,Баткенская область,Женщины,KG05,79.7
2013,Баткенская область,Женщины,KG05,81.0
2014,Баткенская область,Женщины,KG05,78.8
2015,Баткенская область,Женщины,KG05,63.1
2016,Баткенская область,Женщины,KG05,66.6
2017,Баткенская область,Женщины,KG05,65.7
2018,Баткенская область,Женщины,KG05,60.420827
2019,Баткенская область,Женщины,KG05,45.279254
2020,Баткенская область,Женщины,KG05,39.785592
2021,Баткенская область,Женщины,KG05,44.184574
2007,Баткенская область,Мужчины,KG05,89.745096
2008,Баткенская область,Мужчины,KG05,95.98673
2009,Баткенская область,Мужчины,KG05,84.03016
2010,Баткенская область,Мужчины,KG05,100.8
2011,Баткенская область,Мужчины,KG05,93.4
2012,Баткенская область,Мужчины,KG05,100.7
2013,Баткенская область,Мужчины,KG05,98.8
2014,Баткенская область,Мужчины,KG05,93.2
2015,Баткенская область,Мужчины,KG05,82.0
2016,Баткенская область,Мужчины,KG05,67.5
2017,Баткенская область,Мужчины,KG05,75.7
2018,Баткенская область,Мужчины,KG05,69.192377
2019,Баткенская область,Мужчины,KG05,66.139521
2020,Баткенская область,Мужчины,KG05,53.693997
2021,Баткенская область,Мужчины,KG05,50.379264
2007,Джалал-Абадская область,,KG03,91.916186
2008,Джалал-Абадская область,,KG03,88.339312
2009,Джалал-Абадская область,,KG03,87.787489
2010,Джалал-Абадская область,,KG03,85.931674
2011,Джалал-Абадская область,,KG03,82.549369
2012,Джалал-Абадская область,,KG03,86.910818
2013,Джалал-Абадская область,,KG03,80.886516
2014,Джалал-Абадская область,,KG03,85.34428
2015,Джалал-Абадская область,,KG03,76.512241
2016,Джалал-Абадская область,,KG03,84.915163
2017,Джалал-Абадская область,,KG03,80.2
2018,Джалал-Абадская область,,KG03,73.346827
2019,Джалал-Абадская область,,KG03,68.97159
2020,Джалал-Абадская область,,KG03,49.13246
2021,Джалал-Абадская область,,KG03,54.819948
2007,Джалал-Абадская область,Женщины,KG03,75.21801
2008,Джалал-Абадская область,Женщины,KG03,71.207543
2009,Джалал-Абадская область,Женщины,KG03,71.790057
2010,Джалал-Абадская область,Женщины,KG03,74.3
2011,Джалал-Абадская область,Женщины,KG03,72.983333
