Year,Type of product,Value
2018,Grain and processed products,166
2019,Grain and processed products,187
2020,Grain and processed products,216
2021,Grain and processed products,355
2022,Grain and processed products,329
2023,Grain and processed products,348
2018,Wheat and wheat products in flour equivalent,473
2019,Wheat and wheat products in flour equivalent,528
2020,Wheat and wheat products in flour equivalent,576
2021,Wheat and wheat products in flour equivalent,1049
2022,Wheat and wheat products in flour equivalent,754
2023,Wheat and wheat products in flour equivalent,1085
2018,Fruits-berries and processed products,379
2019,Fruits-berries and processed products,688
2020,Fruits-berries and processed products,461
2021,Fruits-berries and processed products,665
2022,Fruits-berries and processed products,661
2023,Fruits-berries and processed products,812
2018,Potatoes and processed products,7
2019,Potatoes and processed products,10
2020,Potatoes and processed products,13
2021,Potatoes and processed products,27
2022,Potatoes and processed products,32
2023,Potatoes and processed products,25
2018,Vegetables and processed products,39
2019,Vegetables and processed products,60
2020,Vegetables and processed products,70
2021,Vegetables and processed products,87
2022,Vegetables and processed products,106
2023,Vegetables and processed products,111
2018,"Meat and meat products in meat equivalent, including bacon and offal",150
2019,"Meat and meat products in meat equivalent, including bacon and offal",187
2020,"Meat and meat products in meat equivalent, including bacon and offal",166
2021,"Meat and meat products in meat equivalent, including bacon and offal",192
2022,"Meat and meat products in meat equivalent, including bacon and offal",235
2023,"Meat and meat products in meat equivalent, including bacon and offal",234
2018,Milk and dairy products in milk equivalent,10
2019,Milk and dairy products in milk equivalent,18
2020,Milk and dairy products in milk equivalent,32
2021,Milk and dairy products in milk equivalent,18
2022,Milk and dairy products in milk equivalent,18
2023,Milk and dairy products in milk equivalent,20
2018,Eggs and their processed products,6
2019,Eggs and their processed products,68
2020,Eggs and their processed products,116
2021,Eggs and their processed products,163
2022,Eggs and their processed products,292
2023,Eggs and their processed products,323
2018,Sugar,669
2019,Sugar,562
2020,Sugar,497
2021,Sugar,1426
2022,Sugar,1107
2023,Sugar,890
2018,Vegetable oils,3966
2019,Vegetable oils,5287
2020,Vegetable oils,17250
2021,Vegetable oils,10186
2022,Vegetable oils,11200
2023,Vegetable oils,9892
2018,Fish and their processed products,1712
2019,Fish and their processed products,1098
2020,Fish and their processed products,846
2021,Fish and their processed products,301
2022,Fish and their processed products,145
2023,Fish and their processed products,110
