Year,Geographical area,Местность,Возраст,Уровень образования,Функциональные трудности (возраст: 18-49лет),Квинтиль индекса благосостояния,Value
2018,Кыргызская Республика,,,,,,7.7
2018,Кыргызская Республика,Городская,,,,,7.9
2018,Кыргызская Республика,Сельская,,,,,7.6
2018,Batken Oblast,,,,,,0.4
2018,Джалал-Абадская область,,,,,,7.3
2018,Иссык-Кульская область,,,,,,1.7
2018,Нарынская область,,,,,,2.8
2018,Ошская область,,,,,,6.5
2018,Таласская область,,,,,,5.0
2018,Чуйская область,,,,,,16.6
2018,г.Бишкек,,,,,,8.7
2018,г.Ош,,,,,,7.0
2018,Кыргызская Республика,,15-19 лет,,,,6.5
2018,Кыргызская Республика,,15-17 лет,,,,5.7
2018,Кыргызская Республика,,18-19 лет,,,,8.3
2018,Кыргызская Республика,,20-24 лет,,,,9.1
2018,Кыргызская Республика,,25-29 лет,,,,7.1
2018,Кыргызская Республика,,30-34 лет,,,,8.8
2018,Кыргызская Республика,,35-39 лет,,,,8.7
2018,Кыргызская Республика,,40-44 лет,,,,6.4
2018,Кыргызская Республика,,45-49 лет,,,,7.0
2018,Кыргызская Республика,,,Основное общее,,,14.0
2018,Кыргызская Республика,,,Среднее общее,,,5.9
2018,Кыргызская Республика,,,Профессиональное начальное/среднее,,,6.9
2018,Кыргызская Республика,,,Высшее,,,8.2
2018,Кыргызская Республика,,,,Есть,,20.7
2018,Кыргызская Республика,,,,Нет,,7.6
2018,Кыргызская Республика,,,,,Беднейший,6.0
2018,Кыргызская Республика,,,,,Второй,6.7
2018,Кыргызская Республика,,,,,Средний,9.7
2018,Кыргызская Республика,,,,,Четвертый,7.1
2018,Кыргызская Республика,,,,,Богатейший,8.8
