Year,Observation-level footnotes,SERIES,Reference area,Sex,Age,Degree of urbanisation,Income or wealth quantile,Education level,GeoCode,Value
2014,"According to Multiple Indicator Cluster Survey, 2014",Proportion of children moderately or severely wasted (number),,,,,,,,2.8
2018,"According to Multiple Indicator Cluster Survey, 2018.",Proportion of children moderately or severely wasted (number),,,,,,,,2.0
2014,"According to Multiple Indicator Cluster Survey, 2014",Proportion of children moderately or severely wasted (number),Batken,,,,,,KG05,2.2
2018,"According to Multiple Indicator Cluster Survey, 2018.",Proportion of children moderately or severely wasted (number),Batken,,,,,,KG05,2.3
2014,"According to Multiple Indicator Cluster Survey, 2014",Proportion of children moderately or severely wasted (number),Jalal-Abad,,,,,,KG03,7.9
2018,"According to Multiple Indicator Cluster Survey, 2018.",Proportion of children moderately or severely wasted (number),Jalal-Abad,,,,,,KG03,3.8
2014,"According to Multiple Indicator Cluster Survey, 2014",Proportion of children moderately or severely wasted (number),Issyk-Kul,,,,,,KG02,1.7
2018,"According to Multiple Indicator Cluster Survey, 2018.",Proportion of children moderately or severely wasted (number),Issyk-Kul,,,,,,KG02,2.1
2014,"According to Multiple Indicator Cluster Survey, 2014",Proportion of children moderately or severely wasted (number),Naryn,,,,,,KG04,0.5
2018,"According to Multiple Indicator Cluster Survey, 2018.",Proportion of children moderately or severely wasted (number),Naryn,,,,,,KG04,1.1
2014,"According to Multiple Indicator Cluster Survey, 2014",Proportion of children moderately or severely wasted (number),Osh,,,,,,KG06,1.1
2018,"According to Multiple Indicator Cluster Survey, 2018.",Proportion of children moderately or severely wasted (number),Osh,,,,,,KG06,1.6
2014,"According to Multiple Indicator Cluster Survey, 2014",Proportion of children moderately or severely wasted (number),Talas,,,,,,KG07,1.0
2018,"According to Multiple Indicator Cluster Survey, 2018.",Proportion of children moderately or severely wasted (number),Talas,,,,,,KG07,2.9
2014,"According to Multiple Indicator Cluster Survey, 2014",Proportion of children moderately or severely wasted (number),Chui,,,,,,KG08,1.5
2018,"According to Multiple Indicator Cluster Survey, 2018.",Proportion of children moderately or severely wasted (number),Chui,,,,,,KG08,1.5
2014,"According to Multiple Indicator Cluster Survey, 2014",Proportion of children moderately or severely wasted (number),Bishkek (city),,,,,,KG11,2.1
2018,"According to Multiple Indicator Cluster Survey, 2018.",Proportion of children moderately or severely wasted (number),Bishkek (city),,,,,,KG11,0.6
2014,"According to Multiple Indicator Cluster Survey, 2014",Proportion of children moderately or severely wasted (number),Osh (city),,,,,,KG21,2.4
2018,"According to Multiple Indicator Cluster Survey, 2018.",Proportion of children moderately or severely wasted (number),Osh (city),,,,,,KG21,1.8
2014,"According to Multiple Indicator Cluster Survey, 2014",Proportion of children moderately or severely wasted (number),,Male,,,,,,2.8
2018,"According to Multiple Indicator Cluster Survey, 2018.",Proportion of children moderately or severely wasted (number),,Male,,,,,,2.0
2014,"According to Multiple Indicator Cluster Survey, 2014",Proportion of children moderately or severely wasted (number),,Female,,,,,,2.9
2018,"According to Multiple Indicator Cluster Survey, 2018.",Proportion of children moderately or severely wasted (number),,Female,,,,,,2.1
2014,"According to Multiple Indicator Cluster Survey, 2014",Proportion of children moderately or severely wasted (number),,,,Urban,,,,2.6
2018,"According to Multiple Indicator Cluster Survey, 2018.",Proportion of children moderately or severely wasted (number),,,,Urban,,,,1.8
2014,"According to Multiple Indicator Cluster Survey, 2014",Proportion of children moderately or severely wasted (number),,,,Rural,,,,2.9
2018,"According to Multiple Indicator Cluster Survey, 2018.",Proportion of children moderately or severely wasted (number),,,,Rural,,,,2.1
2014,"According to Multiple Indicator Cluster Survey, 2014",Proportion of children moderately or severely wasted (number),,,0 to 5 months old,,,,,6.5
2018,"According to Multiple Indicator Cluster Survey, 2018.",Proportion of children moderately or severely wasted (number),,,0 to 5 months old,,,,,5.1
2014,"According to Multiple Indicator Cluster Survey, 2014",Proportion of children moderately or severely wasted (number),,,6 to 11 months old,,,,,3.1
2018,"According to Multiple Indicator Cluster Survey, 2018.",Proportion of children moderately or severely wasted (number),,,6 to 11 months old,,,,,3.0
2014,"According to Multiple Indicator Cluster Survey, 2014",Proportion of children moderately or severely wasted (number),,,12 to 17 months old,,,,,2.3
2018,"According to Multiple Indicator Cluster Survey, 2018.",Proportion of children moderately or severely wasted (number),,,12 to 17 months old,,,,,3.2
2014,"According to Multiple Indicator Cluster Survey, 2014",Proportion of children moderately or severely wasted (number),,,18 to 23 months old,,,,,2.2
2018,"According to Multiple Indicator Cluster Survey, 2018.",Proportion of children moderately or severely wasted (number),,,18 to 23 months old,,,,,0.9
2014,"According to Multiple Indicator Cluster Survey, 2014",Proportion of children moderately or severely wasted (number),,,24 to 35 months old,,,,,1.6
