Year,SERIES,Value
2013,Proportion of employed in small-sized enterprises in total employment,2.3
2014,Proportion of employed in small-sized enterprises in total employment,2.3
2015,Proportion of employed in small-sized enterprises in total employment,2.2
2016,Proportion of employed in small-sized enterprises in total employment,2.2
2017,Proportion of employed in small-sized enterprises in total employment,2.3
2018,Proportion of employed in small-sized enterprises in total employment,2.2
2019,Proportion of employed in small-sized enterprises in total employment,3.0
2013,Proportion of employed in medium-sized enterprises in total employment,1.6
2014,Proportion of employed in medium-sized enterprises in total employment,1.6
2015,Proportion of employed in medium-sized enterprises in total employment,1.5
2016,Proportion of employed in medium-sized enterprises in total employment,1.5
2017,Proportion of employed in medium-sized enterprises in total employment,1.5
2018,Proportion of employed in medium-sized enterprises in total employment,1.4
2019,Proportion of employed in medium-sized enterprises in total employment,1.4
