Year,SERIES,Reference area,GeoCode,Value
2007,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),,,94.1
2008,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),,,95.3
2009,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),,,95.4
2010,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),,,96.5
2011,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),,,95.1
2012,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),,,96.2
2013,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),,,96.9
2014,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),,,95.8
2015,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),,,96.6
2016,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),,,96.1
2017,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),,,93.4
2018,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),,,94.5
2019,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),,,94.351083
2020,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),,,88.157251
2021,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),,,88.796593
2007,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Batken,KG05,93.4
2008,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Batken,KG05,96.8
2009,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Batken,KG05,95.4
2010,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Batken,KG05,96.8
2011,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Batken,KG05,96.7
2012,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Batken,KG05,98.3
2013,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Batken,KG05,97.7
2014,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Batken,KG05,98.9
2015,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Batken,KG05,98.6
2016,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Batken,KG05,98.1
2017,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Batken,KG05,96.7
2018,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Batken,KG05,96.6
2019,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Batken,KG05,98.322619
2020,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Batken,KG05,91.684706
2021,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Batken,KG05,86.908583
2007,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Jalal-Abad,KG03,93.6
2008,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Jalal-Abad,KG03,95.6
2009,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Jalal-Abad,KG03,95.9
2010,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Jalal-Abad,KG03,95.9
2011,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Jalal-Abad,KG03,94.2
2012,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Jalal-Abad,KG03,95.9
2013,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Jalal-Abad,KG03,97.8
2014,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Jalal-Abad,KG03,94.8
2015,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Jalal-Abad,KG03,96.1
2016,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Jalal-Abad,KG03,95.8
2017,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Jalal-Abad,KG03,93.8
2018,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Jalal-Abad,KG03,96.1
2019,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Jalal-Abad,KG03,90.174029
2020,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Jalal-Abad,KG03,87.415504
2021,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Jalal-Abad,KG03,89.680107
2007,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Issyk-Kul,KG02,93.9
2008,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Issyk-Kul,KG02,95.2
2009,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Issyk-Kul,KG02,95.3
2010,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Issyk-Kul,KG02,97.2
2011,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Issyk-Kul,KG02,93.6
2012,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Issyk-Kul,KG02,96.9
2013,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Issyk-Kul,KG02,97.3
