Year,Reference area,Sex,GeoCode,Value
2007,,,,35.3
2008,,,,31.5
2009,,,,29.3
2010,,,,26.5
2011,,,,24.54
2012,,,,23.4
2013,,,,23.29
2014,,,,23.14
2015,,,,21.5
2016,,,,19.8
2017,,,,18.5
2018,,,,17.6
2019,,,,17.5
2020,,,,16.7
2021,,,,17.92
2010,,Male,,29.2
2011,,Male,,27.13
2012,,Male,,25.94
2013,,Male,,25.72
2014,,Male,,24.9
2015,,Male,,23.2
2016,,Male,,21.1
2017,,Male,,20.3
2018,,Male,,19.4
2019,,Male,,19.2
2020,,Male,,17.8
2021,,Male,,19.65
2010,,Female,,23.6
2011,,Female,,21.81
2012,,Female,,20.78
2013,,Female,,20.72
2014,,Female,,21.2
2015,,Female,,19.6
2016,,Female,,18.4
2017,,Female,,16.6
2018,,Female,,15.6
2019,,Female,,15.8
2020,,Female,,15.6
2021,,Female,,16.08
2007,Batken,,KG05,40.3
2008,Batken,,KG05,39.7
2009,Batken,,KG05,33.7
2010,Batken,,KG05,34.3
2011,Batken,,KG05,28.73
2012,Batken,,KG05,25.9
2013,Batken,,KG05,25.75
2014,Batken,,KG05,23.6
2015,Batken,,KG05,21.8
2016,Batken,,KG05,18.8
2017,Batken,,KG05,18.6
2018,Batken,,KG05,14.9
2019,Batken,,KG05,17.7
2020,Batken,,KG05,16.7
2021,Batken,,KG05,16.86
2010,Batken,Male,KG05,38.0
2011,Batken,Male,KG05,30.39
2012,Batken,Male,KG05,30.3
2013,Batken,Male,KG05,28.79
2014,Batken,Male,KG05,26.2
2015,Batken,Male,KG05,23.3
2016,Batken,Male,KG05,20.0
2017,Batken,Male,KG05,19.5
2018,Batken,Male,KG05,16.0
2019,Batken,Male,KG05,18.5
2020,Batken,Male,KG05,17.1
2021,Batken,Male,KG05,17.26
2010,Batken,Female,KG05,30.5
2011,Batken,Female,KG05,26.96
2012,Batken,Female,KG05,21.3
2013,Batken,Female,KG05,22.48
2014,Batken,Female,KG05,20.8
2015,Batken,Female,KG05,20.1
2016,Batken,Female,KG05,18.4
2017,Batken,Female,KG05,17.7
2018,Batken,Female,KG05,13.7
2019,Batken,Female,KG05,16.8
2020,Batken,Female,KG05,16.3
2021,Batken,Female,KG05,16.44
2007,Jalal-Abad,,KG03,30.8
2008,Jalal-Abad,,KG03,26.2
2009,Jalal-Abad,,KG03,24.5
2010,Jalal-Abad,,KG03,21.9
2011,Jalal-Abad,,KG03,20.65
2012,Jalal-Abad,,KG03,19.8
2013,Jalal-Abad,,KG03,20.95
2014,Jalal-Abad,,KG03,21.9
2015,Jalal-Abad,,KG03,21.1
2016,Jalal-Abad,,KG03,19.8
2017,Jalal-Abad,,KG03,17.2
2018,Jalal-Abad,,KG03,15.7
2019,Jalal-Abad,,KG03,16.2
2020,Jalal-Abad,,KG03,15.5
2021,Jalal-Abad,,KG03,17.4
2010,Jalal-Abad,Male,KG03,23.8
2011,Jalal-Abad,Male,KG03,23.26
2012,Jalal-Abad,Male,KG03,22.4
2013,Jalal-Abad,Male,KG03,21.53
2014,Jalal-Abad,Male,KG03,23.3
2015,Jalal-Abad,Male,KG03,22.5
2016,Jalal-Abad,Male,KG03,21.0
2017,Jalal-Abad,Male,KG03,18.9
2018,Jalal-Abad,Male,KG03,16.3
2019,Jalal-Abad,Male,KG03,16.6
2020,Jalal-Abad,Male,KG03,16.2
2021,Jalal-Abad,Male,KG03,18.1
2010,Jalal-Abad,Female,KG03,19.9
2011,Jalal-Abad,Female,KG03,17.91
2012,Jalal-Abad,Female,KG03,17.1
2013,Jalal-Abad,Female,KG03,20.34
2014,Jalal-Abad,Female,KG03,20.3
2015,Jalal-Abad,Female,KG03,19.6
2016,Jalal-Abad,Female,KG03,18.4
2017,Jalal-Abad,Female,KG03,15.4
2018,Jalal-Abad,Female,KG03,15.0
2019,Jalal-Abad,Female,KG03,15.7
2020,Jalal-Abad,Female,KG03,14.7
2021,Jalal-Abad,Female,KG03,16.63
2007,Issyk-Kul,,KG02,28.9
2008,Issyk-Kul,,KG02,28.0
2009,Issyk-Kul,,KG02,24.9
2010,Issyk-Kul,,KG02,22.3
2011,Issyk-Kul,,KG02,24.81
2012,Issyk-Kul,,KG02,24.0
2013,Issyk-Kul,,KG02,19.47
2014,Issyk-Kul,,KG02,16.9
2015,Issyk-Kul,,KG02,18.8
