Year,Reference area,Degree of urbanisation,Value
2013,,,17.5
2014,,,19.5
2015,,,19.9
2016,,,22.1
2017,,,23.5
2013,,Urban,31.6
2014,,Urban,32.3
2015,,Urban,31.1
2016,,Urban,32.3
2017,,Urban,34.2
2013,,Regional,10.8
2014,,Regional,13.2
2015,,Regional,14.2
2016,,Regional,16.6
2017,,Regional,17.9
2013,Batken,,16.1
2014,Batken,,19.6
2015,Batken,,20.6
2016,Batken,,23.9
2017,Batken,,25.8
2013,Batken,Urban,33.3
2014,Batken,Urban,33.1
2015,Batken,Urban,30.5
2016,Batken,Urban,32.8
2017,Batken,Urban,33.2
2013,Batken,Regional,10.2
2014,Batken,Regional,14.6
2015,Batken,Regional,16.7
2016,Batken,Regional,20.5
2017,Batken,Regional,23.0
2013,Jalal-Abad,,15.2
2014,Jalal-Abad,,15.5
2015,Jalal-Abad,,16.1
2016,Jalal-Abad,,18.7
2017,Jalal-Abad,,20.2
2013,Jalal-Abad,Urban,27.4
2014,Jalal-Abad,Urban,28.5
2015,Jalal-Abad,Urban,28.4
2016,Jalal-Abad,Urban,30.6
2017,Jalal-Abad,Urban,32.8
2013,Jalal-Abad,Regional,10.3
2014,Jalal-Abad,Regional,11.8
2015,Jalal-Abad,Regional,12.6
2016,Jalal-Abad,Regional,15.1
2017,Jalal-Abad,Regional,16.5
2013,Issyk-Kul,,17.4
2014,Issyk-Kul,,18.8
2015,Issyk-Kul,,20.9
2016,Issyk-Kul,,24.1
2017,Issyk-Kul,,25.8
2013,Issyk-Kul,Urban,34.2
2014,Issyk-Kul,Urban,33.3
2015,Issyk-Kul,Urban,34.6
2016,Issyk-Kul,Urban,38.8
2017,Issyk-Kul,Urban,41.1
2013,Issyk-Kul,Regional,9.4
2014,Issyk-Kul,Regional,11.1
2015,Issyk-Kul,Regional,12.8
2016,Issyk-Kul,Regional,15.8
2017,Issyk-Kul,Regional,17.7
2013,Naryn,,19.6
2014,Naryn,,25.7
2015,Naryn,,22.3
2016,Naryn,,26.6
2017,Naryn,,31.6
2013,Naryn,Urban,32.6
2014,Naryn,Urban,36.8
2015,Naryn,Urban,17.2
2016,Naryn,Urban,39.7
2017,Naryn,Urban,44.8
2013,Naryn,Regional,17.5
2014,Naryn,Regional,23.7
2015,Naryn,Regional,9.8
2016,Naryn,Regional,24.3
2017,Naryn,Regional,29.2
2013,Osh,,11.6
2014,Osh,,13.1
2015,Osh,,14.3
2016,Osh,,16.3
2017,Osh,,17.2
2013,Osh,Urban,15.0
2014,Osh,Urban,16.4
2015,Osh,Urban,15.2
2016,Osh,Urban,18.1
2017,Osh,Urban,17.7
2013,Osh,Regional,11.4
2014,Osh,Regional,12.9
2015,Osh,Regional,14.2
2016,Osh,Regional,16.2
2017,Osh,Regional,17.2
2013,Talas,,14.4
2014,Talas,,17.0
2015,Talas,,20.6
2016,Talas,,20.8
2017,Talas,,22.2
2013,Talas,Urban,49.4
2014,Talas,Urban,58.4
2015,Talas,Urban,66.1
2016,Talas,Urban,65.6
2017,Talas,Urban,67.1
2013,Talas,Regional,10.3
2014,Talas,Regional,12.3
2015,Talas,Regional,15.8
2016,Talas,Regional,16.0
2017,Talas,Regional,17.3
2013,Chui,,12.5
2014,Chui,,16.0
2015,Chui,,16.5
2016,Chui,,18.5
2017,Chui,,19.3
2013,Chui,Urban,24.3
2014,Chui,Urban,27.6
2015,Chui,Urban,26.3
2016,Chui,Urban,30.0
2017,Chui,Urban,32.3
2013,Chui,Regional,9.3
2014,Chui,Regional,12.6
2015,Chui,Regional,13.3
2016,Chui,Regional,14.9
2017,Chui,Regional,15.5
2013,Bishkek (city),Urban,31.0
2014,Bishkek (city),Urban,29.4
2015,Bishkek (city),Urban,27.9
2016,Bishkek (city),Urban,28.0
2017,Bishkek (city),Urban,29.6
2013,Osh (city),Urban,41.9
2014,Osh (city),Urban,49.7
2015,Osh (city),Urban,48.2
2016,Osh (city),Urban,49.4
2017,Osh (city),Urban,47.9
