Year,Unnamed: 0,Unnamed: 1,Unnamed: 2,Geographical area,Местность,Sex,Возраст,Уровень образования,Value
2018,,,,Кыргызская Республика,,,,,57.9
2018,,,,Кыргызская Республика,Городская,,,,50.7
2018,,,,Кыргызская Республика,Сельская,,,,62.8
2018,,,,Кыргызская Республика,,Мужской,,,67.4
2018,,,,Кыргызская Республика,,Женский,,,44.7
2018,,,,Batken Oblast,,,,,63.7
2018,,,,Джалал-Абадская область,,,,,46.2
2018,,,,Иссык-Кульская область,,,,,69.3
2018,,,,Нарынская область,,,,,71.9
2018,,,,Ошская область,,,,,70.4
2018,,,,Таласская область,,,,,73.3
2018,,,,Чуйская область,,,,,69.3
2018,,,,г.Бишкек,,,,,31.2
2018,,,,г.Ош,,,,,86.7
2018,,,,Кыргызская Республика,,,"Молодёжь, 15-28 лет",,56.6
2018,,,,Кыргызская Республика,,,Взрослое население трудоспособного возраста (от 29 лет),,59.4
2018,,,,Кыргызская Республика,,,Старше трудоспособного возраста,,54.1
2018,,,,Кыргызская Республика,,,,Начальное и ниже,58.8
2018,,,,Кыргызская Республика,,,,Основное общее,63.3
2018,,,,Кыргызская Республика,,,,Среднее общее,57.7
2018,,,,Кыргызская Республика,,,,"Профессиональное среднее, общее",59.7
2018,,,,Кыргызская Республика,,,,Профессиональное высшее,53.7
