Year,Frequency of observation,Reference area,Value
2015,Annual,,235
2016,Annual,,285
2017,Annual,,311
2018,Annual,,273
2019,"Half-yearly, semester",,273
2015,Annual,Batken,294
2016,Annual,Batken,479
2017,Annual,Batken,462
2018,Annual,Batken,426
2019,"Half-yearly, semester",Batken,400
2015,Annual,Bishkek (city),436
2016,Annual,Bishkek (city),372
2017,Annual,Bishkek (city),354
2018,Annual,Bishkek (city),327
2019,"Half-yearly, semester",Bishkek (city),360
2015,Annual,Chui,-15
2016,Annual,Chui,166
2017,Annual,Chui,295
2018,Annual,Chui,195
2019,"Half-yearly, semester",Chui,252
2015,Annual,Issyk-Kul,206
2016,Annual,Issyk-Kul,199
2017,Annual,Issyk-Kul,285
2018,Annual,Issyk-Kul,307
2019,"Half-yearly, semester",Issyk-Kul,375
2015,Annual,Jalal-Abad,343
2016,Annual,Jalal-Abad,309
2017,Annual,Jalal-Abad,327
2018,Annual,Jalal-Abad,279
2019,"Half-yearly, semester",Jalal-Abad,307
2015,Annual,Naryn,364
2016,Annual,Naryn,341
2017,Annual,Naryn,312
2018,Annual,Naryn,341
2019,"Half-yearly, semester",Naryn,355
2015,Annual,Osh,314
2016,Annual,Osh,256
2017,Annual,Osh,385
2018,Annual,Osh,355
2019,"Half-yearly, semester",Osh,325
2015,Annual,Osh (city),96
2016,Annual,Osh (city),126
2017,Annual,Osh (city),163
2018,Annual,Osh (city),129
2019,"Half-yearly, semester",Osh (city),113
2015,Annual,Talas,169
2016,Annual,Talas,408
2017,Annual,Talas,429
2018,Annual,Talas,383
2019,"Half-yearly, semester",Talas,366
