Year,Economic activity,Value
2007,,78.2
2008,,54.3
2009,,48.7
2010,,45.5
2011,,42.0
2012,,35.3
2013,,31.4
2014,,26.1
2015,,26.7
2016,,22.0
2017,,25.3
2018,,25.5
2019,,20.5
2020,,20.5
2021,,17.9
2022,,13.5
2023,,10.548987
2012,"Agriculture, forestry and fishing",1.2
2013,"Agriculture, forestry and fishing",1.4
2014,"Agriculture, forestry and fishing",1.4
2015,"Agriculture, forestry and fishing",1.1
2016,"Agriculture, forestry and fishing",1.1
2017,"Agriculture, forestry and fishing",1.1
2018,"Agriculture, forestry and fishing",1.1
2019,"Agriculture, forestry and fishing",1.0
2020,"Agriculture, forestry and fishing",0.9
2021,"Agriculture, forestry and fishing",0.7
2022,"Agriculture, forestry and fishing",0.608385
2023,"Agriculture, forestry and fishing",0.527722
2012,Mining and quarrying,44.5
2013,Mining and quarrying,56.5
2014,Mining and quarrying,83.6
2015,Mining and quarrying,55.4
2016,Mining and quarrying,37.7
2017,Mining and quarrying,22.8
2018,Mining and quarrying,30.3
2019,Mining and quarrying,23.6
2020,Mining and quarrying,24.4
2021,Mining and quarrying,10.6
2022,Mining and quarrying,9.780943
2023,Mining and quarrying,8.31328
2012,"Electricity, gas, steam and air conditioning supply",264.3
2013,"Electricity, gas, steam and air conditioning supply",282.6
2014,"Electricity, gas, steam and air conditioning supply",254.1
2015,"Electricity, gas, steam and air conditioning supply",201.4
2016,"Electricity, gas, steam and air conditioning supply",195.8
2017,"Electricity, gas, steam and air conditioning supply",174.5
2018,"Electricity, gas, steam and air conditioning supply",149.3
2019,"Electricity, gas, steam and air conditioning supply",149.5
2020,"Electricity, gas, steam and air conditioning supply",146.5
2021,"Electricity, gas, steam and air conditioning supply",142.2
2022,"Electricity, gas, steam and air conditioning supply",125.758929
2023,"Electricity, gas, steam and air conditioning supply",118.532738
