Year,SERIES,Value
2007,Number of appeals to the Ombudsman,3014
2008,Number of appeals to the Ombudsman,2136
2009,Number of appeals to the Ombudsman,1742
2010,Number of appeals to the Ombudsman,1862
2011,Number of appeals to the Ombudsman,2098
2012,Number of appeals to the Ombudsman,2843
2013,Number of appeals to the Ombudsman,2466
2014,Number of appeals to the Ombudsman,2411
2015,Number of appeals to the Ombudsman,2483
2016,Number of appeals to the Ombudsman,3800
2017,Number of appeals to the Ombudsman,3242
2018,Number of appeals to the Ombudsman,3237
2019,Number of appeals to the Ombudsman,3923
2020,Number of appeals to the Ombudsman,3255
2007,Number of successful appeals to the Ombudsman,619
2010,Number of successful appeals to the Ombudsman,309
2011,Number of successful appeals to the Ombudsman,196
2012,Number of successful appeals to the Ombudsman,501
2013,Number of successful appeals to the Ombudsman,384
2015,Number of successful appeals to the Ombudsman,374
2016,Number of successful appeals to the Ombudsman,615
2017,Number of successful appeals to the Ombudsman,531
2018,Number of successful appeals to the Ombudsman,376
2019,Number of successful appeals to the Ombudsman,445
2020,Number of successful appeals to the Ombudsman,343
