Year,Geographical area,Sex,Местность,Возраст (лет),Посещаемость школы,Образование матери,Функциональные трудности у ребенка,Квинтиль индекса благосостояния,Value
2018,Кыргызская Республика,,,,,,,,26.7
2018,Кыргызская Республика,Мужской,,,,,,,33.6
2018,Кыргызская Республика,Женский,,,,,,,19.0
2018,Кыргызская Республика,,Городская,,,,,,11.9
2018,Кыргызская Республика,,Сельская,,,,,,33.6
2018,Batken Oblast,,,,,,,,27.7
2018,Джалал-Абадская область,,,,,,,,34.0
2018,Иссык-Кульская область,,,,,,,,27.0
2018,Нарынская область,,,,,,,,40.5
2018,Ошская область,,,,,,,,33.3
2018,Таласская область,,,,,,,,35.1
2018,Чуйская область,,,,,,,,24.5
2018,г.Бишкек,,,,,,,,7.3
2018,г.Ош,,,,,,,,6.1
2018,Кыргызская Республика,,,5-11,,,,,27.9
2018,Кыргызская Республика,,,12-14,,,,,23.3
2018,Кыргызская Республика,,,15-17,,,,,26.6
2018,Кыргызская Республика,,,,Посещает,,,,27.0
2018,Кыргызская Республика,,,,Не посещает,,,,21.6
2018,Кыргызская Республика,,,,,Основное общее,,,28.7
2018,Кыргызская Республика,,,,,Среднее общее,,,29.2
2018,Кыргызская Республика,,,,,Профессиональное начальное/среднее,,,24.4
2018,Кыргызская Республика,,,,,Высшее,,,23.1
2018,Кыргызская Республика,,,,,,Есть,,34.9
2018,Кыргызская Республика,,,,,,Нет,,25.9
2018,Кыргызская Республика,,,,,,,Беднейший,32.1
2018,Кыргызская Республика,,,,,,,Второй,30.6
2018,Кыргызская Республика,,,,,,,Средний,31.8
2018,Кыргызская Республика,,,,,,,Четвертый,28.0
2018,Кыргызская Республика,,,,,,,Богатейший,6.1
