Year,Sex,Age,Education level,Value
2010,Female,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate),5.4
2013,Female,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate),6.0
2014,Female,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate),5.6
2015,Female,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate),5.8
2016,Female,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate),6.3
2017,Female,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate),6.9
2010,Modeled,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate),12.5
2013,Modeled,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate),12.6
2014,Modeled,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate),12.9
2015,Modeled,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate),13.1
2016,Modeled,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate),14.3
2017,Modeled,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate),14.7
2010,,17 to 20 years old,Short-cycle tertiary education,13.6
2013,,17 to 20 years old,Short-cycle tertiary education,20.3
2014,,17 to 20 years old,Short-cycle tertiary education,21.8
2015,,17 to 20 years old,Short-cycle tertiary education,21.1
2016,,17 to 20 years old,Short-cycle tertiary education,22.0
2017,,17 to 20 years old,Short-cycle tertiary education,22.8
2010,Female,17 to 20 years old,Short-cycle tertiary education,16.0
2013,Female,17 to 20 years old,Short-cycle tertiary education,23.8
2014,Female,17 to 20 years old,Short-cycle tertiary education,24.3
2015,Female,17 to 20 years old,Short-cycle tertiary education,24.2
2016,Female,17 to 20 years old,Short-cycle tertiary education,25.2
2017,Female,17 to 20 years old,Short-cycle tertiary education,26.4
2010,Modeled,17 to 20 years old,Short-cycle tertiary education,130.0
2013,Modeled,17 to 20 years old,Short-cycle tertiary education,113.3
2014,Modeled,17 to 20 years old,Short-cycle tertiary education,113.8
2015,Modeled,17 to 20 years old,Short-cycle tertiary education,116.7
2016,Modeled,17 to 20 years old,Short-cycle tertiary education,115.4
2017,Modeled,17 to 20 years old,Short-cycle tertiary education,116.4
2010,,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),24.3
2013,,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),24.3
2014,,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),23.8
2015,,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),22.6
2016,,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),20.2
2017,,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),19.1
2010,Female,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),26.3
2013,Female,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),26.7
2014,Female,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),26.5
2015,Female,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),24.6
2016,Female,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),22.2
2017,Female,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),20.6
2010,Modeled,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),22.4
2013,Modeled,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),21.8
2014,Modeled,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),21.2
2015,Modeled,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),20.6
2016,Modeled,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),18.3
2017,Modeled,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),17.4
