Year,Reference area,Sex,Age,Value
2010,,,,8.6
2013,,,,8.3
2014,,,,8.0
2015,,,,7.6
2016,,,,7.2
2017,,,,6.9
2018,,,,6.2
2010,,Male,,9.9
2013,,Male,,9.7
2014,,Male,,9.5
2015,,Male,,9.0
2016,,Male,,8.7
2017,,Male,,8.9
2018,,Male,,6.9
2010,,Female,,7.7
2013,,Female,,7.4
2014,,Female,,7.0
2015,,Female,,6.5
2016,,Female,,6.2
2017,,Female,,5.6
2018,,Female,,5.7
2010,Batken,,,10.6
2013,Batken,,,12.7
2014,Batken,,,12.6
2015,Batken,,,10.9
2016,Batken,,,10.2
2017,Batken,,,9.9
2018,Batken,,,9.0
2010,Batken,Male,,15.8
2013,Batken,Male,,18.4
2014,Batken,Male,,18.7
2015,Batken,Male,,16.5
2016,Batken,Male,,15.3
2017,Batken,Male,,16.0
2018,Batken,Male,,12.2
2010,Batken,Female,,7.2
2013,Batken,Female,,9.8
2014,Batken,Female,,9.6
2015,Batken,Female,,7.6
2016,Batken,Female,,7.1
2017,Batken,Female,,6.3
2018,Batken,Female,,7.3
2010,Jalal-Abad,,,7.8
2013,Jalal-Abad,,,8.2
2014,Jalal-Abad,,,7.6
2015,Jalal-Abad,,,7.7
2016,Jalal-Abad,,,7.5
2017,Jalal-Abad,,,7.2
2018,Jalal-Abad,,,6.2
2010,Jalal-Abad,Male,,8.9
2013,Jalal-Abad,Male,,10.3
2014,Jalal-Abad,Male,,10.0
2015,Jalal-Abad,Male,,9.9
2016,Jalal-Abad,Male,,10.3
2017,Jalal-Abad,Male,,10.5
2018,Jalal-Abad,Male,,9.1
2010,Jalal-Abad,Female,,7.1
2013,Jalal-Abad,Female,,6.7
2014,Jalal-Abad,Female,,6.0
2015,Jalal-Abad,Female,,6.1
2016,Jalal-Abad,Female,,5.8
2017,Jalal-Abad,Female,,5.3
2018,Jalal-Abad,Female,,4.7
2010,Issyk-Kul,,,10.2
2013,Issyk-Kul,,,9.5
2014,Issyk-Kul,,,9.3
2015,Issyk-Kul,,,9.1
2016,Issyk-Kul,,,8.9
2017,Issyk-Kul,,,8.7
2018,Issyk-Kul,,,8.4
2010,Issyk-Kul,Male,,10.1
2013,Issyk-Kul,Male,,9.4
2014,Issyk-Kul,Male,,10.1
2015,Issyk-Kul,Male,,9.6
2016,Issyk-Kul,Male,,8.5
2017,Issyk-Kul,Male,,8.0
2018,Issyk-Kul,Male,,4.9
2010,Issyk-Kul,Female,,10.3
2013,Issyk-Kul,Female,,9.5
2014,Issyk-Kul,Female,,8.7
2015,Issyk-Kul,Female,,8.7
2016,Issyk-Kul,Female,,9.1
2017,Issyk-Kul,Female,,9.0
2018,Issyk-Kul,Female,,10.2
2010,Naryn,,,10.3
2013,Naryn,,,9.1
2014,Naryn,,,9.7
2015,Naryn,,,9.3
2016,Naryn,,,9.0
2017,Naryn,,,8.8
2018,Naryn,,,8.8
2010,Naryn,Male,,14.7
2013,Naryn,Male,,14.2
2014,Naryn,Male,,15.4
2015,Naryn,Male,,13.7
2016,Naryn,Male,,14.6
2017,Naryn,Male,,12.3
2018,Naryn,Male,,15.0
2010,Naryn,Female,,8.2
2013,Naryn,Female,,6.8
2014,Naryn,Female,,7.4
2015,Naryn,Female,,7.6
2016,Naryn,Female,,6.6
2017,Naryn,Female,,7.1
2018,Naryn,Female,,6.2
2010,Osh,,,6.61
2013,Osh,,,6.3
2014,Osh,,,6.6
2015,Osh,,,6.0
2016,Osh,,,5.5
2017,Osh,,,5.1
2018,Osh,,,4.2
2010,Osh,Male,,7.8
2013,Osh,Male,,7.4
2014,Osh,Male,,7.3
2015,Osh,Male,,7.7
2016,Osh,Male,,7.1
2017,Osh,Male,,7.7
2018,Osh,Male,,6.6
2010,Osh,Female,,5.9
2013,Osh,Female,,5.6
2014,Osh,Female,,6.0
2015,Osh,Female,,4.8
2016,Osh,Female,,4.4
2017,Osh,Female,,3.5
2018,Osh,Female,,2.7
2010,Talas,,,5.1
2013,Talas,,,3.7
2014,Talas,,,3.9
2015,Talas,,,3.3
2016,Talas,,,2.8
2017,Talas,,,2.5
2018,Talas,,,2.5
2010,Talas,Male,,5.2
2013,Talas,Male,,4.8
2014,Talas,Male,,6.5
2015,Talas,Male,,5.6
2016,Talas,Male,,5.0
2017,Talas,Male,,4.6
2018,Talas,Male,,3.6
2010,Talas,Female,,4.9
2013,Talas,Female,,2.8
2014,Talas,Female,,1.7
2015,Talas,Female,,1.3
2016,Talas,Female,,1.2
2017,Talas,Female,,0.9
2018,Talas,Female,,1.7
2010,Chui,,,10.2
2013,Chui,,,9.8
2014,Chui,,,8.9
2015,Chui,,,8.6
2016,Chui,,,8.4
2017,Chui,,,8.1
2018,Chui,,,7.3
2010,Chui,Male,,11.4
2013,Chui,Male,,10.8
2014,Chui,Male,,9.6
2015,Chui,Male,,8.2
2016,Chui,Male,,8.9
2017,Chui,Male,,9.1
2018,Chui,Male,,7.4
2010,Chui,Female,,9.3
2013,Chui,Female,,9.1
2014,Chui,Female,,8.4
2015,Chui,Female,,8.9
2016,Chui,Female,,8.0
2017,Chui,Female,,7.4
2018,Chui,Female,,7.3
2010,Bishkek (city),,,10.0
2013,Bishkek (city),,,9.4
2014,Bishkek (city),,,8.9
2015,Bishkek (city),,,8.1
2016,Bishkek (city),,,7.7
2017,Bishkek (city),,,7.3
2018,Bishkek (city),,,6.7
2010,Bishkek (city),Male,,10.6
2013,Bishkek (city),Male,,9.7
2014,Bishkek (city),Male,,9.5
2015,Bishkek (city),Male,,8.4
2016,Bishkek (city),Male,,7.6
2017,Bishkek (city),Male,,7.9
2018,Bishkek (city),Male,,5.0
2010,Bishkek (city),Female,,9.5
2013,Bishkek (city),Female,,9.3
2014,Bishkek (city),Female,,8.4
2015,Bishkek (city),Female,,7.7
2016,Bishkek (city),Female,,7.8
2017,Bishkek (city),Female,,6.7
2018,Bishkek (city),Female,,8.2
2013,Osh (city),,,4.6
2014,Osh (city),,,4.2
2015,Osh (city),,,3.9
2016,Osh (city),,,3.6
2017,Osh (city),,,3.5
2018,Osh (city),,,3.0
2013,Osh (city),Male,,3.8
2014,Osh (city),Male,,5.2
2015,Osh (city),Male,,5.6
2016,Osh (city),Male,,6.3
2017,Osh (city),Male,,4.5
2018,Osh (city),Male,,3.5
2013,Osh (city),Female,,5.0
2014,Osh (city),Female,,3.8
2015,Osh (city),Female,,3.1
2016,Osh (city),Female,,2.5
2017,Osh (city),Female,,3.0
2018,Osh (city),Female,,2.7
2010,,,15 to 19 years old,19.1
2013,,,15 to 19 years old,16.2
2014,,,15 to 19 years old,17.7
2015,,,15 to 19 years old,17.3
2016,,,15 to 19 years old,19.9
2017,,,15 to 19 years old,18.3
2018,,,15 to 19 years old,13.9
2010,,,20 to 29 years old,12.4
2013,,,20 to 29 years old,10.4
2014,,,20 to 29 years old,10.2
2015,,,20 to 29 years old,10.5
2016,,,20 to 29 years old,10.4
2017,,,20 to 29 years old,10.2
2018,,,20 to 29 years old,9.5
2010,,,30 to 39 years old,6.2
2013,,,30 to 39 years old,7.2
2014,,,30 to 39 years old,6.7
2015,,,30 to 39 years old,6.2
2016,,,30 to 39 years old,5.9
2017,,,30 to 39 years old,5.4
2018,,,30 to 39 years old,4.6
2010,,,40 to 49 years old,5.9
2013,,,40 to 49 years old,6.4
2014,,,40 to 49 years old,6.7
2015,,,40 to 49 years old,5.8
2016,,,40 to 49 years old,5.3
2017,,,40 to 49 years old,5.3
2018,,,40 to 49 years old,4.3
2010,,,50 to 59 years old,4.8
2013,,,50 to 59 years old,6.1
2014,,,50 to 59 years old,5.1
2015,,,50 to 59 years old,4.2
2016,,,50 to 59 years old,3.5
2017,,,50 to 59 years old,3.8
2018,,,50 to 59 years old,4.2
2010,,,60 to 69 years old,2.3
2013,,,60 to 69 years old,3.2
2014,,,60 to 69 years old,2.6
2015,,,60 to 69 years old,2.8
2016,,,60 to 69 years old,1.3
2017,,,60 to 69 years old,1.6
2018,,,60 to 69 years old,2.7
2010,,,70 years old and over,0.6
2013,,,70 years old and over,1.6
2014,,,70 years old and over,2.8
2015,,,70 years old and over,1.4
2016,,,70 years old and over,0.9
2017,,,70 years old and over,0.3
