Year,Series,Units,Value
2007,Number of pensioners who receive pensions below the subsistence level of the pensioner,Number,313220.0
2008,Number of pensioners who receive pensions below the subsistence level of the pensioner,Number,349682.0
2009,Number of pensioners who receive pensions below the subsistence level of the pensioner,Number,274008.0
2010,Number of pensioners who receive pensions below the subsistence level of the pensioner,Number,282009.0
2011,Number of pensioners who receive pensions below the subsistence level of the pensioner,Number,136292.0
2012,Number of pensioners who receive pensions below the subsistence level of the pensioner,Number,77413.0
2013,Number of pensioners who receive pensions below the subsistence level of the pensioner,Number,180254.0
2014,Number of pensioners who receive pensions below the subsistence level of the pensioner,Number,152940.0
2015,Number of pensioners who receive pensions below the subsistence level of the pensioner,Number,132336.0
2016,Number of pensioners who receive pensions below the subsistence level of the pensioner,Number,142943.0
2017,Number of pensioners who receive pensions below the subsistence level of the pensioner,Number,135927.0
2018,Number of pensioners who receive pensions below the subsistence level of the pensioner,Number,138265.0
2007,Proportion of pensioners who receive pensions below the subsistence level of the pensioner to total population,Percent,5.968864
2008,Proportion of pensioners who receive pensions below the subsistence level of the pensioner to total population,Percent,6.611241000000001
2009,Proportion of pensioners who receive pensions below the subsistence level of the pensioner to total population,Percent,5.109426999999999
2010,Proportion of pensioners who receive pensions below the subsistence level of the pensioner to total population,Percent,5.204752
2011,Proportion of pensioners who receive pensions below the subsistence level of the pensioner to total population,Percent,2.488161
2012,Proportion of pensioners who receive pensions below the subsistence level of the pensioner to total population,Percent,1.394354
2013,Proportion of pensioners who receive pensions below the subsistence level of the pensioner to total population,Percent,3.1204330000000002
2014,Proportion of pensioners who receive pensions below the subsistence level of the pensioner to total population,Percent,2.594375
2015,Proportion of pensioners who receive pensions below the subsistence level of the pensioner to total population,Percent,2.1984619999999997
2016,Proportion of pensioners who receive pensions below the subsistence level of the pensioner to total population,Percent,2.327986
2017,Proportion of pensioners who receive pensions below the subsistence level of the pensioner to total population,Percent,2.1724930000000002
2018,Proportion of pensioners who receive pensions below the subsistence level of the pensioner to total population,Percent,2.163941
2007,Proportion of pensioners who receive pensions below the subsistence level of the pensioner to total number of pensioners,Percent,59.241298
2008,Proportion of pensioners who receive pensions below the subsistence level of the pensioner to total number of pensioners,Percent,61.233202
2009,Proportion of pensioners who receive pensions below the subsistence level of the pensioner to total number of pensioners,Percent,48.534186
2010,Proportion of pensioners who receive pensions below the subsistence level of the pensioner to total number of pensioners,Percent,49.060743
2011,Proportion of pensioners who receive pensions below the subsistence level of the pensioner to total number of pensioners,Percent,22.957535
2012,Proportion of pensioners who receive pensions below the subsistence level of the pensioner to total number of pensioners,Percent,12.62552
2013,Proportion of pensioners who receive pensions below the subsistence level of the pensioner to total number of pensioners,Percent,28.824314
2014,Proportion of pensioners who receive pensions below the subsistence level of the pensioner to total number of pensioners,Percent,24.113101999999998
2015,Proportion of pensioners who receive pensions below the subsistence level of the pensioner to total number of pensioners,Percent,20.458403
2016,Proportion of pensioners who receive pensions below the subsistence level of the pensioner to total number of pensioners,Percent,21.618658
2017,Proportion of pensioners who receive pensions below the subsistence level of the pensioner to total number of pensioners,Percent,20.190277
2018,Proportion of pensioners who receive pensions below the subsistence level of the pensioner to total number of pensioners,Percent,19.898854
