Year,SERIES,Value
2015,Carbon dioxide emissions from fuel combustion,102750
2016,Carbon dioxide emissions from fuel combustion,88405
2017,Carbon dioxide emissions from fuel combustion,94491
2018,Carbon dioxide emissions from fuel combustion,178584
2019,Carbon dioxide emissions from fuel combustion,151724
2020,Carbon dioxide emissions from fuel combustion,147113
2015,Carbon dioxide emissions per unit of GDP,24
2016,Carbon dioxide emissions per unit of GDP,19
2017,Carbon dioxide emissions per unit of GDP,18
2018,Carbon dioxide emissions per unit of GDP,0
2019,Carbon dioxide emissions per unit of GDP,0
2020,Carbon dioxide emissions per unit of GDP,0
2015,Carbon dioxide emissions per unit of manufacturing value added,16
2016,Carbon dioxide emissions per unit of manufacturing value added,13
2017,Carbon dioxide emissions per unit of manufacturing value added,14
2018,Carbon dioxide emissions per unit of manufacturing value added,1
2019,Carbon dioxide emissions per unit of manufacturing value added,1
2020,Carbon dioxide emissions per unit of manufacturing value added,1
