Year,Indicator,Urbanisation,Territory,Возраст,Образование матери,Функциональные трудности ребенка,Функциональные трудности матери,Квинтиль индекса благосостояния,Value
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,Кыргызская Республика,,,,,,57.9
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",городская,Кыргызская Республика,,,,,,66.7
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",сельская,Кыргызская Республика,,,,,,53.8
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,Batken Oblast,,,,,,66.0
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,Джалал-Абадская область,,,,,,50.0
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,Иссык-Кульская область,,,,,,65.0
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,Нарынская область,,,,,,39.0
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,Ошская область,,,,,,55.0
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,Таласская область,,,,,,65.0
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,Чуйская область,,,,,,49.0
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,г. Бишкек,,,,,,74.0
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,г. Ош,,,,,,72.0
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,Кыргызская Республика,В возрасте посещения 2-го/3-го класса,,,,,47.4
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,Кыргызская Республика,8 лет,,,,,43.0
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,Кыргызская Республика,9 лет,,,,,52.3
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,Кыргызская Республика,Посещающие 4-й класс,,,,,58.1
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,Кыргызская Республика,Посещающие 9-й класс,,,,,78.6
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,Кыргызская Республика,,основное общее,,,,51.7
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,Кыргызская Республика,,среднее общее,,,,55.2
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,Кыргызская Республика,,профессиональное начальное/среднее,,,,59.6
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,Кыргызская Республика,,высшее,,,,64.0
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,Кыргызская Республика,,,Есть,,,42.3
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,Кыргызская Республика,,,Нет,,,59.4
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,Кыргызская Республика,,,,Есть,,43.4
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,Кыргызская Республика,,,,Нет,,57.8
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,Кыргызская Республика,,,,Нет информации,,61.0
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,Кыргызская Республика,,,,,беднейший,53.1
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,Кыргызская Республика,,,,,второй,52.1
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,Кыргызская Республика,,,,,средний,52.9
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,Кыргызская Республика,,,,,четвертый,60.3
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,Кыргызская Республика,,,,,богатейший,76.6
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,Кыргызская Республика,,,,,,51.3
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",городская,Кыргызская Республика,,,,,,56.4
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",сельская,Кыргызская Республика,,,,,,49.0
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,Batken Oblast,,,,,,66.7
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,Джалал-Абадская область,,,,,,42.9
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,Иссык-Кульская область,,,,,,54.5
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,Нарынская область,,,,,,41.4
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,Ошская область,,,,,,49.2
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,Таласская область,,,,,,49.3
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,Чуйская область,,,,,,46.0
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,г. Бишкек,,,,,,64.5
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,г. Ош,,,,,,54.2
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,Кыргызская Республика,В возрасте посещения 2-го/3-го класса,,,,,41.8
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,Кыргызская Республика,8 лет,,,,,32.6
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,Кыргызская Республика,9 лет,,,,,52.0
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,Кыргызская Республика,Посещающие 4-й класс,,,,,54.9
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,Кыргызская Республика,Посещающие 9-й класс,,,,,67.8
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,Кыргызская Республика,,основное общее,,,,40.3
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,Кыргызская Республика,,среднее общее,,,,51.3
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,Кыргызская Республика,,профессиональное начальное/среднее,,,,49.5
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,Кыргызская Республика,,высшее,,,,58.2
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,Кыргызская Республика,,,Есть,,,39.0
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,Кыргызская Республика,,,Нет,,,52.6
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,Кыргызская Республика,,,,Есть,,47.9
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,Кыргызская Республика,,,,Нет,,52.0
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,Кыргызская Республика,,,,Нет информации,,49.1
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,Кыргызская Республика,,,,,беднейший,50.8
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,Кыргызская Республика,,,,,второй,42.6
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,Кыргызская Республика,,,,,средний,52.1
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,Кыргызская Республика,,,,,четвертый,50.1
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,Кыргызская Республика,,,,,богатейший,64.4
