Year,SERIES,Reference area,Sex,GeoCode,Value
2007,Non-fatal occupational injuries among employees (rate),,,,27.716013
2008,Non-fatal occupational injuries among employees (rate),,,,32.316212
2009,Non-fatal occupational injuries among employees (rate),,,,24.233586
2010,Non-fatal occupational injuries among employees (rate),,,,90.112821
2011,Non-fatal occupational injuries among employees (rate),,,,27.924874
2012,Non-fatal occupational injuries among employees (rate),,,,27.025061
2013,Non-fatal occupational injuries among employees (rate),,,,38.431743
2014,Non-fatal occupational injuries among employees (rate),,,,29.216361
2015,Non-fatal occupational injuries among employees (rate),,,,22.079153
2016,Non-fatal occupational injuries among employees (rate),,,,24.463597
2017,Non-fatal occupational injuries among employees (rate),,,,17.014573
2018,Non-fatal occupational injuries among employees (rate),,,,25.028299
2019,Non-fatal occupational injuries among employees (rate),,,,21.813169
2020,Non-fatal occupational injuries among employees (rate),,,,31.006658
2021,Non-fatal occupational injuries among employees (rate),,,,38.017017
2007,Non-fatal occupational injuries among employees (rate),,Female,,15.549077
2008,Non-fatal occupational injuries among employees (rate),,Female,,13.157949
2009,Non-fatal occupational injuries among employees (rate),,Female,,10.590847
2010,Non-fatal occupational injuries among employees (rate),,Female,,19.815059
2011,Non-fatal occupational injuries among employees (rate),,Female,,10.078654
2012,Non-fatal occupational injuries among employees (rate),,Female,,12.820667
2013,Non-fatal occupational injuries among employees (rate),,Female,,16.056764
2014,Non-fatal occupational injuries among employees (rate),,Female,,15.507042
2015,Non-fatal occupational injuries among employees (rate),,Female,,8.391925
2016,Non-fatal occupational injuries among employees (rate),,Female,,16.384907
2017,Non-fatal occupational injuries among employees (rate),,Female,,13.60476
2018,Non-fatal occupational injuries among employees (rate),,Female,,14.914402
2019,Non-fatal occupational injuries among employees (rate),,Female,,12.801351
2020,Non-fatal occupational injuries among employees (rate),,Female,,12.36107
2021,Non-fatal occupational injuries among employees (rate),,Female,,8.197773
2007,Non-fatal occupational injuries among employees (rate),,Male,,41.775785
2008,Non-fatal occupational injuries among employees (rate),,Male,,52.283772
2009,Non-fatal occupational injuries among employees (rate),,Male,,38.855636
2010,Non-fatal occupational injuries among employees (rate),,Male,,164.348209
2011,Non-fatal occupational injuries among employees (rate),,Male,,46.448956
2012,Non-fatal occupational injuries among employees (rate),,Male,,42.343954
2013,Non-fatal occupational injuries among employees (rate),,Male,,63.293021
2014,Non-fatal occupational injuries among employees (rate),,Male,,44.619333
2015,Non-fatal occupational injuries among employees (rate),,Male,,37.859348
2016,Non-fatal occupational injuries among employees (rate),,Male,,33.692722
2017,Non-fatal occupational injuries among employees (rate),,Male,,20.921618
2018,Non-fatal occupational injuries among employees (rate),,Male,,36.61573
2019,Non-fatal occupational injuries among employees (rate),,Male,,31.967565
2020,Non-fatal occupational injuries among employees (rate),,Male,,51.674124
2021,Non-fatal occupational injuries among employees (rate),,Male,,71.378157
2007,Non-fatal occupational injuries among employees (rate),Batken,,KG05,11.184431
2008,Non-fatal occupational injuries among employees (rate),Batken,,KG05,52.931596
2009,Non-fatal occupational injuries among employees (rate),Batken,,KG05,25.97515
2010,Non-fatal occupational injuries among employees (rate),Batken,,KG05,66.960769
2011,Non-fatal occupational injuries among employees (rate),Batken,,KG05,44.998269
2012,Non-fatal occupational injuries among employees (rate),Batken,,KG05,44.855428
2013,Non-fatal occupational injuries among employees (rate),Batken,,KG05,40.545177
2014,Non-fatal occupational injuries among employees (rate),Batken,,KG05,60.180542
2015,Non-fatal occupational injuries among employees (rate),Batken,,KG05,5.901968
2016,Non-fatal occupational injuries among employees (rate),Batken,,KG05,11.837822
2017,Non-fatal occupational injuries among employees (rate),Batken,,KG05,16.899028
2018,Non-fatal occupational injuries among employees (rate),Batken,,KG05,14.249886
2019,Non-fatal occupational injuries among employees (rate),Batken,,KG05,16.981773
2020,Non-fatal occupational injuries among employees (rate),Batken,,KG05,57.671711
2021,Non-fatal occupational injuries among employees (rate),Batken,,KG05,69.179257
2010,Non-fatal occupational injuries among employees (rate),Batken,Female,KG05,8.934954
2012,Non-fatal occupational injuries among employees (rate),Batken,Female,KG05,14.155283
2016,Non-fatal occupational injuries among employees (rate),Batken,Female,KG05,5.608525
2021,Non-fatal occupational injuries among employees (rate),Batken,Female,KG05,0.0
2007,Non-fatal occupational injuries among employees (rate),Batken,Male,KG05,21.335609
2008,Non-fatal occupational injuries among employees (rate),Batken,Male,KG05,93.471383
2009,Non-fatal occupational injuries among employees (rate),Batken,Male,KG05,49.829748
2010,Non-fatal occupational injuries among employees (rate),Batken,Male,KG05,112.707805
2011,Non-fatal occupational injuries among employees (rate),Batken,Male,KG05,86.672445
2012,Non-fatal occupational injuries among employees (rate),Batken,Male,KG05,74.059113
2013,Non-fatal occupational injuries among employees (rate),Batken,Male,KG05,76.587722
2014,Non-fatal occupational injuries among employees (rate),Batken,Male,KG05,131.373162
2015,Non-fatal occupational injuries among employees (rate),Batken,Male,KG05,12.854297
2016,Non-fatal occupational injuries among employees (rate),Batken,Male,KG05,18.796992
2017,Non-fatal occupational injuries among employees (rate),Batken,Male,KG05,37.225462
2018,Non-fatal occupational injuries among employees (rate),Batken,Male,KG05,32.427524
2019,Non-fatal occupational injuries among employees (rate),Batken,Male,KG05,38.444288
2020,Non-fatal occupational injuries among employees (rate),Batken,Male,KG05,126.849894
2021,Non-fatal occupational injuries among employees (rate),Batken,Male,KG05,153.092468
2007,Non-fatal occupational injuries among employees (rate),Jalal-Abad,,KG03,57.34356
2008,Non-fatal occupational injuries among employees (rate),Jalal-Abad,,KG03,34.763683
2009,Non-fatal occupational injuries among employees (rate),Jalal-Abad,,KG03,46.934978
2010,Non-fatal occupational injuries among employees (rate),Jalal-Abad,,KG03,41.29774
2011,Non-fatal occupational injuries among employees (rate),Jalal-Abad,,KG03,34.63367
2012,Non-fatal occupational injuries among employees (rate),Jalal-Abad,,KG03,32.200193
2013,Non-fatal occupational injuries among employees (rate),Jalal-Abad,,KG03,35.998247
2014,Non-fatal occupational injuries among employees (rate),Jalal-Abad,,KG03,22.677108
2015,Non-fatal occupational injuries among employees (rate),Jalal-Abad,,KG03,20.82061
2016,Non-fatal occupational injuries among employees (rate),Jalal-Abad,,KG03,26.515574
2017,Non-fatal occupational injuries among employees (rate),Jalal-Abad,,KG03,14.554885
2018,Non-fatal occupational injuries among employees (rate),Jalal-Abad,,KG03,46.09873
2019,Non-fatal occupational injuries among employees (rate),Jalal-Abad,,KG03,14.31397
2020,Non-fatal occupational injuries among employees (rate),Jalal-Abad,,KG03,17.213983
2021,Non-fatal occupational injuries among employees (rate),Jalal-Abad,,KG03,6.194789
