Year,Reference area,Sex,Age,Degree of urbanisation,Income or wealth quantile,Education level,Value
2016,,,,,,,767.0
2017,,,,,,,796.0
2018,,,,,,,757.0
2019,,,,,,,761.0
2020,,,,,,,72.8
2016,,,,Urban,,,869.0
2017,,,,Urban,,,884.0
2018,,,,Urban,,,886.0
2019,,,,Urban,,,905.0
2020,,,,Urban,,,88.5
2016,,,,Rural,,,711.0
2017,,,,Rural,,,748.0
2018,,,,Rural,,,687.0
2019,,,,Rural,,,680.0
2020,,,,Rural,,,64.0
2016,,Male,,,,,761.0
2017,,Male,,,,,792.0
2018,,Male,,,,,747.0
2019,,Male,,,,,751.0
2020,,Male,,,,,71.8
2016,,Female,,,,,772.0
2017,,Female,,,,,800.0
2018,,Female,,,,,766.0
2019,,Female,,,,,769.0
2020,,Female,,,,,73.7
2016,Batken,,,,,,758.0
2017,Batken,,,,,,708.0
2018,Batken,,,,,,718.0
2019,Batken,,,,,,716.0
2020,Batken,,,,,,71.0
2016,Jalal-Abad,,,,,,767.0
2017,Jalal-Abad,,,,,,744.0
2018,Jalal-Abad,,,,,,644.0
2019,Jalal-Abad,,,,,,666.0
2020,Jalal-Abad,,,,,,52.6
2016,Issyk-Kul,,,,,,473.0
2017,Issyk-Kul,,,,,,575.0
2018,Issyk-Kul,,,,,,670.0
2019,Issyk-Kul,,,,,,665.0
2020,Issyk-Kul,,,,,,48.6
2016,Naryn,,,,,,774.0
2017,Naryn,,,,,,793.0
2018,Naryn,,,,,,790.0
2019,Naryn,,,,,,670.0
2020,Naryn,,,,,,77.4
2016,Osh,,,,,,746.0
2017,Osh,,,,,,790.0
2018,Osh,,,,,,666.0
2019,Osh,,,,,,683.0
2020,Osh,,,,,,66.9
2016,Talas,,,,,,737.0
2017,Talas,,,,,,741.0
2018,Talas,,,,,,540.0
2019,Talas,,,,,,525.0
2020,Talas,,,,,,53.6
2016,Chui,,,,,,723.0
2017,Chui,,,,,,829.0
2018,Chui,,,,,,884.0
2019,Chui,,,,,,849.0
2020,Chui,,,,,,87.3
2016,Bishkek (city),,,,,,920.0
2017,Bishkek (city),,,,,,951.0
2018,Bishkek (city),,,,,,939.0
2019,Bishkek (city),,,,,,982.0
2020,Bishkek (city),,,,,,99.6
2016,Osh (city),,,,,,1000.0
2017,Osh (city),,,,,,994.0
2018,Osh (city),,,,,,1000.0
2019,Osh (city),,,,,,998.0
2020,Osh (city),,,,,,100.0
2016,,,under 6 years old,,,,759.0
2017,,,under 6 years old,,,,779.0
2018,,,under 6 years old,,,,753.0
2019,,,under 6 years old,,,,751.0
2020,,,under 6 years old,,,,71.8
2016,,,7 to 14 years old,,,,763.0
2017,,,7 to 14 years old,,,,784.0
2018,,,7 to 14 years old,,,,758.0
2019,,,7 to 14 years old,,,,751.0
2020,,,7 to 14 years old,,,,71.2
2016,,,15 to 28 years old,,,,771.0
2017,,,15 to 28 years old,,,,813.0
2018,,,15 to 28 years old,,,,743.0
2019,,,15 to 28 years old,,,,759.0
2020,,,15 to 28 years old,,,,73.0
2016,,,"29 to 62 years old (working age population: women under 57 years old, men under 62 years old)",,,,768.0
2017,,,"29 to 62 years old (working age population: women under 57 years old, men under 62 years old)",,,,796.0
2018,,,"29 to 62 years old (working age population: women under 57 years old, men under 62 years old)",,,,765.0
2019,,,"29 to 62 years old (working age population: women under 57 years old, men under 62 years old)",,,,774.0
2020,,,"29 to 62 years old (working age population: women under 57 years old, men under 62 years old)",,,,74.2
2016,,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,,,768.0
