Year,Показатель,Value
2007,Число мобильных телефонов на 100 домохозяйств,32
2008,Число мобильных телефонов на 100 домохозяйств,59
2009,Число мобильных телефонов на 100 домохозяйств,88
2010,Число мобильных телефонов на 100 домохозяйств,114
2011,Число мобильных телефонов на 100 домохозяйств,137
2012,Число мобильных телефонов на 100 домохозяйств,146
2013,Число мобильных телефонов на 100 домохозяйств,196
2014,Число мобильных телефонов на 100 домохозяйств,198
2015,Число мобильных телефонов на 100 домохозяйств,209
2016,Число мобильных телефонов на 100 домохозяйств,220
2017,Число мобильных телефонов на 100 домохозяйств,220
2018,Число мобильных телефонов на 100 домохозяйств,227
