Year,Reference area,Degree of urbanisation,Value
2000,,,605
2001,,,772
2002,,,514
2003,,,552
2004,,,482
2005,,,495
2006,,,476
2007,,,485
2008,,,452
2009,,,407
2010,,,423
2011,,,447
2012,,,510
2013,,,486
2014,,,479
2015,,,510
2016,,,456
2017,,,500
2018,,,464
2000,,Urban,695
2001,,Urban,841
2002,,Urban,677
2003,,Urban,592
2004,,Urban,494
2005,,Urban,523
2006,,Urban,461
2007,,Urban,467
2008,,Urban,454
2009,,Urban,384
2010,,Urban,445
2011,,Urban,514
2012,,Urban,608
2013,,Urban,487
2014,,Urban,530
2015,,Urban,585
2016,,Urban,487
2017,,Urban,555
2018,,Urban,516
2000,,Regional,558
2001,,Regional,735
2002,,Regional,426
2003,,Regional,531
2004,,Regional,481
2005,,Regional,478
2006,,Regional,484
2007,,Regional,495
2008,,Regional,450
2009,,Regional,419
2010,,Regional,411
2011,,Regional,407
2012,,Regional,454
2013,,Regional,486
2014,,Regional,451
2015,,Regional,468
2016,,Regional,439
2017,,Regional,470
2018,,Regional,435
2000,Batken,,593
2001,Batken,,616
2002,Batken,,370
2003,Batken,,423
2004,Batken,,370
2005,Batken,,535
2006,Batken,,479
2007,Batken,,302
2008,Batken,,374
2009,Batken,,486
2010,Batken,,427
2011,Batken,,441
2012,Batken,,505
2013,Batken,,629
2014,Batken,,536
2015,Batken,,498
2016,Batken,,530
2017,Batken,,525
2018,Batken,,546
2000,Jalal-Abad,,593
2001,Jalal-Abad,,810
2002,Jalal-Abad,,425
2003,Jalal-Abad,,570
2004,Jalal-Abad,,517
2005,Jalal-Abad,,614
2006,Jalal-Abad,,527
2007,Jalal-Abad,,612
2008,Jalal-Abad,,515
2009,Jalal-Abad,,344
2010,Jalal-Abad,,456
2011,Jalal-Abad,,415
2012,Jalal-Abad,,562
2013,Jalal-Abad,,554
2014,Jalal-Abad,,548
2015,Jalal-Abad,,559
2016,Jalal-Abad,,482
2017,Jalal-Abad,,412
2018,Jalal-Abad,,440
2000,Issyk-Kul,,650
2001,Issyk-Kul,,788
2002,Issyk-Kul,,601
2003,Issyk-Kul,,520
2004,Issyk-Kul,,410
2005,Issyk-Kul,,460
2006,Issyk-Kul,,499
2007,Issyk-Kul,,508
2008,Issyk-Kul,,549
2009,Issyk-Kul,,444
2010,Issyk-Kul,,435
2011,Issyk-Kul,,410
2012,Issyk-Kul,,370
2013,Issyk-Kul,,398
2014,Issyk-Kul,,426
2015,Issyk-Kul,,463
2016,Issyk-Kul,,450
2017,Issyk-Kul,,518
2018,Issyk-Kul,,494
2000,Naryn,,694
2001,Naryn,,839
2002,Naryn,,616
2003,Naryn,,564
2004,Naryn,,646
2005,Naryn,,411
2006,Naryn,,446
2007,Naryn,,550
2008,Naryn,,463
2009,Naryn,,453
2010,Naryn,,540
2011,Naryn,,551
2012,Naryn,,510
2013,Naryn,,499
2014,Naryn,,541
2015,Naryn,,500
2016,Naryn,,526
2017,Naryn,,413
2018,Naryn,,425
2000,Osh,,620
2001,Osh,,800
2002,Osh,,547
2003,Osh,,618
2004,Osh,,556
2005,Osh,,532
2006,Osh,,611
2007,Osh,,577
2008,Osh,,501
2009,Osh,,467
2010,Osh,,462
2011,Osh,,471
2012,Osh,,541
2013,Osh,,471
2014,Osh,,331
2015,Osh,,379
2016,Osh,,394
2017,Osh,,428
2018,Osh,,415
2000,Talas,,640
2001,Talas,,775
2002,Talas,,496
2003,Talas,,571
2004,Talas,,560
2005,Talas,,422
2006,Talas,,488
2007,Talas,,447
2008,Talas,,466
2009,Talas,,396
2010,Talas,,381
2011,Talas,,420
2012,Talas,,424
2013,Talas,,235
2014,Talas,,274
2015,Talas,,287
2016,Talas,,274
2017,Talas,,349
2018,Talas,,361
2000,Chui,,466
2001,Chui,,643
2002,Chui,,393
2003,Chui,,394
2004,Chui,,339
2005,Chui,,336
2006,Chui,,278
2007,Chui,,320
2008,Chui,,325
2009,Chui,,359
2010,Chui,,309
2011,Chui,,393
2012,Chui,,357
2013,Chui,,442
2014,Chui,,510
2015,Chui,,524
2016,Chui,,436
2017,Chui,,584
2018,Chui,,412
2000,Bishkek (city),,680
2001,Bishkek (city),,856
2002,Bishkek (city),,680
2003,Bishkek (city),,654
2004,Bishkek (city),,479
2005,Bishkek (city),,485
2006,Bishkek (city),,370
2007,Bishkek (city),,407
2008,Bishkek (city),,393
2009,Bishkek (city),,359
2010,Bishkek (city),,398
2011,Bishkek (city),,497
2012,Bishkek (city),,638
2013,Bishkek (city),,439
2014,Bishkek (city),,540
2015,Bishkek (city),,652
2016,Bishkek (city),,492
2017,Bishkek (city),,603
2018,Bishkek (city),,518
2013,Osh (city),,693
2014,Osh (city),,672
2015,Osh (city),,677
2016,Osh (city),,544
2017,Osh (city),,722
2018,Osh (city),,701
