Year,Reference area,GeoCode,Value
2007,,,4.3
2008,,,4.0
2009,,,3.2
2010,,,2.5
2011,,,3.2
2012,,,2.8
2013,,,1.8
2014,,,1.7
2015,,,1.9
2016,,,1.3
2017,,,1.2
2018,,,0.8
2019,,,0.9
2020,,,0.7
2021,,,1.0
2007,Batken,KG05,11.4
2008,Batken,KG05,11.5
2009,Batken,KG05,8.1
2010,Batken,KG05,7.8
2011,Batken,KG05,11.0
2012,Batken,KG05,5.3
2013,Batken,KG05,6.7
2014,Batken,KG05,7.6
2015,Batken,KG05,5.3
2016,Batken,KG05,3.6
2017,Batken,KG05,3.1
2018,Batken,KG05,1.5
2019,Batken,KG05,2.1
2020,Batken,KG05,1.3
2021,Batken,KG05,2.2
2007,Jalal-Abad,KG03,4.1
2008,Jalal-Abad,KG03,3.5
2009,Jalal-Abad,KG03,3.5
2010,Jalal-Abad,KG03,2.8
2011,Jalal-Abad,KG03,2.4
2012,Jalal-Abad,KG03,2.3
2013,Jalal-Abad,KG03,1.5
2014,Jalal-Abad,KG03,1.4
2015,Jalal-Abad,KG03,2.2
2016,Jalal-Abad,KG03,0.9
2017,Jalal-Abad,KG03,1.3
2018,Jalal-Abad,KG03,0.7
2019,Jalal-Abad,KG03,0.4
2020,Jalal-Abad,KG03,1.0
2021,Jalal-Abad,KG03,1.7
2007,Issyk-Kul,KG02,3.5
2008,Issyk-Kul,KG02,3.0
2009,Issyk-Kul,KG02,1.1
2010,Issyk-Kul,KG02,0.9
2011,Issyk-Kul,KG02,2.9
2012,Issyk-Kul,KG02,1.8
2013,Issyk-Kul,KG02,0.9
2014,Issyk-Kul,KG02,0.9
2015,Issyk-Kul,KG02,1.1
2016,Issyk-Kul,KG02,0.6
2017,Issyk-Kul,KG02,0.6
2018,Issyk-Kul,KG02,0.6
2019,Issyk-Kul,KG02,0.6
2020,Issyk-Kul,KG02,0.4
2007,Naryn,KG04,5.1
2008,Naryn,KG04,3.1
2009,Naryn,KG04,3.1
2010,Naryn,KG04,3.1
2011,Naryn,KG04,4.2
2012,Naryn,KG04,2.6
2013,Naryn,KG04,1.5
2014,Naryn,KG04,1.5
2015,Naryn,KG04,2.2
2016,Naryn,KG04,0.7
2017,Naryn,KG04,1.4
2018,Naryn,KG04,1.1
2019,Naryn,KG04,1.4
2020,Naryn,KG04,0.3
2021,Naryn,KG04,0.3
2007,Osh,KG06,6.2
2008,Osh,KG06,6.9
2009,Osh,KG06,5.4
2010,Osh,KG06,3.2
2011,Osh,KG06,3.4
2012,Osh,KG06,5.3
2013,Osh,KG06,2.2
2014,Osh,KG06,2.2
2015,Osh,KG06,2.6
2016,Osh,KG06,2.2
2017,Osh,KG06,1.6
2018,Osh,KG06,1.5
2019,Osh,KG06,1.3
2020,Osh,KG06,0.9
2021,Osh,KG06,1.1
2007,Talas,KG07,4.9
2008,Talas,KG07,2.7
2009,Talas,KG07,4.4
2010,Talas,KG07,1.7
2011,Talas,KG07,4.7
2012,Talas,KG07,2.5
2013,Talas,KG07,0.8
2014,Talas,KG07,1.2
2015,Talas,KG07,2.4
2016,Talas,KG07,2.4
2017,Talas,KG07,0.4
2018,Talas,KG07,0.8
2019,Talas,KG07,0.4
2020,Talas,KG07,0.7
2007,Chui,KG08,2.0
2008,Chui,KG08,1.6
2009,Chui,KG08,1.5
2010,Chui,KG08,1.0
2011,Chui,KG08,2.0
2012,Chui,KG08,2.2
2013,Chui,KG08,1.2
2014,Chui,KG08,0.6
2015,Chui,KG08,0.8
2016,Chui,KG08,0.7
2017,Chui,KG08,0.8
2018,Chui,KG08,0.1
2019,Chui,KG08,0.7
2020,Chui,KG08,0.7
2021,Chui,KG08,0.9
2007,Bishkek (city),KG11,1.5
2008,Bishkek (city),KG11,1.2
2009,Bishkek (city),KG11,0.5
2010,Bishkek (city),KG11,0.8
2011,Bishkek (city),KG11,1.3
2012,Bishkek (city),KG11,0.8
2013,Bishkek (city),KG11,0.8
2014,Bishkek (city),KG11,0.4
2015,Bishkek (city),KG11,0.8
2016,Bishkek (city),KG11,0.6
2017,Bishkek (city),KG11,0.6
2018,Bishkek (city),KG11,0.4
2019,Bishkek (city),KG11,0.7
2020,Bishkek (city),KG11,0.4
2021,Bishkek (city),KG11,0.4
2007,Osh (city),KG21,0.4
2008,Osh (city),KG21,0.8
2009,Osh (city),KG21,1.5
2010,Osh (city),KG21,1.6
2011,Osh (city),KG21,1.2
2012,Osh (city),KG21,0.8
2013,Osh (city),KG21,1.1
2014,Osh (city),KG21,1.1
2015,Osh (city),KG21,0.4
2016,Osh (city),KG21,0.4
2017,Osh (city),KG21,0.7
2018,Osh (city),KG21,0.7
2019,Osh (city),KG21,0.7
2020,Osh (city),KG21,0.3
2021,Osh (city),KG21,0.6
