Year,SERIES,COMPOSITE_BREAKDOWN,Value
2000,"Proportion of members of developing countries in international organizations, by organization",International Organisation: Asian Development Bank,1.6949
2005,"Proportion of members of developing countries in international organizations, by organization",International Organisation: Asian Development Bank,1.5625
2010,"Proportion of members of developing countries in international organizations, by organization",International Organisation: Asian Development Bank,1.4925
2015,"Proportion of members of developing countries in international organizations, by organization",International Organisation: Asian Development Bank,1.4925
2016,"Proportion of members of developing countries in international organizations, by organization",International Organisation: Asian Development Bank,1.4925
2017,"Proportion of members of developing countries in international organizations, by organization",International Organisation: Asian Development Bank,1.4925
2018,"Proportion of members of developing countries in international organizations, by organization",International Organisation: Asian Development Bank,1.4925
2019,"Proportion of members of developing countries in international organizations, by organization",International Organisation: Asian Development Bank,1.47059
2020,"Proportion of members of developing countries in international organizations, by organization",International Organisation: Asian Development Bank,1.47059
2021,"Proportion of members of developing countries in international organizations, by organization",International Organisation: Asian Development Bank,1.47059
2022,"Proportion of members of developing countries in international organizations, by organization",International Organisation: Asian Development Bank,1.47059
2015,"Proportion of members of developing countries in international organizations, by organization",International Organisation: UN Economic and Social Council,1.85185
2000,"Proportion of members of developing countries in international organizations, by organization",International Organisation: International Bank for Reconstruction and Development,0.54945
2005,"Proportion of members of developing countries in international organizations, by organization",International Organisation: International Bank for Reconstruction and Development,0.54348
2010,"Proportion of members of developing countries in international organizations, by organization",International Organisation: International Bank for Reconstruction and Development,0.53476
2015,"Proportion of members of developing countries in international organizations, by organization",International Organisation: International Bank for Reconstruction and Development,0.53191
2016,"Proportion of members of developing countries in international organizations, by organization",International Organisation: International Bank for Reconstruction and Development,0.53191
2017,"Proportion of members of developing countries in international organizations, by organization",International Organisation: International Bank for Reconstruction and Development,0.5291
2018,"Proportion of members of developing countries in international organizations, by organization",International Organisation: International Bank for Reconstruction and Development,0.5291
2019,"Proportion of members of developing countries in international organizations, by organization",International Organisation: International Bank for Reconstruction and Development,0.5291
2020,"Proportion of members of developing countries in international organizations, by organization",International Organisation: International Bank for Reconstruction and Development,0.5291
2021,"Proportion of members of developing countries in international organizations, by organization",International Organisation: International Bank for Reconstruction and Development,0.5291
2022,"Proportion of members of developing countries in international organizations, by organization",International Organisation: International Bank for Reconstruction and Development,0.5291
2023,"Proportion of members of developing countries in international organizations, by organization",International Organisation: International Bank for Reconstruction and Development,0.5291
2000,"Proportion of members of developing countries in international organizations, by organization",International Organisation: International Finance Corporation,0.57471
2005,"Proportion of members of developing countries in international organizations, by organization",International Organisation: International Finance Corporation,0.5618
2010,"Proportion of members of developing countries in international organizations, by organization",International Organisation: International Finance Corporation,0.54945
2015,"Proportion of members of developing countries in international organizations, by organization",International Organisation: International Finance Corporation,0.54348
2016,"Proportion of members of developing countries in international organizations, by organization",International Organisation: International Finance Corporation,0.54348
2017,"Proportion of members of developing countries in international organizations, by organization",International Organisation: International Finance Corporation,0.54348
2018,"Proportion of members of developing countries in international organizations, by organization",International Organisation: International Finance Corporation,0.54348
2019,"Proportion of members of developing countries in international organizations, by organization",International Organisation: International Finance Corporation,0.5435
2020,"Proportion of members of developing countries in international organizations, by organization",International Organisation: International Finance Corporation,0.54054
2021,"Proportion of members of developing countries in international organizations, by organization",International Organisation: International Finance Corporation,0.54054
2022,"Proportion of members of developing countries in international organizations, by organization",International Organisation: International Finance Corporation,0.53763
2023,"Proportion of members of developing countries in international organizations, by organization",International Organisation: International Finance Corporation,0.53763
2000,"Proportion of members of developing countries in international organizations, by organization",International Organisation: International Monetary Fund,0.5618
2005,"Proportion of members of developing countries in international organizations, by organization",International Organisation: International Monetary Fund,0.55249
2010,"Proportion of members of developing countries in international organizations, by organization",International Organisation: International Monetary Fund,0.54945
2015,"Proportion of members of developing countries in international organizations, by organization",International Organisation: International Monetary Fund,0.53191
2016,"Proportion of members of developing countries in international organizations, by organization",International Organisation: International Monetary Fund,0.53191
2017,"Proportion of members of developing countries in international organizations, by organization",International Organisation: International Monetary Fund,0.5291
2018,"Proportion of members of developing countries in international organizations, by organization",International Organisation: International Monetary Fund,0.5291
2019,"Proportion of members of developing countries in international organizations, by organization",International Organisation: International Monetary Fund,0.5291
2020,"Proportion of members of developing countries in international organizations, by organization",International Organisation: International Monetary Fund,0.5291
2021,"Proportion of members of developing countries in international organizations, by organization",International Organisation: International Monetary Fund,0.52632
2022,"Proportion of members of developing countries in international organizations, by organization",International Organisation: International Monetary Fund,0.52632
2023,"Proportion of members of developing countries in international organizations, by organization",International Organisation: International Monetary Fund,0.52632
2000,"Proportion of members of developing countries in international organizations, by organization",International Organisation: UN General Assembly,0.5291
2005,"Proportion of members of developing countries in international organizations, by organization",International Organisation: UN General Assembly,0.52356
2010,"Proportion of members of developing countries in international organizations, by organization",International Organisation: UN General Assembly,0.52083
2015,"Proportion of members of developing countries in international organizations, by organization",International Organisation: UN General Assembly,0.51813
2016,"Proportion of members of developing countries in international organizations, by organization",International Organisation: UN General Assembly,0.51813
2017,"Proportion of members of developing countries in international organizations, by organization",International Organisation: UN General Assembly,0.51813
2018,"Proportion of members of developing countries in international organizations, by organization",International Organisation: UN General Assembly,0.51813
2019,"Proportion of members of developing countries in international organizations, by organization",International Organisation: UN General Assembly,0.51813
2020,"Proportion of members of developing countries in international organizations, by organization",International Organisation: UN General Assembly,0.51813
2021,"Proportion of members of developing countries in international organizations, by organization",International Organisation: UN General Assembly,0.51813
2022,"Proportion of members of developing countries in international organizations, by organization",International Organisation: UN General Assembly,0.51813
2023,"Proportion of members of developing countries in international organizations, by organization",International Organisation: UN General Assembly,0.51813
2000,"Proportion of members of developing countries in international organizations, by organization",International Organisation: World Trade Organisation,0.71429
2005,"Proportion of members of developing countries in international organizations, by organization",International Organisation: World Trade Organisation,0.67114
2010,"Proportion of members of developing countries in international organizations, by organization",International Organisation: World Trade Organisation,0.65359
2015,"Proportion of members of developing countries in international organizations, by organization",International Organisation: World Trade Organisation,0.625
2016,"Proportion of members of developing countries in international organizations, by organization",International Organisation: World Trade Organisation,0.61728
2017,"Proportion of members of developing countries in international organizations, by organization",International Organisation: World Trade Organisation,0.60976
2018,"Proportion of members of developing countries in international organizations, by organization",International Organisation: World Trade Organisation,0.60976
2019,"Proportion of members of developing countries in international organizations, by organization",International Organisation: World Trade Organisation,0.60976
2020,"Proportion of members of developing countries in international organizations, by organization",International Organisation: World Trade Organisation,0.60976
2021,"Proportion of members of developing countries in international organizations, by organization",International Organisation: World Trade Organisation,0.60976
2022,"Proportion of members of developing countries in international organizations, by organization",International Organisation: World Trade Organisation,0.60976
2023,"Proportion of members of developing countries in international organizations, by organization",International Organisation: World Trade Organisation,0.60976
2000,"Proportion of voting rights of developing countries in international organizations, by organization",International Organisation: Asian Development Bank,0.583
2005,"Proportion of voting rights of developing countries in international organizations, by organization",International Organisation: Asian Development Bank,0.554
2010,"Proportion of voting rights of developing countries in international organizations, by organization",International Organisation: Asian Development Bank,0.57
2015,"Proportion of voting rights of developing countries in international organizations, by organization",International Organisation: Asian Development Bank,0.538
2016,"Proportion of voting rights of developing countries in international organizations, by organization",International Organisation: Asian Development Bank,0.538
2017,"Proportion of voting rights of developing countries in international organizations, by organization",International Organisation: Asian Development Bank,0.538
2018,"Proportion of voting rights of developing countries in international organizations, by organization",International Organisation: Asian Development Bank,0.5372
2019,"Proportion of voting rights of developing countries in international organizations, by organization",International Organisation: Asian Development Bank,0.53283
2020,"Proportion of voting rights of developing countries in international organizations, by organization",International Organisation: Asian Development Bank,0.533
2021,"Proportion of voting rights of developing countries in international organizations, by organization",International Organisation: Asian Development Bank,0.533
2022,"Proportion of voting rights of developing countries in international organizations, by organization",International Organisation: Asian Development Bank,0.5328
2015,"Proportion of voting rights of developing countries in international organizations, by organization",International Organisation: UN Economic and Social Council,1.85185
2000,"Proportion of voting rights of developing countries in international organizations, by organization",International Organisation: International Bank for Reconstruction and Development,0.0843
