Year,COMPOSITE_BREAKDOWN,Value
2013,Sector: Agriculture,488.2
2014,Sector: Agriculture,521.3
2015,Sector: Agriculture,758.0
2016,Sector: Agriculture,1034.8
2017,Sector: Agriculture,1569.2
2018,Sector: Agriculture,2283.9
2019,Sector: Agriculture,1778.1
2020,Sector: Agriculture,1333.83
2021,Sector: Agriculture,1221.02
2022,Sector: Agriculture,1497.61
2023,Sector: Agriculture,1143.6
2013,Sector: Transport,4295.0
2014,Sector: Transport,9576.3
2015,Sector: Transport,7552.8
2016,Sector: Transport,10221.8
2017,Sector: Transport,14436.4
2018,Sector: Transport,5471.0
2019,Sector: Transport,7926.56
2020,Sector: Transport,4294.3
2021,Sector: Transport,7544.6
2022,Sector: Transport,12582.13
2023,Sector: Transport,9428.8
2013,Sector: Energy,9828.6
2014,Sector: Energy,11570.1
2015,Sector: Energy,1603.2
2016,Sector: Energy,10411.7
2017,Sector: Energy,8104.8
2018,Sector: Energy,3356.2
2019,Sector: Energy,4979.56
2020,Sector: Energy,3625.55
2021,Sector: Energy,8224.07
2022,Sector: Energy,6466.32
2023,Sector: Energy,8877.5
2013,Sector: Health,129.8
2014,Sector: Health,64.0
2015,Sector: Health,77.7
2016,Sector: Health,77.2
2017,Sector: Health,383.9
2018,Sector: Health,351.7
2019,Sector: Health,123.42
2020,Sector: Health,1187.05
2021,Sector: Health,1833.14
2022,Sector: Health,1609.9
2023,Sector: Health,1236.6
2013,Sector: Education,118.8
2014,Sector: Education,224.9
2015,Sector: Education,409.5
2016,Sector: Education,555.7
2017,Sector: Education,1129.0
2018,Sector: Education,1129.2
2019,Sector: Education,337.39
2020,Sector: Education,190.48
2021,Sector: Education,544.2
2022,Sector: Education,1684.44
2023,Sector: Education,1568.5
2013,Sector: General public services,92.0
2014,Sector: General public services,55.1
2015,Sector: General public services,38.0
2016,Sector: General public services,140.4
2017,Sector: General public services,141.7
2018,Sector: General public services,46.7
2019,Sector: General public services,38.66
2020,Sector: General public services,108.18
2021,Sector: General public services,195.87
2022,Sector: General public services,244.38
2023,Sector: General public services,575.5
2013,Sector: Infrastructure (water supply),887.8
2014,Sector: Infrastructure (water supply),1398.3
2015,Sector: Infrastructure (water supply),1393.5
2016,Sector: Infrastructure (water supply),1602.5
2017,Sector: Infrastructure (water supply),2023.3
2018,Sector: Infrastructure (water supply),1960.2
2019,Sector: Infrastructure (water supply),2237.15
2020,Sector: Infrastructure (water supply),4041.45
2021,Sector: Infrastructure (water supply),54353.83
2022,Sector: Infrastructure (water supply),3943.41
