Year,SERIES,Reference area,Sex,Age,Degree of urbanisation,Income or wealth quantile,GeoCode,Value
2015,"Median value, som per month per capita",,,,,,,3390.2
2016,"Median value, som per month per capita",,,,,,,3572.5
2017,"Median value, som per month per capita",,,,,,,3991.9
2018,"Median value, som per month per capita",,,,,,,4466.4
2019,"Median value, som per month per capita",,,,,,,4774.194444
2020,"Median value, som per month per capita",,,,,,,4700.5
2021,"Median value, som per month per capita",,,,,,,5356.3
2015,Proportion of people living below 50 percent of median income,,,,,Bottom 50%,,12.0
2016,Proportion of people living below 50 percent of median income,,,,,Bottom 50%,,11.6
2017,Proportion of people living below 50 percent of median income,,,,,Bottom 50%,,11.0
2018,Proportion of people living below 50 percent of median income,,,,,Bottom 50%,,11.9
2019,Proportion of people living below 50 percent of median income,,,,,Bottom 50%,,11.108723
2020,Proportion of people living below 50 percent of median income,,,,,Bottom 50%,,10.5
2021,Proportion of people living below 50 percent of median income,,,,,Bottom 50%,,9.5
2015,Proportion of people living below 50 percent of median income,,,,Urban,Bottom 50%,,8.2
2016,Proportion of people living below 50 percent of median income,,,,Urban,Bottom 50%,,8.5
2017,Proportion of people living below 50 percent of median income,,,,Urban,Bottom 50%,,7.9
2018,Proportion of people living below 50 percent of median income,,,,Urban,Bottom 50%,,8.1
2019,Proportion of people living below 50 percent of median income,,,,Urban,Bottom 50%,,8.666083
2020,Proportion of people living below 50 percent of median income,,,,Urban,Bottom 50%,,8.4
2021,Proportion of people living below 50 percent of median income,,,,Urban,Bottom 50%,,7.9
2015,Proportion of people living below 50 percent of median income,,,,Rural,Bottom 50%,,14.1
2016,Proportion of people living below 50 percent of median income,,,,Rural,Bottom 50%,,13.3
2017,Proportion of people living below 50 percent of median income,,,,Rural,Bottom 50%,,12.7
2018,Proportion of people living below 50 percent of median income,,,,Rural,Bottom 50%,,14.0
2019,Proportion of people living below 50 percent of median income,,,,Rural,Bottom 50%,,12.479204
2020,Proportion of people living below 50 percent of median income,,,,Rural,Bottom 50%,,11.6
2021,Proportion of people living below 50 percent of median income,,,,Rural,Bottom 50%,,10.5
2015,Proportion of people living below 50 percent of median income,,Female,,,Bottom 50%,,11.7
2016,Proportion of people living below 50 percent of median income,,Female,,,Bottom 50%,,11.4
2017,Proportion of people living below 50 percent of median income,,Female,,,Bottom 50%,,10.9
2018,Proportion of people living below 50 percent of median income,,Female,,,Bottom 50%,,11.8
2019,Proportion of people living below 50 percent of median income,,Female,,,Bottom 50%,,11.025078
2020,Proportion of people living below 50 percent of median income,,Female,,,Bottom 50%,,10.6
2021,Proportion of people living below 50 percent of median income,,Female,,,Bottom 50%,,9.6
