Year,Geographical area,Sex,Value
2015,Ошская область,,10
2016,Ошская область,,1
2017,Ошская область,,35
2018,Ошская область,,1
2007,Ошская область,Male,6
2008,Ошская область,Male,50
2009,Ошская область,Male,2
2010,Ошская область,Male,12
2011,Ошская область,Male,6
2012,Ошская область,Male,16
2013,Ошская область,Male,3
2014,Ошская область,Male,0
2015,Ошская область,Male,7
2016,Ошская область,Male,1
2017,Ошская область,Male,17
2018,Ошская область,Male,1
2007,Ошская область,Female,0
2008,Ошская область,Female,46
2009,Ошская область,Female,0
2010,Ошская область,Female,7
2011,Ошская область,Female,5
2012,Ошская область,Female,6
2013,Ошская область,Female,2
2014,Ошская область,Female,0
2015,Ошская область,Female,3
2016,Ошская область,Female,0
2017,Ошская область,Female,18
2018,Ошская область,Female,0
2007,Таласская область,,1
2008,Таласская область,,0
2009,Таласская область,,0
2010,Таласская область,,4
2011,Таласская область,,6
2012,Таласская область,,0
2013,Таласская область,,5
2014,Таласская область,,0
2015,Таласская область,,0
2016,Таласская область,,0
2017,Таласская область,,0
2018,Таласская область,,0
2007,Таласская область,Male,1
2008,Таласская область,Male,0
2009,Таласская область,Male,0
2010,Таласская область,Male,3
2011,Таласская область,Male,4
2012,Таласская область,Male,0
2013,Таласская область,Male,4
2014,Таласская область,Male,0
2015,Таласская область,Male,0
2016,Таласская область,Male,0
2017,Таласская область,Male,0
2018,Таласская область,Male,0
2007,Таласская область,Female,0
2008,Таласская область,Female,0
2009,Таласская область,Female,0
2010,Таласская область,Female,1
2011,Таласская область,Female,2
2012,Таласская область,Female,0
2013,Таласская область,Female,1
2014,Таласская область,Female,0
2015,Таласская область,Female,0
2016,Таласская область,Female,0
2017,Таласская область,Female,0
2018,Таласская область,Female,0
2007,Чуйская область,,35
2008,Чуйская область,,102
2009,Чуйская область,,19
2010,Чуйская область,,46
2011,Чуйская область,,41
2012,Чуйская область,,23
2013,Чуйская область,,22
2014,Чуйская область,,13
2015,Чуйская область,,15
2016,Чуйская область,,14
2017,Чуйская область,,55
2018,Чуйская область,,10
2007,Чуйская область,Male,28
2008,Чуйская область,Male,76
2009,Чуйская область,Male,12
2010,Чуйская область,Male,32
2011,Чуйская область,Male,30
2012,Чуйская область,Male,15
2013,Чуйская область,Male,12
2014,Чуйская область,Male,7
2015,Чуйская область,Male,8
2016,Чуйская область,Male,11
2017,Чуйская область,Male,31
2018,Чуйская область,Male,7
2007,Чуйская область,Female,7
2008,Чуйская область,Female,26
2009,Чуйская область,Female,7
2010,Чуйская область,Female,14
2011,Чуйская область,Female,11
2012,Чуйская область,Female,8
2013,Чуйская область,Female,10
2014,Чуйская область,Female,6
2015,Чуйская область,Female,7
2016,Чуйская область,Female,3
2017,Чуйская область,Female,24
2018,Чуйская область,Female,3
2007,г.Бишкек,,12
2008,г.Бишкек,,1
2009,г.Бишкек,,0
2010,г.Бишкек,,14
2011,г.Бишкек,,19
2012,г.Бишкек,,3
2013,г.Бишкек,,0
2014,г.Бишкек,,2
2015,г.Бишкек,,0
2016,г.Бишкек,,7
2017,г.Бишкек,,0
2018,г.Бишкек,,0
2007,г.Бишкек,Male,9
2008,г.Бишкек,Male,1
2009,г.Бишкек,Male,0
2010,г.Бишкек,Male,9
2011,г.Бишкек,Male,11
2012,г.Бишкек,Male,2
2013,г.Бишкек,Male,0
2014,г.Бишкек,Male,0
2015,г.Бишкек,Male,0
2016,г.Бишкек,Male,7
2017,г.Бишкек,Male,0
2018,г.Бишкек,Male,0
2007,г.Бишкек,Female,3
2008,г.Бишкек,Female,0
2009,г.Бишкек,Female,0
2010,г.Бишкек,Female,5
2011,г.Бишкек,Female,8
2012,г.Бишкек,Female,1
2013,г.Бишкек,Female,0
2014,г.Бишкек,Female,2
2015,г.Бишкек,Female,0
2016,г.Бишкек,Female,0
2017,г.Бишкек,Female,0
2018,г.Бишкек,Female,0
2007,г.Ош,,7
2008,г.Ош,,0
2009,г.Ош,,0
2010,г.Ош,,6
2011,г.Ош,,4
2012,г.Ош,,0
2013,г.Ош,,0
2014,г.Ош,,0
2015,г.Ош,,1
2016,г.Ош,,0
2017,г.Ош,,0
2018,г.Ош,,1
2007,г.Ош,Male,5
2008,г.Ош,Male,0
2009,г.Ош,Male,0
2010,г.Ош,Male,4
2011,г.Ош,Male,2
2012,г.Ош,Male,0
2013,г.Ош,Male,0
2014,г.Ош,Male,0
2015,г.Ош,Male,1
2016,г.Ош,Male,0
2017,г.Ош,Male,0
2018,г.Ош,Male,1
2007,г.Ош,Female,2
2008,г.Ош,Female,0
2009,г.Ош,Female,0
2010,г.Ош,Female,2
2011,г.Ош,Female,2
2012,г.Ош,Female,0
2013,г.Ош,Female,0
2014,г.Ош,Female,0
2015,г.Ош,Female,0
2016,г.Ош,Female,0
2017,г.Ош,Female,0
2018,г.Ош,Female,0
