Year,SERIES,Reference area,Age,Degree of urbanisation,Income or wealth quantile,Education level,Disability status,GeoCode,Value
2018,Proportion of women aged 20-24 years who were married or in a union before age 15,,under 15 years old,,,,,,3.0
2023,Proportion of women aged 20-24 years who were married or in a union before age 15,,under 15 years old,,,,,,3.0
2018,Proportion of women aged 20-24 years who were married or in a union before age 15,,under 15 years old,Urban,,,,,6.0
2023,Proportion of women aged 20-24 years who were married or in a union before age 15,,under 15 years old,Urban,,,,,3.0
2018,Proportion of women aged 20-24 years who were married or in a union before age 15,,under 15 years old,Rural,,,,,1.0
2023,Proportion of women aged 20-24 years who were married or in a union before age 15,,under 15 years old,Rural,,,,,3.0
2018,Proportion of women aged 20-24 years who were married or in a union before age 15,Batken,under 15 years old,,,,,KG05,0.0
2023,Proportion of women aged 20-24 years who were married or in a union before age 15,Batken,under 15 years old,,,,,KG05,0.0
2018,Proportion of women aged 20-24 years who were married or in a union before age 15,Jalal-Abad,under 15 years old,,,,,KG03,0.0
2023,Proportion of women aged 20-24 years who were married or in a union before age 15,Jalal-Abad,under 15 years old,,,,,KG03,0.0
2018,Proportion of women aged 20-24 years who were married or in a union before age 15,Issyk-Kul,under 15 years old,,,,,KG02,0.0
2018,Proportion of women aged 20-24 years who were married or in a union before age 15,Naryn,under 15 years old,,,,,KG04,0.0
2018,Proportion of women aged 20-24 years who were married or in a union before age 15,Osh,under 15 years old,,,,,KG06,0.0
2023,Proportion of women aged 20-24 years who were married or in a union before age 15,Osh,under 15 years old,,,,,KG06,9.0
2018,Proportion of women aged 20-24 years who were married or in a union before age 15,Talas,under 15 years old,,,,,KG07,28.0
2023,Proportion of women aged 20-24 years who were married or in a union before age 15,Talas,under 15 years old,,,,,KG07,0.0
2018,Proportion of women aged 20-24 years who were married or in a union before age 15,Chui,under 15 years old,,,,,KG08,0.0
2023,Proportion of women aged 20-24 years who were married or in a union before age 15,Chui,under 15 years old,,,,,KG08,0.0
2018,Proportion of women aged 20-24 years who were married or in a union before age 15,Bishkek (city),under 15 years old,,,,,KG11,10.0
2023,Proportion of women aged 20-24 years who were married or in a union before age 15,Bishkek (city),under 15 years old,,,,,KG11,0.0
2018,Proportion of women aged 20-24 years who were married or in a union before age 15,Osh (city),under 15 years old,,,,,KG21,0.0
2023,Proportion of women aged 20-24 years who were married or in a union before age 15,Osh (city),under 15 years old,,,,,KG21,16.0
2018,Proportion of women aged 20-24 years who were married or in a union before age 15,,under 15 years old,,,Lower secondary education,,,6.0
2023,Proportion of women aged 20-24 years who were married or in a union before age 15,,under 15 years old,,,Lower secondary education,,,0.0
2018,Proportion of women aged 20-24 years who were married or in a union before age 15,,under 15 years old,,,Upper secondary education,,,8.0
2023,Proportion of women aged 20-24 years who were married or in a union before age 15,,under 15 years old,,,Upper secondary education,,,7.0
2018,Proportion of women aged 20-24 years who were married or in a union before age 15,,under 15 years old,,,Post-secondary non-tertiary education,,,0.0
2023,Proportion of women aged 20-24 years who were married or in a union before age 15,,under 15 years old,,,Post-secondary non-tertiary education,,,0.0
2018,Proportion of women aged 20-24 years who were married or in a union before age 15,,under 15 years old,,,Short-cycle tertiary education,,,0.0
2023,Proportion of women aged 20-24 years who were married or in a union before age 15,,under 15 years old,,,Short-cycle tertiary education,,,3.0
2018,Proportion of women aged 20-24 years who were married or in a union before age 15,,under 15 years old,,,,Persons without disability,,3.0
2023,Proportion of women aged 20-24 years who were married or in a union before age 15,,under 15 years old,,,,Persons without disability,,3.0
2018,Proportion of women aged 20-24 years who were married or in a union before age 15,,under 15 years old,,Quintile 1 (poorest),,,,0.0
2023,Proportion of women aged 20-24 years who were married or in a union before age 15,,under 15 years old,,Quintile 1 (poorest),,,,0.0
2018,Proportion of women aged 20-24 years who were married or in a union before age 15,,under 15 years old,,Quintile 2,,,,4.0
2023,Proportion of women aged 20-24 years who were married or in a union before age 15,,under 15 years old,,Quintile 2,,,,11.0
2018,Proportion of women aged 20-24 years who were married or in a union before age 15,,under 15 years old,,Quintile 3,,,,0.0
2023,Proportion of women aged 20-24 years who were married or in a union before age 15,,under 15 years old,,Quintile 3,,,,0.0
2018,Proportion of women aged 20-24 years who were married or in a union before age 15,,under 15 years old,,Quintile 4,,,,0.0
2023,Proportion of women aged 20-24 years who were married or in a union before age 15,,under 15 years old,,Quintile 4,,,,0.0
2018,Proportion of women aged 20-24 years who were married or in a union before age 15,,under 15 years old,,Quintile 5 (richest),,,,11.0
2023,Proportion of women aged 20-24 years who were married or in a union before age 15,,under 15 years old,,Quintile 5 (richest),,,,5.0
2018,Proportion of women aged 20-24 years who were married or in a union before age 18,,under 18 years old,,,,,,129.0
2023,Proportion of women aged 20-24 years who were married or in a union before age 18,,under 18 years old,,,,,,92.0
2018,Proportion of women aged 20-24 years who were married or in a union before age 18,,under 18 years old,Urban,,,,,84.0
2023,Proportion of women aged 20-24 years who were married or in a union before age 18,,under 18 years old,Urban,,,,,56.0
2018,Proportion of women aged 20-24 years who were married or in a union before age 18,,under 18 years old,Rural,,,,,157.0
2023,Proportion of women aged 20-24 years who were married or in a union before age 18,,under 18 years old,Rural,,,,,114.0
2018,Proportion of women aged 20-24 years who were married or in a union before age 18,Batken,under 18 years old,,,,,KG05,144.0
2023,Proportion of women aged 20-24 years who were married or in a union before age 18,Batken,under 18 years old,,,,,KG05,93.0
2018,Proportion of women aged 20-24 years who were married or in a union before age 18,Jalal-Abad,under 18 years old,,,,,KG03,136.0
2023,Proportion of women aged 20-24 years who were married or in a union before age 18,Jalal-Abad,under 18 years old,,,,,KG03,195.0
2018,Proportion of women aged 20-24 years who were married or in a union before age 18,Issyk-Kul,under 18 years old,,,,,KG02,115.0
2018,Proportion of women aged 20-24 years who were married or in a union before age 18,Naryn,under 18 years old,,,,,KG04,184.0
2018,Proportion of women aged 20-24 years who were married or in a union before age 18,Osh,under 18 years old,,,,,KG06,183.0
