Year,Sex,Age,Degree of urbanisation,Economic activity,Value
2015,,,,,23.0
2016,,,,,18.3
2017,,,,,18.0
2018,,,,,15.5
2015,Male,,,,24.6
2016,Male,,,,19.7
2017,Male,,,,20.0
2018,Male,,,,16.6
2015,Female,,,,20.6
2016,Female,,,,16.0
2017,Female,,,,14.8
2018,Female,,,,13.6
2015,,15 to 19 years old,,,23.7
2016,,15 to 19 years old,,,19.0
2017,,15 to 19 years old,,,14.7
2018,,15 to 19 years old,,,12.6
2015,,20 to 24 years old,,,19.9
2016,,20 to 24 years old,,,18.0
2017,,20 to 24 years old,,,13.9
2018,,20 to 24 years old,,,10.7
2015,,25 to 29 years old,,,20.9
2016,,25 to 29 years old,,,17.5
2017,,25 to 29 years old,,,18.5
2018,,25 to 29 years old,,,15.8
2015,,30 to 34 years old,,,31.9
2016,,30 to 34 years old,,,22.5
2017,,30 to 34 years old,,,22.9
2018,,30 to 34 years old,,,18.4
2015,,35 to 39 years old,,,33.4
2016,,35 to 39 years old,,,27.6
2017,,35 to 39 years old,,,26.4
2018,,35 to 39 years old,,,23.4
2015,,40 to 44 years old,,,27.5
2016,,40 to 44 years old,,,20.1
2017,,40 to 44 years old,,,21.8
2018,,40 to 44 years old,,,18.5
2015,,45 to 49 years old,,,20.3
2016,,45 to 49 years old,,,15.1
2017,,45 to 49 years old,,,15.3
2018,,45 to 49 years old,,,13.5
2015,,50 to 54 years old,,,12.4
2016,,50 to 54 years old,,,11.3
2017,,50 to 54 years old,,,10.8
2018,,50 to 54 years old,,,12.5
2015,,55 to 59 years old,,,11.4
2016,,55 to 59 years old,,,8.4
2017,,55 to 59 years old,,,10.3
2018,,55 to 59 years old,,,9.5
2015,,60 to 64 years old,,,9.4
2016,,60 to 64 years old,,,14.2
2017,,60 to 64 years old,,,14.3
2018,,60 to 64 years old,,,12.0
2015,,65 to 69 years old,,,5.3
2016,,65 to 69 years old,,,7.6
2017,,65 to 69 years old,,,6.2
2018,,65 to 69 years old,,,4.8
2015,,70 years old and over,,,4.3
2016,,70 years old and over,,,13.9
2017,,70 years old and over,,,10.6
2018,,70 years old and over,,,3.7
2015,,,Urban,,18.1
2016,,,Urban,,11.8
2017,,,Urban,,13.2
2018,,,Urban,,13.0
2015,,,Rural,,25.5
2016,,,Rural,,21.8
2017,,,Rural,,20.7
2018,,,Rural,,16.9
2015,,,,"Agriculture, forestry and fishing",29.1
2016,,,,"Agriculture, forestry and fishing",24.5
2017,,,,"Agriculture, forestry and fishing",22.6
2018,,,,"Agriculture, forestry and fishing",21.9
2015,,,,Mining and quarrying,25.7
2016,,,,Mining and quarrying,17.4
2017,,,,Mining and quarrying,43.5
2018,,,,Mining and quarrying,46.5
2015,,,,Manufacturing,20.7
2016,,,,Manufacturing,16.8
2017,,,,Manufacturing,19.3
2018,,,,Manufacturing,13.0
2015,,,,"Electricity, gas, steam and air conditioning supply",10.4
2016,,,,"Electricity, gas, steam and air conditioning supply",6.7
2017,,,,"Electricity, gas, steam and air conditioning supply",16.8
2018,,,,"Electricity, gas, steam and air conditioning supply",9.9
2015,,,,"Water supply; sewerage, waste management and remediation activities",8.8
2016,,,,"Water supply; sewerage, waste management and remediation activities",11.0
2017,,,,"Water supply; sewerage, waste management and remediation activities",16.9
