Year,SERIES,COMPOSITE_BREAKDOWN,Value
2013,Proportion of government recurrent expenditure to sectors,Sector: Total,86.5
2014,Proportion of government recurrent expenditure to sectors,Sector: Total,80.2
2015,Proportion of government recurrent expenditure to sectors,Sector: Total,81.8
2016,Proportion of government recurrent expenditure to sectors,Sector: Total,80.0
2017,Proportion of government recurrent expenditure to sectors,Sector: Total,78.4
2018,Proportion of government recurrent expenditure to sectors,Sector: Total,88.7
2013,Proportion of government capital expenditure to sectors,Sector: Total,13.5
2014,Proportion of government capital expenditure to sectors,Sector: Total,19.8
2015,Proportion of government capital expenditure to sectors,Sector: Total,18.2
2016,Proportion of government capital expenditure to sectors,Sector: Total,20.0
2017,Proportion of government capital expenditure to sectors,Sector: Total,21.6
2018,Proportion of government capital expenditure to sectors,Sector: Total,11.3
2013,Proportion of government recurrent expenditure to sectors,Sector: Economic affairs,29.3
2014,Proportion of government recurrent expenditure to sectors,Sector: Economic affairs,24.5
2015,Proportion of government recurrent expenditure to sectors,Sector: Economic affairs,29.2
2016,Proportion of government recurrent expenditure to sectors,Sector: Economic affairs,32.1
2017,Proportion of government recurrent expenditure to sectors,Sector: Economic affairs,24.0
2018,Proportion of government recurrent expenditure to sectors,Sector: Economic affairs,41.5
2013,Proportion of government capital expenditure to sectors,Sector: Economic affairs,70.7
2014,Proportion of government capital expenditure to sectors,Sector: Economic affairs,75.5
2015,Proportion of government capital expenditure to sectors,Sector: Economic affairs,70.8
2016,Proportion of government capital expenditure to sectors,Sector: Economic affairs,67.9
2017,Proportion of government capital expenditure to sectors,Sector: Economic affairs,76.0
2018,Proportion of government capital expenditure to sectors,Sector: Economic affairs,58.5
2013,Proportion of government recurrent expenditure to sectors,Sector: Health,96.5
2014,Proportion of government recurrent expenditure to sectors,Sector: Health,97.6
2015,Proportion of government recurrent expenditure to sectors,Sector: Health,97.6
2016,Proportion of government recurrent expenditure to sectors,Sector: Health,98.6
2017,Proportion of government recurrent expenditure to sectors,Sector: Health,94.2
2018,Proportion of government recurrent expenditure to sectors,Sector: Health,95.5
2013,Proportion of government capital expenditure to sectors,Sector: Health,3.5
2014,Proportion of government capital expenditure to sectors,Sector: Health,2.4
2015,Proportion of government capital expenditure to sectors,Sector: Health,2.4
2016,Proportion of government capital expenditure to sectors,Sector: Health,1.4
2017,Proportion of government capital expenditure to sectors,Sector: Health,5.8
2018,Proportion of government capital expenditure to sectors,Sector: Health,4.5
2013,Proportion of government recurrent expenditure to sectors,Sector: Education,92.2
2014,Proportion of government recurrent expenditure to sectors,Sector: Education,89.6
2015,Proportion of government recurrent expenditure to sectors,Sector: Education,90.6
2016,Proportion of government recurrent expenditure to sectors,Sector: Education,84.8
2017,Proportion of government recurrent expenditure to sectors,Sector: Education,90.4
2018,Proportion of government recurrent expenditure to sectors,Sector: Education,91.6
2013,Proportion of government capital expenditure to sectors,Sector: Education,7.8
2014,Proportion of government capital expenditure to sectors,Sector: Education,10.4
2015,Proportion of government capital expenditure to sectors,Sector: Education,9.4
2016,Proportion of government capital expenditure to sectors,Sector: Education,15.2
2017,Proportion of government capital expenditure to sectors,Sector: Education,9.6
2018,Proportion of government capital expenditure to sectors,Sector: Education,8.4
2013,Proportion of government recurrent expenditure to sectors,Sector: Housing and community amenities,94.3
2014,Proportion of government recurrent expenditure to sectors,Sector: Housing and community amenities,89.4
2015,Proportion of government recurrent expenditure to sectors,Sector: Housing and community amenities,91.7
2016,Proportion of government recurrent expenditure to sectors,Sector: Housing and community amenities,99.4
2017,Proportion of government recurrent expenditure to sectors,Sector: Housing and community amenities,90.1
2018,Proportion of government recurrent expenditure to sectors,Sector: Housing and community amenities,95.1
2013,Proportion of government capital expenditure to sectors,Sector: Housing and community amenities,5.7
2014,Proportion of government capital expenditure to sectors,Sector: Housing and community amenities,10.6
2015,Proportion of government capital expenditure to sectors,Sector: Housing and community amenities,8.3
2016,Proportion of government capital expenditure to sectors,Sector: Housing and community amenities,0.6
2017,Proportion of government capital expenditure to sectors,Sector: Housing and community amenities,9.9
2018,Proportion of government capital expenditure to sectors,Sector: Housing and community amenities,4.9
