Year,Reference area,Degree of urbanisation,Value
2010,,,53
2011,,,45
2012,,,44
2013,,,28
2014,,,12
2015,,,12
2016,,,8
2017,,,8
2018,,,6
2019,,,5
2010,,Urban,42
2011,,Urban,26
2012,,Urban,42
2013,,Urban,16
2014,,Urban,13
2015,,Urban,10
2016,,Urban,3
2017,,Urban,3
2018,,Urban,2
2019,,Urban,1
2010,,Rural,60
2011,,Rural,57
2012,,Rural,45
2013,,Rural,33
2014,,Rural,11
2015,,Rural,14
2016,,Rural,11
2017,,Rural,10
2018,,Rural,7
2019,,Rural,8
2010,Batken,,52
2011,Batken,,36
2012,Batken,,24
2013,Batken,,80
2014,Batken,,26
2015,Batken,,40
2016,Batken,,3
2017,Batken,,34
2018,Batken,,9
2019,Batken,,3
2010,Jalal-Abad,,64
2011,Jalal-Abad,,67
2012,Jalal-Abad,,141
2013,Jalal-Abad,,14
2014,Jalal-Abad,,11
2015,Jalal-Abad,,5
2016,Jalal-Abad,,1
2017,Jalal-Abad,,0
2018,Jalal-Abad,,10
2019,Jalal-Abad,,6
2010,Issyk-Kul,,25
2011,Issyk-Kul,,15
2012,Issyk-Kul,,1
2013,Issyk-Kul,,19
2014,Issyk-Kul,,0
2015,Issyk-Kul,,4
2016,Issyk-Kul,,0
2017,Issyk-Kul,,10
2018,Issyk-Kul,,9
2019,Issyk-Kul,,13
2010,Naryn,,120
2011,Naryn,,147
2012,Naryn,,25
2013,Naryn,,49
2014,Naryn,,18
2015,Naryn,,21
2016,Naryn,,26
2017,Naryn,,20
2018,Naryn,,22
2019,Naryn,,25
2010,Osh,,83
2011,Osh,,37
2012,Osh,,23
2013,Osh,,40
2014,Osh,,4
2015,Osh,,12
2016,Osh,,8
2017,Osh,,0
2018,Osh,,0
2019,Osh,,9
2010,Talas,,50
2011,Talas,,84
2012,Talas,,9
2013,Talas,,0
2014,Talas,,0
2015,Talas,,0
2016,Talas,,0
2017,Talas,,0
2018,Talas,,0
2019,Talas,,0
2010,Chui,,35
2011,Chui,,49
2012,Chui,,39
2013,Chui,,21
2014,Chui,,32
2015,Chui,,17
2016,Chui,,31
2017,Chui,,17
2018,Chui,,3
2019,Chui,,2
2010,Bishkek (city),,5
2011,Bishkek (city),,10
2012,Bishkek (city),,12
2013,Bishkek (city),,10
2014,Bishkek (city),,0
2015,Bishkek (city),,8
2016,Bishkek (city),,0
2017,Bishkek (city),,0
2018,Bishkek (city),,3
2019,Bishkek (city),,0
2013,Osh (city),,35
2014,Osh (city),,31
2015,Osh (city),,17
2016,Osh (city),,0
2017,Osh (city),,12
2018,Osh (city),,6
2019,Osh (city),,0
