Year,Reference area,Sex,Age,Value
2007,,,,35.0
2008,,,,31.7
2009,,,,31.7
2010,,,,33.7
2011,,,,36.8
2012,,,,38.0
2013,,,,37.0
2014,,,,30.6
2015,,,,32.1
2016,,,,25.4
2017,,,,25.6
2018,,,,22.4
2019,,,,20.1
2007,,Female,,34.7
2008,,Female,,31.4
2009,,Female,,30.7
2010,,Female,,32.7
2011,,Female,,36.1
2012,,Female,,37.2
2013,,Female,,36.5
2014,,Female,,29.7
2015,,Female,,31.5
2016,,Female,,25.0
2017,,Female,,25.0
2018,,Female,,22.5
2019,,Female,,20.1
2007,,Male,,35.4
2008,,Male,,32.1
2009,,Male,,32.9
2010,,Male,,34.8
2011,,Male,,37.6
2012,,Male,,39.0
2013,,Male,,37.5
2014,,Male,,31.5
2015,,Male,,32.7
2016,,Male,,25.7
2017,,Male,,26.3
2018,,Male,,22.2
2019,,Male,,20.2
2013,,,under 18 years old,45.2
2014,,,under 18 years old,37.9
2015,,,under 18 years old,40.5
2016,,,under 18 years old,31.5
2017,,,under 18 years old,32.0
2018,,,under 18 years old,28.3
2019,,,under 18 years old,25.7
2013,,,14 to 28 years old,35.6
2014,,,14 to 28 years old,28.5
2015,,,14 to 28 years old,29.0
2016,,,14 to 28 years old,23.0
2017,,,14 to 28 years old,22.9
2018,,,14 to 28 years old,20.9
2019,,,14 to 28 years old,16.2
2013,,,CL_AGE.Y16T62,33.3
2014,,,CL_AGE.Y16T62,27.0
2015,,,CL_AGE.Y16T62,27.9
2016,,,CL_AGE.Y16T62,21.8
2017,,,CL_AGE.Y16T62,22.0
2018,,,CL_AGE.Y16T62,19.3
2019,,,CL_AGE.Y16T62,17.1
2013,,,CL_AGE.Y_GE58,25.2
2014,,,CL_AGE.Y_GE58,21.3
2015,,,CL_AGE.Y_GE58,21.8
2016,,,CL_AGE.Y_GE58,19.9
2017,,,CL_AGE.Y_GE58,18.9
2018,,,CL_AGE.Y_GE58,14.8
2019,,,CL_AGE.Y_GE58,13.3
2007,Batken,,,40.4
2008,Batken,,,20.7
2009,Batken,,,31.5
2010,Batken,,,33.6
2011,Batken,,,35.6
2012,Batken,,,34.2
2013,Batken,,,53.9
2014,Batken,,,40.7
2015,Batken,,,41.2
2016,Batken,,,37.0
2017,Batken,,,40.5
2018,Batken,,,33.8
2019,Batken,,,32.6
2007,Batken,Female,,41.3
2008,Batken,Female,,22.4
2009,Batken,Female,,31.3
2010,Batken,Female,,31.9
2011,Batken,Female,,34.2
2012,Batken,Female,,34.6
2013,Batken,Female,,53.6
2014,Batken,Female,,39.0
2015,Batken,Female,,40.9
2016,Batken,Female,,36.1
2017,Batken,Female,,39.6
2018,Batken,Female,,33.7
2019,Batken,Female,,32.4
2007,Batken,Male,,39.4
2008,Batken,Male,,18.8
2009,Batken,Male,,31.7
2010,Batken,Male,,35.6
2011,Batken,Male,,37.3
2012,Batken,Male,,33.8
2013,Batken,Male,,54.1
2014,Batken,Male,,42.4
2015,Batken,Male,,41.4
2016,Batken,Male,,38.0
2017,Batken,Male,,41.5
2018,Batken,Male,,33.9
2019,Batken,Male,,32.8
2007,Jalal-Abad,,,53.0
2008,Jalal-Abad,,,40.1
2009,Jalal-Abad,,,36.9
2010,Jalal-Abad,,,44.7
2011,Jalal-Abad,,,45.3
2012,Jalal-Abad,,,55.7
2013,Jalal-Abad,,,46.4
2014,Jalal-Abad,,,46.4
2015,Jalal-Abad,,,45.1
2016,Jalal-Abad,,,32.2
2017,Jalal-Abad,,,32.6
2018,Jalal-Abad,,,32.2
2019,Jalal-Abad,,,26.9
2007,Jalal-Abad,Female,,51.6
2008,Jalal-Abad,Female,,37.9
2009,Jalal-Abad,Female,,33.5
2010,Jalal-Abad,Female,,43.7
2011,Jalal-Abad,Female,,43.7
2012,Jalal-Abad,Female,,55.3
2013,Jalal-Abad,Female,,47.4
2014,Jalal-Abad,Female,,47.0
2015,Jalal-Abad,Female,,45.2
2016,Jalal-Abad,Female,,33.1
2017,Jalal-Abad,Female,,34.0
2018,Jalal-Abad,Female,,33.4
2019,Jalal-Abad,Female,,27.8
2007,Jalal-Abad,Male,,54.6
2008,Jalal-Abad,Male,,42.4
2009,Jalal-Abad,Male,,40.5
2010,Jalal-Abad,Male,,45.8
2011,Jalal-Abad,Male,,46.9
2012,Jalal-Abad,Male,,56.1
2013,Jalal-Abad,Male,,45.5
2014,Jalal-Abad,Male,,45.8
2015,Jalal-Abad,Male,,44.9
2016,Jalal-Abad,Male,,31.4
2017,Jalal-Abad,Male,,31.1
2018,Jalal-Abad,Male,,30.9
2019,Jalal-Abad,Male,,26.0
2007,Issyk-Kul,,,38.6
2008,Issyk-Kul,,,52.2
2009,Issyk-Kul,,,46.1
2010,Issyk-Kul,,,38.0
2011,Issyk-Kul,,,29.5
2012,Issyk-Kul,,,28.1
2013,Issyk-Kul,,,39.5
2014,Issyk-Kul,,,26.0
2015,Issyk-Kul,,,28.9
2016,Issyk-Kul,,,24.7
2017,Issyk-Kul,,,24.2
2018,Issyk-Kul,,,21.5
2019,Issyk-Kul,,,24.4
2007,Issyk-Kul,Female,,38.7
2008,Issyk-Kul,Female,,52.2
2009,Issyk-Kul,Female,,47.9
2010,Issyk-Kul,Female,,36.9
2011,Issyk-Kul,Female,,31.1
2012,Issyk-Kul,Female,,28.2
2013,Issyk-Kul,Female,,40.4
2014,Issyk-Kul,Female,,26.4
2015,Issyk-Kul,Female,,29.1
2016,Issyk-Kul,Female,,24.7
2017,Issyk-Kul,Female,,24.3
2018,Issyk-Kul,Female,,21.5
2019,Issyk-Kul,Female,,25.3
2007,Issyk-Kul,Male,,38.5
2008,Issyk-Kul,Male,,52.3
2009,Issyk-Kul,Male,,44.5
2010,Issyk-Kul,Male,,39.0
2011,Issyk-Kul,Male,,28.1
2012,Issyk-Kul,Male,,28.0
2013,Issyk-Kul,Male,,38.5
2014,Issyk-Kul,Male,,25.7
2015,Issyk-Kul,Male,,28.7
2016,Issyk-Kul,Male,,24.7
2017,Issyk-Kul,Male,,24.1
2018,Issyk-Kul,Male,,21.6
2019,Issyk-Kul,Male,,23.6
2007,Naryn,,,45.2
2008,Naryn,,,42.7
2009,Naryn,,,44.1
2010,Naryn,,,53.5
2011,Naryn,,,49.9
2012,Naryn,,,39.9
2013,Naryn,,,43.8
2014,Naryn,,,30.6
2015,Naryn,,,38.0
2016,Naryn,,,37.8
2017,Naryn,,,29.2
2018,Naryn,,,30.6
2019,Naryn,,,28.1
2007,Naryn,Female,,46.9
