Year,Территория,Value
2007,,59.0
2008,,55.0
2009,,62.0
2010,,62.0
2011,,55.0
2012,,44.0
2013,,38.0
2014,,35.0
2015,,36.0
2016,,27.0
2017,,2.5
2018,,2.3
2019,,20.0
2020,,21.0
2007,Баткенская область,19.0
2008,Баткенская область,19.0
2009,Баткенская область,21.0
2010,Баткенская область,25.0
2011,Баткенская область,27.0
2012,Баткенская область,24.0
2013,Баткенская область,22.0
2014,Баткенская область,6.0
2015,Баткенская область,8.0
2016,Баткенская область,20.0
2017,Баткенская область,1.6
2018,Баткенская область,1.5
2019,Баткенская область,19.0
2020,Баткенская область,24.0
2007,Джалал-Абадская область,17.0
2008,Джалал-Абадская область,25.0
2009,Джалал-Абадская область,36.0
2010,Джалал-Абадская область,50.0
2011,Джалал-Абадская область,41.0
2012,Джалал-Абадская область,35.0
2013,Джалал-Абадская область,40.0
2014,Джалал-Абадская область,29.0
2015,Джалал-Абадская область,21.0
2016,Джалал-Абадская область,20.0
2017,Джалал-Абадская область,1.4
2018,Джалал-Абадская область,1.7
2019,Джалал-Абадская область,14.0
2020,Джалал-Абадская область,14.0
2007,Иссык-Кульская область,83.0
2008,Иссык-Кульская область,71.0
2009,Иссык-Кульская область,73.0
2010,Иссык-Кульская область,47.0
2011,Иссык-Кульская область,78.0
2012,Иссык-Кульская область,80.0
2013,Иссык-Кульская область,55.0
2014,Иссык-Кульская область,69.0
2015,Иссык-Кульская область,60.0
2016,Иссык-Кульская область,32.0
2017,Иссык-Кульская область,3.3
2018,Иссык-Кульская область,3.9
2019,Иссык-Кульская область,51.0
2020,Иссык-Кульская область,32.0
2007,Нарынская область,51.0
2008,Нарынская область,62.0
2009,Нарынская область,62.0
2010,Нарынская область,84.0
2011,Нарынская область,64.0
2012,Нарынская область,64.0
2013,Нарынская область,30.0
2014,Нарынская область,37.0
2015,Нарынская область,72.0
2016,Нарынская область,43.0
2017,Нарынская область,4.2
2018,Нарынская область,2.1
2019,Нарынская область,38.0
2020,Нарынская область,24.0
2007,Ошская область,27.0
2008,Ошская область,27.0
2009,Ошская область,35.0
2010,Ошская область,38.0
2011,Ошская область,32.0
2012,Ошская область,18.0
2013,Ошская область,18.0
2014,Ошская область,18.0
2015,Ошская область,17.0
2016,Ошская область,18.0
2017,Ошская область,1.5
2018,Ошская область,20.0
2019,Ошская область,11.0
2020,Ошская область,8.0
2007,Таласская область,22.0
2008,Таласская область,67.0
2009,Таласская область,31.0
2010,Таласская область,56.0
2011,Таласская область,43.0
2012,Таласская область,59.0
2013,Таласская область,70.0
2014,Таласская область,53.0
2015,Таласская область,32.0
2016,Таласская область,24.0
2017,Таласская область,1.9
2018,Таласская область,0.8
2019,Таласская область,30.0
2020,Таласская область,22.0
2007,Чуйская область,149.0
2008,Чуйская область,127.0
2009,Чуйская область,139.0
2010,Чуйская область,133.0
2011,Чуйская область,95.0
2012,Чуйская область,92.0
2013,Чуйская область,63.0
2014,Чуйская область,64.0
2015,Чуйская область,72.0
2016,Чуйская область,55.0
2017,Чуйская область,5.5
2018,Чуйская область,3.7
2019,Чуйская область,25.0
2020,Чуйская область,45.0
2007,г. Бишкек,81.0
2008,г. Бишкек,70.0
2009,г. Бишкек,79.0
2010,г. Бишкек,64.0
2011,г. Бишкек,67.0
2012,г. Бишкек,36.0
2013,г. Бишкек,25.0
2014,г. Бишкек,36.0
2015,г. Бишкек,36.0
2016,г. Бишкек,26.0
2017,г. Бишкек,2.7
2018,г. Бишкек,2.3
2019,г. Бишкек,12.0
2020,г. Бишкек,14.0
2007,г. Ош,78.0
2008,г. Ош,31.0
2009,г. Ош,54.0
2010,г. Ош,47.0
2011,г. Ош,55.0
2012,г. Ош,15.0
2013,г. Ош,61.0
2014,г. Ош,19.0
2015,г. Ош,40.0
2016,г. Ош,11.0
2017,г. Ош,1.8
2018,г. Ош,1.7
2019,г. Ош,20.0
2020,г. Ош,32.0
