Year,Reference area,Sex,Территория,Пол,Value
2007,,,,,93.0
2008,,,,,281.0
2009,,,,,71.0
2010,,,,,158.0
2011,,,,,140.0
2012,,,,,99.0
2013,,,,,95.0
2014,,,,,62.0
2015,,,,,53.0
2016,,,,,47.0
2017,,,,,141.0
2018,,,,,18.0
2019,,,,,17.0
2020,,,,,51.0
2021,,,,,109.0
2007,,Male,,,74.0
2008,,Male,,,184.0
2009,,Male,,,48.0
2010,,Male,,,106.0
2011,,Male,,,93.0
2012,,Male,,,65.0
2013,,Male,,,62.0
2014,,Male,,,39.0
2015,,Male,,,33.0
2016,,Male,,,37.0
2017,,Male,,,85.0
2018,,Male,,,14.0
2019,,Male,,,8.0
2020,,Male,,,29.0
2021,,Male,,,74.0
2007,,Female,,,19.0
2008,,Female,,,97.0
2009,,Female,,,23.0
2010,,Female,,,52.0
2011,,Female,,,47.0
2012,,Female,,,34.0
2013,,Female,,,33.0
2014,,Female,,,23.0
2015,,Female,,,20.0
2016,,Female,,,10.0
2017,,Female,,,56.0
2018,,Female,,,4.0
2019,,Female,,,9.0
2020,,Female,,,22.0
2021,,Female,,,35.0
2007,Batken,,,,8.0
2008,Batken,,,,9.0
2010,Batken,,,,15.0
2011,Batken,,,,7.0
2012,Batken,,,,9.0
2013,Batken,,,,3.0
2014,Batken,,,,3.0
2015,Batken,,,,1.0
2016,Batken,,,,9.0
2019,Batken,,,,6.0
2020,Batken,,,,5.0
2021,Batken,,,,36.0
2007,Batken,Male,,,6.0
2008,Batken,Male,,,9.0
2010,Batken,Male,,,11.0
2011,Batken,Male,,,4.0
2012,Batken,Male,,,7.0
2013,Batken,Male,,,3.0
2014,Batken,Male,,,3.0
2015,Batken,Male,,,1.0
2016,Batken,Male,,,7.0
2019,Batken,Male,,,4.0
2020,Batken,Male,,,3.0
2021,Batken,Male,,,35.0
2007,Batken,Female,,,2.0
2010,Batken,Female,,,4.0
2011,Batken,Female,,,3.0
2012,Batken,Female,,,2.0
2016,Batken,Female,,,2.0
2019,Batken,Female,,,2.0
2020,Batken,Female,,,2.0
2021,Batken,Female,,,1.0
2007,Jalal-Abad,,,,5.0
2008,Jalal-Abad,,,,25.0
2009,Jalal-Abad,,,,39.0
2010,Jalal-Abad,,,,32.0
2011,Jalal-Abad,,,,35.0
2012,Jalal-Abad,,,,33.0
2013,Jalal-Abad,,,,31.0
2014,Jalal-Abad,,,,17.0
2015,Jalal-Abad,,,,11.0
2016,Jalal-Abad,,,,13.0
2017,Jalal-Abad,,,,43.0
2018,Jalal-Abad,,,,4.0
2020,Jalal-Abad,,,,15.0
2021,Jalal-Abad,,,,15.0
2007,Jalal-Abad,Male,,,5.0
2008,Jalal-Abad,Male,,,18.0
