Year,COMMENT_OBS,SERIES,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,GeoCode,Value
2014,"According to Multiple Indicator Cluster Survey, 2014",SH_STA_WAST,,,,,,,,2.8
2018,"According to Multiple Indicator Cluster Survey, 2018.",SH_STA_WAST,,,,,,,,2.0
2014,"According to Multiple Indicator Cluster Survey, 2014",SH_STA_WAST,KG05,,,,,,KG05,2.2
2018,"According to Multiple Indicator Cluster Survey, 2018.",SH_STA_WAST,KG05,,,,,,KG05,2.3
2014,"According to Multiple Indicator Cluster Survey, 2014",SH_STA_WAST,KG03,,,,,,KG03,7.9
2018,"According to Multiple Indicator Cluster Survey, 2018.",SH_STA_WAST,KG03,,,,,,KG03,3.8
2014,"According to Multiple Indicator Cluster Survey, 2014",SH_STA_WAST,KG02,,,,,,KG02,1.7
2018,"According to Multiple Indicator Cluster Survey, 2018.",SH_STA_WAST,KG02,,,,,,KG02,2.1
2014,"According to Multiple Indicator Cluster Survey, 2014",SH_STA_WAST,KG04,,,,,,KG04,0.5
2018,"According to Multiple Indicator Cluster Survey, 2018.",SH_STA_WAST,KG04,,,,,,KG04,1.1
2014,"According to Multiple Indicator Cluster Survey, 2014",SH_STA_WAST,KG06,,,,,,KG06,1.1
2018,"According to Multiple Indicator Cluster Survey, 2018.",SH_STA_WAST,KG06,,,,,,KG06,1.6
2014,"According to Multiple Indicator Cluster Survey, 2014",SH_STA_WAST,KG07,,,,,,KG07,1.0
2018,"According to Multiple Indicator Cluster Survey, 2018.",SH_STA_WAST,KG07,,,,,,KG07,2.9
2014,"According to Multiple Indicator Cluster Survey, 2014",SH_STA_WAST,KG08,,,,,,KG08,1.5
2018,"According to Multiple Indicator Cluster Survey, 2018.",SH_STA_WAST,KG08,,,,,,KG08,1.5
2014,"According to Multiple Indicator Cluster Survey, 2014",SH_STA_WAST,KG11,,,,,,KG11,2.1
2018,"According to Multiple Indicator Cluster Survey, 2018.",SH_STA_WAST,KG11,,,,,,KG11,0.6
2014,"According to Multiple Indicator Cluster Survey, 2014",SH_STA_WAST,KG21,,,,,,KG21,2.4
2018,"According to Multiple Indicator Cluster Survey, 2018.",SH_STA_WAST,KG21,,,,,,KG21,1.8
2014,"According to Multiple Indicator Cluster Survey, 2014",SH_STA_WAST,,M,,,,,,2.8
2018,"According to Multiple Indicator Cluster Survey, 2018.",SH_STA_WAST,,M,,,,,,2.0
2014,"According to Multiple Indicator Cluster Survey, 2014",SH_STA_WAST,,F,,,,,,2.9
2018,"According to Multiple Indicator Cluster Survey, 2018.",SH_STA_WAST,,F,,,,,,2.1
2014,"According to Multiple Indicator Cluster Survey, 2014",SH_STA_WAST,,,,U,,,,2.6
2018,"According to Multiple Indicator Cluster Survey, 2018.",SH_STA_WAST,,,,U,,,,1.8
2014,"According to Multiple Indicator Cluster Survey, 2014",SH_STA_WAST,,,,R,,,,2.9
2018,"According to Multiple Indicator Cluster Survey, 2018.",SH_STA_WAST,,,,R,,,,2.1
2014,"According to Multiple Indicator Cluster Survey, 2014",SH_STA_WAST,,,M0T5,,,,,6.5
2018,"According to Multiple Indicator Cluster Survey, 2018.",SH_STA_WAST,,,M0T5,,,,,5.1
2014,"According to Multiple Indicator Cluster Survey, 2014",SH_STA_WAST,,,M6T11,,,,,3.1
2018,"According to Multiple Indicator Cluster Survey, 2018.",SH_STA_WAST,,,M6T11,,,,,3.0
2014,"According to Multiple Indicator Cluster Survey, 2014",SH_STA_WAST,,,M12T17,,,,,2.3
2018,"According to Multiple Indicator Cluster Survey, 2018.",SH_STA_WAST,,,M12T17,,,,,3.2
2014,"According to Multiple Indicator Cluster Survey, 2014",SH_STA_WAST,,,M18T23,,,,,2.2
2018,"According to Multiple Indicator Cluster Survey, 2018.",SH_STA_WAST,,,M18T23,,,,,0.9
2014,"According to Multiple Indicator Cluster Survey, 2014",SH_STA_WAST,,,M24T35,,,,,1.6
2018,"According to Multiple Indicator Cluster Survey, 2018.",SH_STA_WAST,,,M24T35,,,,,2.1
2014,"According to Multiple Indicator Cluster Survey, 2014",SH_STA_WAST,,,Y3T4,,,,,2.9
2018,"According to Multiple Indicator Cluster Survey, 2018.",SH_STA_WAST,,,Y3T4,,,,,1.3
2014,"According to Multiple Indicator Cluster Survey, 2014",SH_STA_WAST,,,M48T59,,,,,2.7
2018,"According to Multiple Indicator Cluster Survey, 2018.",SH_STA_WAST,,,M48T59,,,,,0.6
2014,Education of mother,SH_STA_WAST,,,,,,ISCED11_2,,3.2
2018,Education of mother,SH_STA_WAST,,,,,,ISCED11_2,,2.8
2014,Education of mother,SH_STA_WAST,,,,,,ISCED11_3,,3.2
2018,Education of mother,SH_STA_WAST,,,,,,ISCED11_3,,1.8
2014,Education of mother,SH_STA_WAST,,,,,,ISCED11_4,,2.1
2018,Education of mother,SH_STA_WAST,,,,,,ISCED11_4,,2.4
2014,Education of mother,SH_STA_WAST,,,,,,ISCED11_5,,2.5
2018,Education of mother,SH_STA_WAST,,,,,,ISCED11_5,,1.8
2014,"According to Multiple Indicator Cluster Survey, 2014",SH_STA_WAST,,,,,Q1,,,3.1
2018,"According to Multiple Indicator Cluster Survey, 2018.",SH_STA_WAST,,,,,Q1,,,1.5
2014,"According to Multiple Indicator Cluster Survey, 2014",SH_STA_WAST,,,,,Q2,,,3.6
2018,"According to Multiple Indicator Cluster Survey, 2018.",SH_STA_WAST,,,,,Q2,,,2.9
2014,"According to Multiple Indicator Cluster Survey, 2014",SH_STA_WAST,,,,,Q3,,,2.4
2018,"According to Multiple Indicator Cluster Survey, 2018.",SH_STA_WAST,,,,,Q3,,,2.2
2014,"According to Multiple Indicator Cluster Survey, 2014",SH_STA_WAST,,,,,Q4,,,1.6
2018,"According to Multiple Indicator Cluster Survey, 2018.",SH_STA_WAST,,,,,Q4,,,0.9
2014,"According to Multiple Indicator Cluster Survey, 2014",SH_STA_WAST,,,,,Q5,,,3.3
2018,"According to Multiple Indicator Cluster Survey, 2018.",SH_STA_WAST,,,,,Q5,,,2.6
2014,"According to Multiple Indicator Cluster Survey, 2014",SN_STA_OVWGT,,,,,,,,7.0
2018,"According to Multiple Indicator Cluster Survey, 2018.",SN_STA_OVWGT,,,,,,,,6.9
2014,"According to Multiple Indicator Cluster Survey, 2014",SN_STA_OVWGT,KG05,,,,,,KG05,3.4
2018,"According to Multiple Indicator Cluster Survey, 2018.",SN_STA_OVWGT,KG05,,,,,,KG05,6.9
2014,"According to Multiple Indicator Cluster Survey, 2014",SN_STA_OVWGT,KG03,,,,,,KG03,8.7
2018,"According to Multiple Indicator Cluster Survey, 2018.",SN_STA_OVWGT,KG03,,,,,,KG03,8.9
2014,"According to Multiple Indicator Cluster Survey, 2014",SN_STA_OVWGT,KG02,,,,,,KG02,7.8
2018,"According to Multiple Indicator Cluster Survey, 2018.",SN_STA_OVWGT,KG02,,,,,,KG02,4.6
2014,"According to Multiple Indicator Cluster Survey, 2014",SN_STA_OVWGT,KG04,,,,,,KG04,6.2
2018,"According to Multiple Indicator Cluster Survey, 2018.",SN_STA_OVWGT,KG04,,,,,,KG04,4.4
2014,"According to Multiple Indicator Cluster Survey, 2014",SN_STA_OVWGT,KG06,,,,,,KG06,4.7
2018,"According to Multiple Indicator Cluster Survey, 2018.",SN_STA_OVWGT,KG06,,,,,,KG06,5.3
2014,"According to Multiple Indicator Cluster Survey, 2014",SN_STA_OVWGT,KG07,,,,,,KG07,7.3
2018,"According to Multiple Indicator Cluster Survey, 2018.",SN_STA_OVWGT,KG07,,,,,,KG07,2.9
2014,"According to Multiple Indicator Cluster Survey, 2014",SN_STA_OVWGT,KG08,,,,,,KG08,9.0
2018,"According to Multiple Indicator Cluster Survey, 2018.",SN_STA_OVWGT,KG08,,,,,,KG08,11.7
2014,"According to Multiple Indicator Cluster Survey, 2014",SN_STA_OVWGT,KG11,,,,,,KG11,9.5
2018,"According to Multiple Indicator Cluster Survey, 2018.",SN_STA_OVWGT,KG11,,,,,,KG11,7.4
2014,"According to Multiple Indicator Cluster Survey, 2014",SN_STA_OVWGT,KG21,,,,,,KG21,4.3
2018,"According to Multiple Indicator Cluster Survey, 2018.",SN_STA_OVWGT,KG21,,,,,,KG21,3.3
2014,"According to Multiple Indicator Cluster Survey, 2014",SN_STA_OVWGT,,M,,,,,,7.8
2018,"According to Multiple Indicator Cluster Survey, 2018.",SN_STA_OVWGT,,M,,,,,,6.8
2014,"According to Multiple Indicator Cluster Survey, 2014",SN_STA_OVWGT,,F,,,,,,6.1
2018,"According to Multiple Indicator Cluster Survey, 2018.",SN_STA_OVWGT,,F,,,,,,7.1
2014,"According to Multiple Indicator Cluster Survey, 2014",SN_STA_OVWGT,,,,U,,,,8.2
2018,"According to Multiple Indicator Cluster Survey, 2018.",SN_STA_OVWGT,,,,U,,,,7.0
2014,"According to Multiple Indicator Cluster Survey, 2014",SN_STA_OVWGT,,,,R,,,,6.5
2018,"According to Multiple Indicator Cluster Survey, 2018.",SN_STA_OVWGT,,,,R,,,,6.9
2014,"According to Multiple Indicator Cluster Survey, 2014",SN_STA_OVWGT,,,M0T5,,,,,9.0
2018,"According to Multiple Indicator Cluster Survey, 2018.",SN_STA_OVWGT,,,M0T5,,,,,9.4
2014,"According to Multiple Indicator Cluster Survey, 2014",SN_STA_OVWGT,,,M6T11,,,,,11.5
2018,"According to Multiple Indicator Cluster Survey, 2018.",SN_STA_OVWGT,,,M6T11,,,,,10.5
2014,"According to Multiple Indicator Cluster Survey, 2014",SN_STA_OVWGT,,,M12T17,,,,,11.1
2018,"According to Multiple Indicator Cluster Survey, 2018.",SN_STA_OVWGT,,,M12T17,,,,,7.3
2014,"According to Multiple Indicator Cluster Survey, 2014",SN_STA_OVWGT,,,M18T23,,,,,6.8
2018,"According to Multiple Indicator Cluster Survey, 2018.",SN_STA_OVWGT,,,M18T23,,,,,8.5
2014,"According to Multiple Indicator Cluster Survey, 2014",SN_STA_OVWGT,,,M24T35,,,,,6.8
2018,"According to Multiple Indicator Cluster Survey, 2018.",SN_STA_OVWGT,,,M24T35,,,,,7.2
2014,"According to Multiple Indicator Cluster Survey, 2014",SN_STA_OVWGT,,,Y3T4,,,,,5.0
2018,"According to Multiple Indicator Cluster Survey, 2018.",SN_STA_OVWGT,,,Y3T4,,,,,4.6
2014,"According to Multiple Indicator Cluster Survey, 2014",SN_STA_OVWGT,,,M48T59,,,,,3.3
2018,"According to Multiple Indicator Cluster Survey, 2018.",SN_STA_OVWGT,,,M48T59,,,,,5.1
2014,Education of mother,SN_STA_OVWGT,,,,,,ISCED11_2,,4.9
2018,Education of mother,SN_STA_OVWGT,,,,,,ISCED11_2,,7.4
2014,Education of mother,SN_STA_OVWGT,,,,,,ISCED11_3,,6.7
2018,Education of mother,SN_STA_OVWGT,,,,,,ISCED11_3,,6.1
2014,Education of mother,SN_STA_OVWGT,,,,,,ISCED11_4,,7.2
2018,Education of mother,SN_STA_OVWGT,,,,,,ISCED11_4,,8.5
2014,Education of mother,SN_STA_OVWGT,,,,,,ISCED11_5,,8.3
2018,Education of mother,SN_STA_OVWGT,,,,,,ISCED11_5,,6.9
2014,"According to Multiple Indicator Cluster Survey, 2014",SN_STA_OVWGT,,,,,Q1,,,6.2
2018,"According to Multiple Indicator Cluster Survey, 2018.",SN_STA_OVWGT,,,,,Q1,,,7.0
2014,"According to Multiple Indicator Cluster Survey, 2014",SN_STA_OVWGT,,,,,Q2,,,4.4
2018,"According to Multiple Indicator Cluster Survey, 2018.",SN_STA_OVWGT,,,,,Q2,,,6.2
