Year,Территория,Возраст,Тип местности,Уровень дохода или квантиль благосостояния,Уровень образования,Статус инвалидности,GeoCode,Value
2014,,,,,,,,32.8
2018,,,,,,,,29.9
2023,,,,,,,,18.9
2014,,,Городская,,,,,27.1
2018,,,Городская,,,,,22.1
2023,,,Городская,,,,,15.1
2014,,,Сельская,,,,,35.9
2018,,,Сельская,,,,,34.8
2023,,,Сельская,,,,,20.8
2014,Баткенская область,,,,,,KG05,50.7
2018,Баткенская область,,,,,,KG05,20.1
2023,Баткенская область,,,,,,KG05,24.4
2014,Джалал-Абадская область,,,,,,KG03,15.5
2018,Джалал-Абадская область,,,,,,KG03,30.4
2023,Джалал-Абадская область,,,,,,KG03,17.1
2014,Иссык-Кульская область,,,,,,KG02,37.5
2018,Иссык-Кульская область,,,,,,KG02,18.7
2023,Иссык-Кульская область,,,,,,KG02,11.8
2014,Нарынская область,,,,,,KG04,34.8
2018,Нарынская область,,,,,,KG04,31.4
2023,Нарынская область,,,,,,KG04,17.6
2014,Ошская область,,,,,,KG06,48.1
2018,Ошская область,,,,,,KG06,43.1
2023,Ошская область,,,,,,KG06,31.5
2014,Таласская область,,,,,,KG07,36.5
2018,Таласская область,,,,,,KG07,22.3
2023,Таласская область,,,,,,KG07,12.4
2014,Чуйская область,,,,,,KG08,33.3
2018,Чуйская область,,,,,,KG08,41.2
2023,Чуйская область,,,,,,KG08,12.5
2014,г. Бишкек,,,,,,KG11,18.2
2018,г. Бишкек,,,,,,KG11,16.5
2023,г. Бишкек,,,,,,KG11,12.6
2014,г. Ош,,,,,,KG21,47.1
2018,г. Ош,,,,,,KG21,31.8
2023,г. Ош,,,,,,KG21,12.7
2023,,от 15 до 17 лет,,,,,,9.4
2014,,от 15 до 19 лет,,,,,,21.5
2018,,от 15 до 19 лет,,,,,,24.1
2023,,от 15 до 19 лет,,,,,,10.3
2023,,от 18 до 19 лет,,,,,,12.7
2014,,от 20 до 24 лет,,,,,,34.0
2018,,от 20 до 24 лет,,,,,,33.1
2023,,от 20 до 24 лет,,,,,,17.6
2014,,от 25 до 29 лет,,,,,,36.7
2018,,от 25 до 29 лет,,,,,,31.3
2023,,от 25 до 29 лет,,,,,,21.3
2014,,от 30 до 34 лет,,,,,,37.9
2018,,от 30 до 34 лет,,,,,,32.4
2023,,от 30 до 34 лет,,,,,,19.3
2014,,от 35 до 39 лет,,,,,,34.6
2018,,от 35 до 39 лет,,,,,,31.9
2023,,от 35 до 39 лет,,,,,,21.4
2014,,от 40 до 44 лет,,,,,,34.2
2018,,от 40 до 44 лет,,,,,,27.2
2023,,от 40 до 44 лет,,,,,,23.1
2014,,от 45 до 49 лет,,,,,,32.2
2018,,от 45 до 49 лет,,,,,,28.2
2023,,от 45 до 49 лет,,,,,,19.1
2014,,,,,Первый этап среднего образования,,,34.9
2018,,,,,Первый этап среднего образования,,,48.1
2023,,,,,Первый этап среднего образования,,,29.6
2014,,,,,Второй этап среднего образования,,,38.0
2018,,,,,Второй этап среднего образования,,,33.8
2023,,,,,Второй этап среднего образования,,,24.0
2014,,,,,Послесреднее нетретичное образование,,,29.5
2018,,,,,Послесреднее нетретичное образование,,,27.2
2023,,,,,Послесреднее нетретичное образование,,,14.5
2014,,,,,Высшее образование (бакалавриат и магистратура или эквиваленты),,,24.8
2018,,,,,Высшее образование (бакалавриат и магистратура или эквиваленты),,,19.6
2023,,,,,Высшее образование (бакалавриат и магистратура или эквиваленты),,,10.5
2018,,от 18 до 49 лет,,,,Лица с инвалидностью,,48.6
2023,,от 18 до 49 лет,,,,Лица с инвалидностью,,37.2
2018,,от 18 до 49 лет,,,,Лица без инвалидности,,30.2
2023,,от 18 до 49 лет,,,,Лица без инвалидности,,19.7
2014,,,,Квинтиль 1 (беднейшие),,,,40.5
2018,,,,Квинтиль 1 (беднейшие),,,,37.9
2023,,,,Квинтиль 1 (беднейшие),,,,27.6
2014,,,,Квинтиль 2,,,,39.2
2018,,,,Квинтиль 2,,,,34.4
2023,,,,Квинтиль 2,,,,25.2
2014,,,,Квинтиль 3,,,,36.5
2018,,,,Квинтиль 3,,,,37.6
2023,,,,Квинтиль 3,,,,18.9
2014,,,,Квинтиль 4,,,,30.3
2018,,,,Квинтиль 4,,,,26.6
2023,,,,Квинтиль 4,,,,15.2
2014,,,,Квинтиль 5 (богатейшие),,,,20.5
2018,,,,Квинтиль 5 (богатейшие),,,,15.0
2023,,,,Квинтиль 5 (богатейшие),,,,9.1
