Year,Территория,Пол,Возраст,Тип местности,Уровень дохода или квантиль благосостояния,Уровень образования,GeoCode,Value
2018,,,15 лет и старше,,,,,24.4
2019,,,15 лет и старше,,,,,32.172359
2020,,,15 лет и старше,,,,,35.908367
2018,,,15 лет и старше,Городская,,,,28.1
2019,,,15 лет и старше,Городская,,,,36.797119
2020,,,15 лет и старше,Городская,,,,38.037471
2018,,,15 лет и старше,Сельская,,,,22.2
2019,,,15 лет и старше,Сельская,,,,29.421489
2020,,,15 лет и старше,Сельская,,,,34.606561
2018,,Мужчины,15 лет и старше,,,,,23.4
2019,,Мужчины,15 лет и старше,,,,,30.211974
2020,,Мужчины,15 лет и старше,,,,,33.229388
2018,,Женщины,15 лет и старше,,,,,25.2
2019,,Женщины,15 лет и старше,,,,,33.807908
2020,,Женщины,15 лет и старше,,,,,38.177301
2018,Баткенская область,,15 лет и старше,,,,KG05,11.9
2019,Баткенская область,,15 лет и старше,,,,KG05,20.274736
2020,Баткенская область,,15 лет и старше,,,,KG05,26.775957
2018,Джалал-Абадская область,,15 лет и старше,,,,KG03,13.1
2019,Джалал-Абадская область,,15 лет и старше,,,,KG03,26.361287
2020,Джалал-Абадская область,,15 лет и старше,,,,KG03,26.539366
2018,Иссык-Кульская область,,15 лет и старше,,,,KG02,8.8
2019,Иссык-Кульская область,,15 лет и старше,,,,KG02,9.973074
2020,Иссык-Кульская область,,15 лет и старше,,,,KG02,27.245677
2018,Нарынская область,,15 лет и старше,,,,KG04,35.3
2019,Нарынская область,,15 лет и старше,,,,KG04,43.200634
2020,Нарынская область,,15 лет и старше,,,,KG04,40.824543
2018,Ошская область,,15 лет и старше,,,,KG06,30.7
2019,Ошская область,,15 лет и старше,,,,KG06,37.460737
2020,Ошская область,,15 лет и старше,,,,KG06,43.889458
2018,Таласская область,,15 лет и старше,,,,KG07,18.4
2019,Таласская область,,15 лет и старше,,,,KG07,32.044373
2020,Таласская область,,15 лет и старше,,,,KG07,33.277756
2018,Чуйская область,,15 лет и старше,,,,KG08,35.9
2019,Чуйская область,,15 лет и старше,,,,KG08,41.213464
2020,Чуйская область,,15 лет и старше,,,,KG08,43.885818
2018,г. Бишкек,,15 лет и старше,,,,KG11,30.8
2019,г. Бишкек,,15 лет и старше,,,,KG11,34.961164
2020,г. Бишкек,,15 лет и старше,,,,KG11,38.853903
2018,г. Ош,,15 лет и старше,,,,KG21,23.3
2019,г. Ош,,15 лет и старше,,,,KG21,40.128114
2020,г. Ош,,15 лет и старше,,,,KG21,31.952317
2018,,,от 15 до 28 лет,,,,,12.7
2019,,,от 15 до 28 лет,,,,,16.40832
2020,,,от 15 до 28 лет,,,,,18.496814
2018,,,"от 29 до 62 лет (население трудоспособного возраста: женщины до 57 лет, мужчины до 62 лет)",,,,,26.3
2019,,,"от 29 до 62 лет (население трудоспособного возраста: женщины до 57 лет, мужчины до 62 лет)",,,,,33.477733
2020,,,"от 29 до 62 лет (население трудоспособного возраста: женщины до 57 лет, мужчины до 62 лет)",,,,,37.033088
2018,,,"58 лет и старше (население старше струдоспособного возраста: женщины 58 лет и старше, мужчины 63 лет и старше)",,,,,39.5
2019,,,"58 лет и старше (население старше струдоспособного возраста: женщины 58 лет и старше, мужчины 63 лет и старше)",,,,,55.192244
2020,,,"58 лет и старше (население старше струдоспособного возраста: женщины 58 лет и старше, мужчины 63 лет и старше)",,,,,59.619519
2018,,,15 лет и старше,,,Начальное образование,,17.0
2019,,,15 лет и старше,,,Начальное образование,,25.253959
2020,,,15 лет и старше,,,Начальное образование,,24.636899
2018,,,15 лет и старше,,,Первый этап среднего образования,,10.8
2019,,,15 лет и старше,,,Первый этап среднего образования,,15.506281
2020,,,15 лет и старше,,,Первый этап среднего образования,,18.134313
2018,,,15 лет и старше,,,Второй этап среднего образования,,18.2
2019,,,15 лет и старше,,,Второй этап среднего образования,,25.60731
2020,,,15 лет и старше,,,Второй этап среднего образования,,29.738081
2018,,,15 лет и старше,,,Послесреднее нетретичное образование,,32.1
2019,,,15 лет и старше,,,Послесреднее нетретичное образование,,39.576314
2020,,,15 лет и старше,,,Послесреднее нетретичное образование,,44.647997
2018,,,15 лет и старше,,,Высшее образование (бакалавриат и магистратура или эквиваленты),,44.1
2019,,,15 лет и старше,,,Высшее образование (бакалавриат и магистратура или эквиваленты),,54.556962
2020,,,15 лет и старше,,,Высшее образование (бакалавриат и магистратура или эквиваленты),,57.646116
2018,,,15 лет и старше,,Квинтиль 1 (беднейшие),,,12.285869
2019,,,15 лет и старше,,Квинтиль 1 (беднейшие),,,19.928329
2020,,,15 лет и старше,,Квинтиль 1 (беднейшие),,,23.264547
2018,,,15 лет и старше,,Квинтиль 2,,,20.108219
2019,,,15 лет и старше,,Квинтиль 2,,,29.54173
2020,,,15 лет и старше,,Квинтиль 2,,,35.464543
2018,,,15 лет и старше,,Квинтиль 3,,,23.688371
2019,,,15 лет и старше,,Квинтиль 3,,,31.242776
2020,,,15 лет и старше,,Квинтиль 3,,,39.252696
2018,,,15 лет и старше,,Квинтиль 4,,,28.405545
2019,,,15 лет и старше,,Квинтиль 4,,,36.901646
2020,,,15 лет и старше,,Квинтиль 4,,,39.606036
2018,,,15 лет и старше,,Квинтиль 5 (богатейшие),,,32.674186
2019,,,15 лет и старше,,Квинтиль 5 (богатейшие),,,38.816776
2020,,,15 лет и старше,,Квинтиль 5 (богатейшие),,,46.669807
