Year,SERIES,Территория,Возраст,Тип местности,Уровень дохода или квантиль благосостояния,Уровень образования,Статус инвалидности,GeoCode,Value
2018,"Доля женщин в возрасте от 20 до 24 лет, вступивших в брак или союз до 15 лет",,до 15 лет,,,,,,0.3
2018,"Доля женщин в возрасте от 20 до 24 лет, вступивших в брак или союз до 15 лет",,до 15 лет,Городская,,,,,0.6
2018,"Доля женщин в возрасте от 20 до 24 лет, вступивших в брак или союз до 15 лет",,до 15 лет,Сельская,,,,,0.1
2018,"Доля женщин в возрасте от 20 до 24 лет, вступивших в брак или союз до 15 лет",Баткенская область,до 15 лет,,,,,KG05,0.0
2018,"Доля женщин в возрасте от 20 до 24 лет, вступивших в брак или союз до 15 лет",Джалал-Абадская область,до 15 лет,,,,,KG03,0.0
2018,"Доля женщин в возрасте от 20 до 24 лет, вступивших в брак или союз до 15 лет",Иссык-Кульская область,до 15 лет,,,,,KG02,0.0
2018,"Доля женщин в возрасте от 20 до 24 лет, вступивших в брак или союз до 15 лет",Нарынская область,до 15 лет,,,,,KG04,0.0
2018,"Доля женщин в возрасте от 20 до 24 лет, вступивших в брак или союз до 15 лет",Ошская область,до 15 лет,,,,,KG06,0.0
2018,"Доля женщин в возрасте от 20 до 24 лет, вступивших в брак или союз до 15 лет",Таласская область,до 15 лет,,,,,KG07,2.8
2018,"Доля женщин в возрасте от 20 до 24 лет, вступивших в брак или союз до 15 лет",Чуйская область,до 15 лет,,,,,KG08,0.0
2018,"Доля женщин в возрасте от 20 до 24 лет, вступивших в брак или союз до 15 лет",г. Бишкек,до 15 лет,,,,,KG11,1.0
2018,"Доля женщин в возрасте от 20 до 24 лет, вступивших в брак или союз до 15 лет",г. Ош,до 15 лет,,,,,KG21,0.0
2018,"Доля женщин в возрасте от 20 до 24 лет, вступивших в брак или союз до 15 лет",,до 15 лет,,,Первый этап среднего образования,,,0.6
2018,"Доля женщин в возрасте от 20 до 24 лет, вступивших в брак или союз до 15 лет",,до 15 лет,,,Второй этап среднего образования,,,0.8
2018,"Доля женщин в возрасте от 20 до 24 лет, вступивших в брак или союз до 15 лет",,до 15 лет,,,Послесреднее нетретичное образование,,,0.0
2018,"Доля женщин в возрасте от 20 до 24 лет, вступивших в брак или союз до 15 лет",,до 15 лет,,,Короткий цикл третичного образования,,,0.0
2018,"Доля женщин в возрасте от 20 до 24 лет, вступивших в брак или союз до 15 лет",,до 15 лет,,,,Лица без инвалидности,,0.3
2018,"Доля женщин в возрасте от 20 до 24 лет, вступивших в брак или союз до 15 лет",,до 15 лет,,Квинтиль 1 (беднейшие),,,,0.0
2018,"Доля женщин в возрасте от 20 до 24 лет, вступивших в брак или союз до 15 лет",,до 15 лет,,Квинтиль 2,,,,0.4
2018,"Доля женщин в возрасте от 20 до 24 лет, вступивших в брак или союз до 15 лет",,до 15 лет,,Квинтиль 3,,,,0.0
2018,"Доля женщин в возрасте от 20 до 24 лет, вступивших в брак или союз до 15 лет",,до 15 лет,,Квинтиль 4,,,,0.0
2018,"Доля женщин в возрасте от 20 до 24 лет, вступивших в брак или союз до 15 лет",,до 15 лет,,Квинтиль 5 (богатейшие),,,,1.1
2018,"Доля женщин в возрасте от 20 до 24 лет, вступивших в брак или союз до 18 лет",,до 18 лет,,,,,,12.9
2018,"Доля женщин в возрасте от 20 до 24 лет, вступивших в брак или союз до 18 лет",,до 18 лет,Городская,,,,,8.4
2018,"Доля женщин в возрасте от 20 до 24 лет, вступивших в брак или союз до 18 лет",,до 18 лет,Сельская,,,,,15.7
2018,"Доля женщин в возрасте от 20 до 24 лет, вступивших в брак или союз до 18 лет",Баткенская область,до 18 лет,,,,,KG05,14.4
