Year,Reference area,Sex,Age,Degree of urbanisation,Income or wealth quantile,Education level,Disability status,Observation-level footnotes,GeoCode,Value
2014,,,under 5 years old,,,,,,,97.7
2018,,,under 5 years old,,,,,,,98.9
2023,,,under 5 years old,,,,,,,99.5
2014,,Male,under 5 years old,,,,,,,97.6
2018,,Male,under 5 years old,,,,,,,99.5
2023,,Male,under 5 years old,,,,,,,99.2
2014,,Female,under 5 years old,,,,,,,97.9
2018,,Female,under 5 years old,,,,,,,98.4
2023,,Female,under 5 years old,,,,,,,99.9
2014,,,under 5 years old,Urban,,,,,,98.5
2018,,,under 5 years old,Urban,,,,,,99.1
2023,,,under 5 years old,Urban,,,,,,99.3
2014,,,under 5 years old,Rural,,,,,,97.4
2018,,,under 5 years old,Rural,,,,,,98.9
2023,,,under 5 years old,Rural,,,,,,99.6
2014,Batken,,under 5 years old,,,,,,KG05,99.4
2018,Batken,,under 5 years old,,,,,,KG05,99.7
2023,Batken,,under 5 years old,,,,,,KG05,99.8
2014,Jalal-Abad,,under 5 years old,,,,,,KG03,98.7
2018,Jalal-Abad,,under 5 years old,,,,,,KG03,99.4
2023,Jalal-Abad,,under 5 years old,,,,,,KG03,99.3
2014,Issyk-Kul,,under 5 years old,,,,,,KG02,97.1
2018,Issyk-Kul,,under 5 years old,,,,,,KG02,99.8
2023,Issyk-Kul,,under 5 years old,,,,,,KG02,99.5
2014,Naryn,,under 5 years old,,,,,,KG04,99.6
2018,Naryn,,under 5 years old,,,,,,KG04,99.3
2023,Naryn,,under 5 years old,,,,,,KG04,100.0
2014,Osh,,under 5 years old,,,,,,KG06,95.9
2018,Osh,,under 5 years old,,,,,,KG06,99.3
2023,Osh,,under 5 years old,,,,,,KG06,99.5
2014,Talas,,under 5 years old,,,,,,KG07,97.0
2018,Talas,,under 5 years old,,,,,,KG07,99.5
2023,Talas,,under 5 years old,,,,,,KG07,100.0
2014,Chui,,under 5 years old,,,,,,KG08,97.4
2018,Chui,,under 5 years old,,,,,,KG08,96.8
2023,Chui,,under 5 years old,,,,,,KG08,99.4
2014,Bishkek (city),,under 5 years old,,,,,,KG11,98.4
2018,Bishkek (city),,under 5 years old,,,,,,KG11,99.2
2023,Bishkek (city),,under 5 years old,,,,,,KG11,99.3
2014,Osh (city),,under 5 years old,,,,,,KG21,98.8
2018,Osh (city),,under 5 years old,,,,,,KG21,97.5
2023,Osh (city),,under 5 years old,,,,,,KG21,100.0
2014,,,under 1 year old,,,,,,,95.4
2018,,,under 1 year old,,,,,,,96.9
2023,,,under 1 year old,,,,,,,98.4
2014,,,12 to 23 months old,,,,,,,96.0
2018,,,12 to 23 months old,,,,,,,98.8
2023,,,12 to 23 months old,,,,,,,99.7
2014,,,24 to 35 months old,,,,,,,98.8
2018,,,24 to 35 months old,,,,,,,99.2
2023,,,24 to 35 months old,,,,,,,99.7
2014,,,3 to 4 years old,,,,,,,97.6
2018,,,3 to 4 years old,,,,,,,99.9
2023,,,3 to 4 years old,,,,,,,99.7
2014,,,48 to 59 months old,,,,,,,98.7
2018,,,48 to 59 months old,,,,,,,99.8
2023,,,48 to 59 months old,,,,,,,100.0
2014,,,under 5 years old,,,Lower secondary education,,Образование матери,,96.4
2018,,,under 5 years old,,,Lower secondary education,,Образование матери,,98.1
2023,,,under 5 years old,,,Lower secondary education,,Образование матери,,98.7
2014,,,under 5 years old,,,Upper secondary education,,Образование матери,,97.8
2018,,,under 5 years old,,,Upper secondary education,,Образование матери,,98.8
2023,,,under 5 years old,,,Upper secondary education,,Образование матери,,99.6
2014,,,under 5 years old,,,Post-secondary non-tertiary education,,Образование матери,,99.1
2018,,,under 5 years old,,,Post-secondary non-tertiary education,,Образование матери,,98.8
2023,,,under 5 years old,,,Post-secondary non-tertiary education,,Образование матери,,99.6
2014,,,under 5 years old,,,Tertiary education (Bachelor’s and Master's or equivalent),,Образование матери,,98.7
2018,,,under 5 years old,,,Tertiary education (Bachelor’s and Master's or equivalent),,Образование матери,,99.5
2023,,,under 5 years old,,,Tertiary education (Bachelor’s and Master's or equivalent),,Образование матери,,99.7
2023,,,under 5 years old,,,,Child with disability,,,100.0
2018,,,under 5 years old,,,,Child without disability,,,99.6
2023,,,under 5 years old,,,,Child without disability,,,99.8
2018,,,18 to 49 years old,,,,Mother with disability,,,97.7
2018,,,18 to 49 years old,,,,Mother without disability,,,98.9
2023,,,18 to 49 years old,,,,Mother without disability,,,99.5
2018,,,18 to 49 years old,,,,No information,,,100.0
2014,,,under 5 years old,,Quintile 1 (poorest),,,,,95.8
2018,,,under 5 years old,,Quintile 1 (poorest),,,,,99.0
2023,,,under 5 years old,,Quintile 1 (poorest),,,,,99.3
2014,,,under 5 years old,,Quintile 2,,,,,97.8
2018,,,under 5 years old,,Quintile 2,,,,,98.4
2023,,,under 5 years old,,Quintile 2,,,,,99.2
2014,,,under 5 years old,,Quintile 3,,,,,98.3
2018,,,under 5 years old,,Quintile 3,,,,,98.8
2023,,,under 5 years old,,Quintile 3,,,,,99.7
2014,,,under 5 years old,,Quintile 4,,,,,98.0
2018,,,under 5 years old,,Quintile 4,,,,,99.1
2023,,,under 5 years old,,Quintile 4,,,,,100.0
2014,,,under 5 years old,,Quintile 5 (richest),,,,,99.1
2018,,,under 5 years old,,Quintile 5 (richest),,,,,99.6
2023,,,under 5 years old,,Quintile 5 (richest),,,,,99.6
