Year,SERIES,Value
2007,"Proportion of total government spending on essential services (education, health and social protection)",43.1
2008,"Proportion of total government spending on essential services (education, health and social protection)",41.5
2009,"Proportion of total government spending on essential services (education, health and social protection)",39.0
2010,"Proportion of total government spending on essential services (education, health and social protection)",42.8
2011,"Proportion of total government spending on essential services (education, health and social protection)",45.3
2012,"Proportion of total government spending on essential services (education, health and social protection)",47.1
2013,"Proportion of total government spending on essential services (education, health and social protection)",51.6
2014,"Proportion of total government spending on essential services (education, health and social protection)",47.6
2015,"Proportion of total government spending on essential services (education, health and social protection)",46.8
2016,"Proportion of total government spending on essential services (education, health and social protection)",45.3
2017,"Proportion of total government spending on essential services (education, health and social protection)",45.3
2018,"Proportion of total government spending on essential services (education, health and social protection)",48.9
2019,"Proportion of total government spending on essential services (education, health and social protection)",49.2
2020,"Proportion of total government spending on essential services (education, health and social protection)",53.2
2021,"Proportion of total government spending on essential services (education, health and social protection)",47.8
2007,"Proportion of total government spending on essential services, education",22.4
2008,"Proportion of total government spending on essential services, education",21.4
2009,"Proportion of total government spending on essential services, education",19.6
2010,"Proportion of total government spending on essential services, education",17.4
2011,"Proportion of total government spending on essential services, education",19.9
2012,"Proportion of total government spending on essential services, education",20.2
2013,"Proportion of total government spending on essential services, education",20.8
2014,"Proportion of total government spending on essential services, education",18.5
2015,"Proportion of total government spending on essential services, education",18.9
2016,"Proportion of total government spending on essential services, education",20.0
2017,"Proportion of total government spending on essential services, education",19.4
2018,"Proportion of total government spending on essential services, education",21.1
2019,"Proportion of total government spending on essential services, education",21.4
2020,"Proportion of total government spending on essential services, education",23.2
2021,"Proportion of total government spending on essential services, education",20.7
2007,Proportion of total government spending on health,10.2
2008,Proportion of total government spending on health,9.8
2009,Proportion of total government spending on health,9.9
2010,Proportion of total government spending on health,9.3
2011,Proportion of total government spending on health,9.9
2012,Proportion of total government spending on health,10.6
2013,Proportion of total government spending on health,11.3
2014,Proportion of total government spending on health,9.9
2015,Proportion of total government spending on health,9.5
2016,Proportion of total government spending on health,8.8
2017,Proportion of total government spending on health,9.7
2018,Proportion of total government spending on health,8.6
2019,Proportion of total government spending on health,8.3
2020,Proportion of total government spending on health,10.0
2021,Proportion of total government spending on health,9.8
2007,Proportion of total government spending on social protection,10.5
2008,Proportion of total government spending on social protection,10.3
2009,Proportion of total government spending on social protection,9.5
2010,Proportion of total government spending on social protection,16.1
2011,Proportion of total government spending on social protection,15.5
2012,Proportion of total government spending on social protection,16.3
2013,Proportion of total government spending on social protection,19.5
2014,Proportion of total government spending on social protection,19.2
2015,Proportion of total government spending on social protection,18.4
2016,Proportion of total government spending on social protection,16.5
2017,Proportion of total government spending on social protection,16.2
2018,Proportion of total government spending on social protection,19.1
2019,Proportion of total government spending on social protection,19.5
2020,Proportion of total government spending on social protection,20.0
2021,Proportion of total government spending on social protection,17.3
