Year,SDG Series,Value
2008,Assets to GDP,29.2
2009,Assets to GDP,36.6
2010,Assets to GDP,27.6
2011,Assets to GDP,23.6
2012,Assets to GDP,28.2
2013,Assets to GDP,31.3
2014,Assets to GDP,34.3
2015,Assets to GDP,41.4
2016,Assets to GDP,37.4
2017,Assets to GDP,37.3
2018,Assets to GDP,39.8
2007,Deposits to GDP,16.5
2008,Deposits to GDP,15.7
2009,Deposits to GDP,19.7
2010,Deposits to GDP,15.5
2011,Deposits to GDP,13.5
2012,Deposits to GDP,16.3
2013,Deposits to GDP,19.0
2014,Deposits to GDP,20.6
2015,Deposits to GDP,23.9
2016,Deposits to GDP,22.5
2017,Deposits to GDP,22.9
2018,Deposits to GDP,23.9
2007,Loans to GDP,14.7
2008,Loans to GDP,13.6
2009,Loans to GDP,12.5
2010,Loans to GDP,12.0
2011,Loans to GDP,10.9
2012,Loans to GDP,12.9
2013,Loans to GDP,15.2
2014,Loans to GDP,19.7
2015,Loans to GDP,21.8
2016,Loans to GDP,19.6
2017,Loans to GDP,20.4
2018,Loans to GDP,23.0
