Year,SERIES,Reference area,Sex,Age,UNIT_MEASURE,GeoCode,Value
2014,"Number of victims of intentional homicide per 100,000 population",,,,"Per 100,000 population",,54
2015,"Number of victims of intentional homicide per 100,000 population",,,,"Per 100,000 population",,50
2016,"Number of victims of intentional homicide per 100,000 population",,,,"Per 100,000 population",,43
2017,"Number of victims of intentional homicide per 100,000 population",,,,"Per 100,000 population",,40
2018,"Number of victims of intentional homicide per 100,000 population",,,,"Per 100,000 population",,31
2019,"Number of victims of intentional homicide per 100,000 population",,,,"Per 100,000 population",,26
2020,"Number of victims of intentional homicide per 100,000 population",,,,"Per 100,000 population",,25
2021,"Number of victims of intentional homicide per 100,000 population",,,,"Per 100,000 population",,26
2022,"Number of victims of intentional homicide per 100,000 population",,,,"Per 100,000 population",,27
2023,"Number of victims of intentional homicide per 100,000 population",,,,"Per 100,000 population",,15
2014,Number of victims of intentional homicide,,,,Number,,320
2015,Number of victims of intentional homicide,,,,Number,,305
2016,Number of victims of intentional homicide,,,,Number,,267
2017,Number of victims of intentional homicide,,,,Number,,256
2018,Number of victims of intentional homicide,,,,Number,,203
2019,Number of victims of intentional homicide,,,,Number,,174
2020,Number of victims of intentional homicide,,,,Number,,172
2021,Number of victims of intentional homicide,,,,Number,,182
2022,Number of victims of intentional homicide,,,,Number,,191
2023,Number of victims of intentional homicide,,,,Number,,106
2014,"Number of victims of intentional homicide per 100,000 population",,Male,,"Per 100,000 population",,76
2015,"Number of victims of intentional homicide per 100,000 population",,Male,,"Per 100,000 population",,75
2016,"Number of victims of intentional homicide per 100,000 population",,Male,,"Per 100,000 population",,65
2017,"Number of victims of intentional homicide per 100,000 population",,Male,,"Per 100,000 population",,62
2018,"Number of victims of intentional homicide per 100,000 population",,Male,,"Per 100,000 population",,50
2019,"Number of victims of intentional homicide per 100,000 population",,Male,,"Per 100,000 population",,40
2020,"Number of victims of intentional homicide per 100,000 population",,Male,,"Per 100,000 population",,40
2021,"Number of victims of intentional homicide per 100,000 population",,Male,,"Per 100,000 population",,42
2022,"Number of victims of intentional homicide per 100,000 population",,Male,,"Per 100,000 population",,43
2023,"Number of victims of intentional homicide per 100,000 population",,Male,,"Per 100,000 population",,24
2014,"Number of victims of intentional homicide per 100,000 population",,Female,,"Per 100,000 population",,31
2015,"Number of victims of intentional homicide per 100,000 population",,Female,,"Per 100,000 population",,26
2016,"Number of victims of intentional homicide per 100,000 population",,Female,,"Per 100,000 population",,21
2017,"Number of victims of intentional homicide per 100,000 population",,Female,,"Per 100,000 population",,19
2018,"Number of victims of intentional homicide per 100,000 population",,Female,,"Per 100,000 population",,12
2019,"Number of victims of intentional homicide per 100,000 population",,Female,,"Per 100,000 population",,13
2020,"Number of victims of intentional homicide per 100,000 population",,Female,,"Per 100,000 population",,11
2021,"Number of victims of intentional homicide per 100,000 population",,Female,,"Per 100,000 population",,11
