Year,SERIES,Sex,Value
2014,Number of persons convicted of official misconduct,,378
2015,Number of persons convicted of official misconduct,,336
2016,Number of persons convicted of official misconduct,,351
2017,Number of persons convicted of official misconduct,,234
2018,Number of persons convicted of official misconduct,,342
2019,Number of persons convicted of official misconduct,,223
2020,Number of persons convicted of official misconduct,,210
2021,Number of persons convicted of official misconduct,,371
2022,Number of persons convicted of official misconduct,,370
2023,Number of persons convicted of official misconduct,,413
2014,Number of persons convicted of corruption and bribery,,62
2015,Number of persons convicted of corruption and bribery,,69
2016,Number of persons convicted of corruption and bribery,,72
2017,Number of persons convicted of corruption and bribery,,52
2018,Number of persons convicted of corruption and bribery,,56
2019,Number of persons convicted of corruption and bribery,,66
2020,Number of persons convicted of corruption and bribery,,59
2021,Number of persons convicted of corruption and bribery,,178
2022,Number of persons convicted of corruption and bribery,,137
2023,Number of persons convicted of corruption and bribery,,79
2014,Number of persons convicted of official misconduct,Male,323
2015,Number of persons convicted of official misconduct,Male,278
2016,Number of persons convicted of official misconduct,Male,286
2017,Number of persons convicted of official misconduct,Male,196
2018,Number of persons convicted of official misconduct,Male,297
2019,Number of persons convicted of official misconduct,Male,193
2020,Number of persons convicted of official misconduct,Male,184
2021,Number of persons convicted of official misconduct,Male,342
2022,Number of persons convicted of official misconduct,Male,314
2023,Number of persons convicted of official misconduct,Male,311
2014,Number of persons convicted of corruption and bribery,Male,57
2015,Number of persons convicted of corruption and bribery,Male,65
2016,Number of persons convicted of corruption and bribery,Male,61
2017,Number of persons convicted of corruption and bribery,Male,44
2018,Number of persons convicted of corruption and bribery,Male,53
2019,Number of persons convicted of corruption and bribery,Male,57
2020,Number of persons convicted of corruption and bribery,Male,54
2021,Number of persons convicted of corruption and bribery,Male,168
2022,Number of persons convicted of corruption and bribery,Male,121
2023,Number of persons convicted of corruption and bribery,Male,76
2014,Number of persons convicted of official misconduct,Female,55
2015,Number of persons convicted of official misconduct,Female,58
2016,Number of persons convicted of official misconduct,Female,65
2017,Number of persons convicted of official misconduct,Female,38
2018,Number of persons convicted of official misconduct,Female,45
2019,Number of persons convicted of official misconduct,Female,30
2020,Number of persons convicted of official misconduct,Female,26
2021,Number of persons convicted of official misconduct,Female,29
2022,Number of persons convicted of official misconduct,Female,50
2023,Number of persons convicted of official misconduct,Female,102
2014,Number of persons convicted of corruption and bribery,Female,5
2015,Number of persons convicted of corruption and bribery,Female,4
2016,Number of persons convicted of corruption and bribery,Female,11
2017,Number of persons convicted of corruption and bribery,Female,8
2018,Number of persons convicted of corruption and bribery,Female,3
2019,Number of persons convicted of corruption and bribery,Female,9
2020,Number of persons convicted of corruption and bribery,Female,5
2021,Number of persons convicted of corruption and bribery,Female,10
2022,Number of persons convicted of corruption and bribery,Female,16
2023,Number of persons convicted of corruption and bribery,Female,15
