Year,SERIES,UNIT_MEASURE,Value
2019,Number of local governments,Number,484
2020,Number of local governments,Number,484
2021,Number of local governments,Number,484
2022,Number of local governments,Number,484
2023,Number of local governments,Number,484
2019,Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies,Percent,101
2020,Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies,Percent,132
2021,Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies,Percent,215
2022,Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies,Percent,345
2023,Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies,Percent,405
2019,Number of local governments that adopt and implement local DRR strategies in line with national strategies,Number,49
2020,Number of local governments that adopt and implement local DRR strategies in line with national strategies,Number,67
2021,Number of local governments that adopt and implement local DRR strategies in line with national strategies,Number,104
2022,Number of local governments that adopt and implement local DRR strategies in line with national strategies,Number,167
2023,Number of local governments that adopt and implement local DRR strategies in line with national strategies,Number,169
