Year,Территория,Пол,Возраст,Тип местности,Уровень дохода или квантиль благосостояния,Уровень образования,Статус инвалидности,Сноски на уровне наблюдения,GeoCode,Value
2018,,,до 5 лет,,,,,,,98.9
2018,,Мужчины,до 5 лет,,,,,,,99.5
2018,,Женщины,до 5 лет,,,,,,,98.4
2018,,,до 5 лет,Городская,,,,,,99.1
2018,,,до 5 лет,Сельская,,,,,,98.9
2018,Баткенская область,,до 5 лет,,,,,,KG05,99.7
2018,Джалал-Абадская область,,до 5 лет,,,,,,KG03,99.4
2018,Иссык-Кульская область,,до 5 лет,,,,,,KG02,99.8
2018,Нарынская область,,до 5 лет,,,,,,KG04,99.3
2018,Ошская область,,до 5 лет,,,,,,KG06,99.3
2018,Таласская область,,до 5 лет,,,,,,KG07,99.5
2018,Чуйская область,,до 5 лет,,,,,,KG08,96.8
2018,г. Бишкек,,до 5 лет,,,,,,KG11,99.2
2018,г. Ош,,до 5 лет,,,,,,KG21,97.5
2018,,,до 1 года,,,,,,,96.9
2018,,,от 12 до 23 месяцев,,,,,,,98.8
2018,,,от 24 до 35 месяцев,,,,,,,99.2
2018,,,от 3 до 4 лет,,,,,,,99.9
2018,,,от 48 до 59 месяцев,,,,,,,99.8
2018,,,до 5 лет,,,Первый этап среднего образования,,Education of mother,,98.1
2018,,,до 5 лет,,,Второй этап среднего образования,,Education of mother,,98.8
2018,,,до 5 лет,,,Послесреднее нетретичное образование,,Education of mother,,98.8
2018,,,до 5 лет,,,Высшее образование (бакалавриат и магистратура или эквиваленты),,Education of mother,,99.5
2018,,,до 5 лет,,,,Ребенок с инвалидностью,,,100.0
2018,,,до 5 лет,,,,Ребенок без инвалидности,,,99.6
2018,,,от 18 до 49 лет,,,,Наличие инвалидности у матери,,,97.7
2018,,,от 18 до 49 лет,,,,Отсутствие инвалидности у матери,,,98.9
2018,,,от 18 до 49 лет,,,,Нет информации,,,100.0
2018,,,до 5 лет,,Квинтиль 1 (беднейшие),,,,,99.0
2018,,,до 5 лет,,Квинтиль 2,,,,,98.4
2018,,,до 5 лет,,Квинтиль 3,,,,,98.8
2018,,,до 5 лет,,Квинтиль 4,,,,,99.1
2018,,,до 5 лет,,Квинтиль 5 (богатейшие),,,,,99.6
