Year,Территория,Пол,Value
2007,,,93.0
2008,,,281.0
2009,,,71.0
2010,,,158.0
2011,,,140.0
2012,,,99.0
2013,,,95.0
2014,,,62.0
2015,,,53.0
2016,,,47.0
2017,,,141.0
2018,,,18.0
2019,,,17.0
2020,,,51.0
2021,,,109.0
2007,,Мужчины,74.0
2008,,Мужчины,184.0
2009,,Мужчины,48.0
2010,,Мужчины,106.0
2011,,Мужчины,93.0
2012,,Мужчины,65.0
2013,,Мужчины,62.0
2014,,Мужчины,39.0
2015,,Мужчины,33.0
2016,,Мужчины,37.0
2017,,Мужчины,85.0
2018,,Мужчины,14.0
2019,,Мужчины,8.0
2020,,Мужчины,29.0
2021,,Мужчины,74.0
2007,,Женщины,19.0
2008,,Женщины,97.0
2009,,Женщины,23.0
2010,,Женщины,52.0
2011,,Женщины,47.0
2012,,Женщины,34.0
2013,,Женщины,33.0
2014,,Женщины,23.0
2015,,Женщины,20.0
2016,,Женщины,10.0
2017,,Женщины,56.0
2018,,Женщины,4.0
2019,,Женщины,9.0
2020,,Женщины,22.0
2021,,Женщины,35.0
2007,Баткенская область,,8.0
2008,Баткенская область,,9.0
2009,Баткенская область,,0.0
2010,Баткенская область,,15.0
2011,Баткенская область,,7.0
2012,Баткенская область,,9.0
2013,Баткенская область,,3.0
2014,Баткенская область,,3.0
2015,Баткенская область,,1.0
2016,Баткенская область,,9.0
2017,Баткенская область,,0.0
2018,Баткенская область,,0.0
2019,Баткенская область,,6.0
2020,Баткенская область,,5.0
2021,Баткенская область,,36.0
2007,Баткенская область,Мужчины,6.0
2008,Баткенская область,Мужчины,9.0
2009,Баткенская область,Мужчины,0.0
2010,Баткенская область,Мужчины,11.0
2011,Баткенская область,Мужчины,4.0
2012,Баткенская область,Мужчины,7.0
2013,Баткенская область,Мужчины,3.0
2014,Баткенская область,Мужчины,3.0
2015,Баткенская область,Мужчины,1.0
2016,Баткенская область,Мужчины,7.0
2017,Баткенская область,Мужчины,0.0
2018,Баткенская область,Мужчины,0.0
2019,Баткенская область,Мужчины,4.0
2020,Баткенская область,Мужчины,3.0
2021,Баткенская область,Мужчины,35.0
2007,Баткенская область,Женщины,2.0
2008,Баткенская область,Женщины,0.0
2009,Баткенская область,Женщины,0.0
2010,Баткенская область,Женщины,4.0
2011,Баткенская область,Женщины,3.0
2012,Баткенская область,Женщины,2.0
2013,Баткенская область,Женщины,0.0
2014,Баткенская область,Женщины,0.0
2015,Баткенская область,Женщины,0.0
2016,Баткенская область,Женщины,2.0
2017,Баткенская область,Женщины,0.0
2018,Баткенская область,Женщины,0.0
2019,Баткенская область,Женщины,2.0
2020,Баткенская область,Женщины,2.0
2021,Баткенская область,Женщины,1.0
