Year,SERIES,Sex,Value
2012,Proportion of positions in public institutions: in political positions,,30
2013,Proportion of positions in public institutions: in political positions,,49
2014,Proportion of positions in public institutions: in political positions,,31
2015,Proportion of positions in public institutions: in political positions,,44
2016,Proportion of positions in public institutions: in political positions,,45
2017,Proportion of positions in public institutions: in political positions,,16
2018,Proportion of positions in public institutions: in political positions,,13
2019,Proportion of positions in public institutions: in political positions,,12
2020,Proportion of positions in public institutions: in political positions,,12
2012,Proportion of positions in public institutions: in political positions,Male,39
2013,Proportion of positions in public institutions: in political positions,Male,61
2014,Proportion of positions in public institutions: in political positions,Male,57
2015,Proportion of positions in public institutions: in political positions,Male,57
2016,Proportion of positions in public institutions: in political positions,Male,59
2017,Proportion of positions in public institutions: in political positions,Male,23
2018,Proportion of positions in public institutions: in political positions,Male,20
2019,Proportion of positions in public institutions: in political positions,Male,17
2020,Proportion of positions in public institutions: in political positions,Male,17
2012,Proportion of positions in public institutions: in political positions,Female,16
2013,Proportion of positions in public institutions: in political positions,Female,31
2014,Proportion of positions in public institutions: in political positions,Female,26
2015,Proportion of positions in public institutions: in political positions,Female,25
2016,Proportion of positions in public institutions: in political positions,Female,26
2017,Proportion of positions in public institutions: in political positions,Female,5
2018,Proportion of positions in public institutions: in political positions,Female,4
2019,Proportion of positions in public institutions: in political positions,Female,4
2020,Proportion of positions in public institutions: in political positions,Female,4
2012,Proportion of positions in public institutions: in special positions,,24
2013,Proportion of positions in public institutions: in special positions,,13
2014,Proportion of positions in public institutions: in special positions,,9
2015,Proportion of positions in public institutions: in special positions,,22
2016,Proportion of positions in public institutions: in special positions,,26
2017,Proportion of positions in public institutions: in special positions,,27
2018,Proportion of positions in public institutions: in special positions,,26
2019,Proportion of positions in public institutions: in special positions,,33
2020,Proportion of positions in public institutions: in special positions,,33
2012,Proportion of positions in public institutions: in special positions,Male,27
2013,Proportion of positions in public institutions: in special positions,Male,16
2014,Proportion of positions in public institutions: in special positions,Male,22
2015,Proportion of positions in public institutions: in special positions,Male,26
2016,Proportion of positions in public institutions: in special positions,Male,28
2017,Proportion of positions in public institutions: in special positions,Male,28
2018,Proportion of positions in public institutions: in special positions,Male,27
2019,Proportion of positions in public institutions: in special positions,Male,39
2020,Proportion of positions in public institutions: in special positions,Male,39
2012,Proportion of positions in public institutions: in special positions,Female,20
2013,Proportion of positions in public institutions: in special positions,Female,9
2014,Proportion of positions in public institutions: in special positions,Female,17
2015,Proportion of positions in public institutions: in special positions,Female,17
2016,Proportion of positions in public institutions: in special positions,Female,23
2017,Proportion of positions in public institutions: in special positions,Female,24
2018,Proportion of positions in public institutions: in special positions,Female,25
2019,Proportion of positions in public institutions: in special positions,Female,25
2020,Proportion of positions in public institutions: in special positions,Female,24
2012,Proportion of positions in public institutions: in administrative positions,,946
2013,Proportion of positions in public institutions: in administrative positions,,938
2014,Proportion of positions in public institutions: in administrative positions,,960
2015,Proportion of positions in public institutions: in administrative positions,,934
2016,Proportion of positions in public institutions: in administrative positions,,928
2017,Proportion of positions in public institutions: in administrative positions,,958
2018,Proportion of positions in public institutions: in administrative positions,,961
2019,Proportion of positions in public institutions: in administrative positions,,955
2020,Proportion of positions in public institutions: in administrative positions,,955
2012,Proportion of positions in public institutions: in administrative positions,Male,933
2013,Proportion of positions in public institutions: in administrative positions,Male,923
2014,Proportion of positions in public institutions: in administrative positions,Male,922
2015,Proportion of positions in public institutions: in administrative positions,Male,917
2016,Proportion of positions in public institutions: in administrative positions,Male,913
2017,Proportion of positions in public institutions: in administrative positions,Male,948
2018,Proportion of positions in public institutions: in administrative positions,Male,954
2019,Proportion of positions in public institutions: in administrative positions,Male,944
2020,Proportion of positions in public institutions: in administrative positions,Male,944
2012,Proportion of positions in public institutions: in administrative positions,Female,964
2013,Proportion of positions in public institutions: in administrative positions,Female,960
2014,Proportion of positions in public institutions: in administrative positions,Female,957
2015,Proportion of positions in public institutions: in administrative positions,Female,958
2016,Proportion of positions in public institutions: in administrative positions,Female,951
2017,Proportion of positions in public institutions: in administrative positions,Female,971
2018,Proportion of positions in public institutions: in administrative positions,Female,972
2019,Proportion of positions in public institutions: in administrative positions,Female,972
2020,Proportion of positions in public institutions: in administrative positions,Female,972
