Year,SERIES,Reference area,Sex,Age,Degree of urbanisation,Income or wealth quantile,Education level,COMPOSITE_BREAKDOWN,Disability status,GeoCode,Value
2018,Proportion of children aged 7–14 years who have achieved minimum proficiency in reading by successfully completing three foundational reading tasks,,,,,,,,,,57.9
2023,Proportion of children aged 7–14 years who have achieved minimum proficiency in reading by successfully completing three foundational reading tasks,,,,,,,,,,68.5
2018,Proportion of children aged 7–14 years who have achieved minimum proficiency in reading by successfully completing three foundational reading tasks,,,,Urban,,,,,,66.7
2023,Proportion of children aged 7–14 years who have achieved minimum proficiency in reading by successfully completing three foundational reading tasks,,,,Urban,,,,,,75.3
2018,Proportion of children aged 7–14 years who have achieved minimum proficiency in reading by successfully completing three foundational reading tasks,,,,Rural,,,,,,53.8
2023,Proportion of children aged 7–14 years who have achieved minimum proficiency in reading by successfully completing three foundational reading tasks,,,,Rural,,,,,,65.6
2018,Proportion of children aged 7–14 years who have achieved minimum proficiency in reading by successfully completing three foundational reading tasks,,Male,,,,,,,,55.8
2023,Proportion of children aged 7–14 years who have achieved minimum proficiency in reading by successfully completing three foundational reading tasks,,Male,,,,,,,,66.9
2018,Proportion of children aged 7–14 years who have achieved minimum proficiency in reading by successfully completing three foundational reading tasks,,Female,,,,,,,,60.1
2023,Proportion of children aged 7–14 years who have achieved minimum proficiency in reading by successfully completing three foundational reading tasks,,Female,,,,,,,,70.1
2018,Proportion of children aged 7–14 years who have achieved minimum proficiency in reading by successfully completing three foundational reading tasks,Batken,,,,,,,,KG05,66.0
2023,Proportion of children aged 7–14 years who have achieved minimum proficiency in reading by successfully completing three foundational reading tasks,Batken,,,,,,,,KG05,81.1
2018,Proportion of children aged 7–14 years who have achieved minimum proficiency in reading by successfully completing three foundational reading tasks,Jalal-Abad,,,,,,,,KG03,50.0
2023,Proportion of children aged 7–14 years who have achieved minimum proficiency in reading by successfully completing three foundational reading tasks,Jalal-Abad,,,,,,,,KG03,76.5
2018,Proportion of children aged 7–14 years who have achieved minimum proficiency in reading by successfully completing three foundational reading tasks,Issyk-Kul,,,,,,,,KG02,65.0
2023,Proportion of children aged 7–14 years who have achieved minimum proficiency in reading by successfully completing three foundational reading tasks,Issyk-Kul,,,,,,,,KG02,84.4
2018,Proportion of children aged 7–14 years who have achieved minimum proficiency in reading by successfully completing three foundational reading tasks,Naryn,,,,,,,,KG04,39.0
2023,Proportion of children aged 7–14 years who have achieved minimum proficiency in reading by successfully completing three foundational reading tasks,Naryn,,,,,,,,KG04,58.2
2018,Proportion of children aged 7–14 years who have achieved minimum proficiency in reading by successfully completing three foundational reading tasks,Osh,,,,,,,,KG06,55.0
2023,Proportion of children aged 7–14 years who have achieved minimum proficiency in reading by successfully completing three foundational reading tasks,Osh,,,,,,,,KG06,56.6
