Year,COMPOSITE_BREAKDOWN,Value
2007,,254
2008,,248
2009,,276
2010,,263
2011,,272
2012,,280
2013,,287
2014,,298
2015,,298
2016,,274
2017,,282
2018,,266
2019,,270
2020,,253
2007,_L_INC_TAX,187
2008,_L_INC_TAX,191
2009,_L_INC_TAX,179
2010,_L_INC_TAX,179
2011,_L_INC_TAX,185
2012,_L_INC_TAX,206
2013,_L_INC_TAX,205
2014,_L_INC_TAX,206
2015,_L_INC_TAX,197
2016,_L_INC_TAX,197
2017,_L_INC_TAX,195
2018,_L_INC_TAX,205
2019,_L_INC_TAX,196
2020,_L_INC_TAX,178
2016,_L_INC_CONT_DED,0
2017,_L_INC_CONT_DED,5
2007,_L_INC_OFF_TRANS,13
2008,_L_INC_OFF_TRANS,7
2009,_L_INC_OFF_TRANS,51
2010,_L_INC_OFF_TRANS,32
2011,_L_INC_OFF_TRANS,31
2012,_L_INC_OFF_TRANS,18
2013,_L_INC_OFF_TRANS,26
2014,_L_INC_OFF_TRANS,25
2015,_L_INC_OFF_TRANS,22
2016,_L_INC_OFF_TRANS,21
2017,_L_INC_OFF_TRANS,25
2018,_L_INC_OFF_TRANS,16
2019,_L_INC_OFF_TRANS,22
2020,_L_INC_OFF_TRANS,20
2007,_L_INC_NON_TAX,51
2008,_L_INC_NON_TAX,44
2009,_L_INC_NON_TAX,45
2010,_L_INC_NON_TAX,50
2011,_L_INC_NON_TAX,55
2012,_L_INC_NON_TAX,56
2013,_L_INC_NON_TAX,56
2014,_L_INC_NON_TAX,67
2015,_L_INC_NON_TAX,80
2016,_L_INC_NON_TAX,56
2017,_L_INC_NON_TAX,57
2018,_L_INC_NON_TAX,45
2019,_L_INC_NON_TAX,52
2020,_L_INC_NON_TAX,55
2007,_L_INC_NON_FIN,3
2008,_L_INC_NON_FIN,6
2009,_L_INC_NON_FIN,1
2010,_L_INC_NON_FIN,3
2011,_L_INC_NON_FIN,2
2012,_L_INC_NON_FIN,1
2013,_L_INC_NON_FIN,0
2014,_L_INC_NON_FIN,0
2015,_L_INC_NON_FIN,0
2016,_L_INC_NON_FIN,0
2017,_L_INC_NON_FIN,0
2018,_L_INC_NON_FIN,0
2019,_L_INC_NON_FIN,0
2020,_L_INC_NON_FIN,0
