Year,SERIES,Value
2010,Number of women who contacted forensic medical units due to domestic violence,1308
2011,Number of women who contacted forensic medical units due to domestic violence,1453
2012,Number of women who contacted forensic medical units due to domestic violence,1900
2013,Number of women who contacted forensic medical units due to domestic violence,1589
2014,Number of women who contacted forensic medical units due to domestic violence,1988
2015,Number of women who contacted forensic medical units due to domestic violence,936
2016,Number of women who contacted forensic medical units due to domestic violence,1172
2017,Number of women who contacted forensic medical units due to domestic violence,1382
2018,Number of women who contacted forensic medical units due to domestic violence,1305
2019,Number of women who contacted forensic medical units due to domestic violence,1764
2020,Number of women who contacted forensic medical units due to domestic violence,1713
2021,Number of women who contacted forensic medical units due to domestic violence,1860
2010,Number of women who contacted paramedic-midwifery units due to domestic violence,68
2011,Number of women who contacted paramedic-midwifery units due to domestic violence,155
2012,Number of women who contacted paramedic-midwifery units due to domestic violence,16
2013,Number of women who contacted paramedic-midwifery units due to domestic violence,48
2014,Number of women who contacted paramedic-midwifery units due to domestic violence,35
2015,Number of women who contacted paramedic-midwifery units due to domestic violence,12
2016,Number of women who contacted paramedic-midwifery units due to domestic violence,2
2017,Number of women who contacted paramedic-midwifery units due to domestic violence,1
2019,Number of women who contacted paramedic-midwifery units due to domestic violence,2
2020,Number of women who contacted paramedic-midwifery units due to domestic violence,1
2021,Number of women who contacted paramedic-midwifery units due to domestic violence,1
2010,"Number of women who contacted healthcare organizations that provide health
and preventive care, due to domestic violence",401
2011,"Number of women who contacted healthcare organizations that provide health
and preventive care, due to domestic violence",581
2012,"Number of women who contacted healthcare organizations that provide health
and preventive care, due to domestic violence",509
2013,"Number of women who contacted healthcare organizations that provide health
and preventive care, due to domestic violence",508
2014,"Number of women who contacted healthcare organizations that provide health
and preventive care, due to domestic violence",495
2015,"Number of women who contacted healthcare organizations that provide health
and preventive care, due to domestic violence",666
2016,"Number of women who contacted healthcare organizations that provide health
and preventive care, due to domestic violence",657
2017,"Number of women who contacted healthcare organizations that provide health
and preventive care, due to domestic violence",629
2018,"Number of women who contacted healthcare organizations that provide health
and preventive care, due to domestic violence",555
2019,"Number of women who contacted healthcare organizations that provide health
and preventive care, due to domestic violence",539
2020,"Number of women who contacted healthcare organizations that provide health
and preventive care, due to domestic violence",379
2021,"Number of women who contacted healthcare organizations that provide health
and preventive care, due to domestic violence",510
2010,"Number of women who contacted ambulance stations (units, hospitals) due to domestic violence",414
2011,"Number of women who contacted ambulance stations (units, hospitals) due to domestic violence",320
2012,"Number of women who contacted ambulance stations (units, hospitals) due to domestic violence",498
2013,"Number of women who contacted ambulance stations (units, hospitals) due to domestic violence",822
2014,"Number of women who contacted ambulance stations (units, hospitals) due to domestic violence",570
2015,"Number of women who contacted ambulance stations (units, hospitals) due to domestic violence",485
2016,"Number of women who contacted ambulance stations (units, hospitals) due to domestic violence",372
2017,"Number of women who contacted ambulance stations (units, hospitals) due to domestic violence",176
2018,"Number of women who contacted ambulance stations (units, hospitals) due to domestic violence",47
2019,"Number of women who contacted ambulance stations (units, hospitals) due to domestic violence",211
2020,"Number of women who contacted ambulance stations (units, hospitals) due to domestic violence",180
2021,"Number of women who contacted ambulance stations (units, hospitals) due to domestic violence",178
2010,Number of women treated for injuries resulting from domestic violence,445
2011,Number of women treated for injuries resulting from domestic violence,491
2012,Number of women treated for injuries resulting from domestic violence,504
2013,Number of women treated for injuries resulting from domestic violence,600
2014,Number of women treated for injuries resulting from domestic violence,731
2015,Number of women treated for injuries resulting from domestic violence,1896
2016,Number of women treated for injuries resulting from domestic violence,1404
2017,Number of women treated for injuries resulting from domestic violence,1084
2018,Number of women treated for injuries resulting from domestic violence,970
2019,Number of women treated for injuries resulting from domestic violence,939
2020,Number of women treated for injuries resulting from domestic violence,798
2021,Number of women treated for injuries resulting from domestic violence,822
