Year,REF_AREA,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,COMMENT_OBS,Value
2018,,,,,,19.2
2018,,U,,,,47.5
2018,,R,,,,3.2
2018,KG05,,,,,2.8
2018,KG03,,,,,15.9
2018,KG02,,,,,13.6
2018,KG04,,,,,7.1
2018,KG06,,,,,1.3
2018,KG07,,,,,8.8
2018,KG08,,,,,11.1
2018,KG11,,,,,59.9
2018,KG21,,,,,32.1
2018,,,,ISCED11_1,Education of head houshold,6.8
2018,,,,ISCED11_2,Education of head houshold,10.5
2018,,,,ISCED11_3,Education of head houshold,11.4
2018,,,,ISCED11_4,Education of head houshold,19.7
2018,,,,ISCED11_6_7,Education of head houshold,38.9
2018,,,Q1,,,1.0
2018,,,Q2,,,2.6
2018,,,Q3,,,6.1
2018,,,Q4,,,9.3
2018,,,Q5,,,76.9
