Year,Пол,Возраст,Уровень образования,COMPOSITE_BREAKDOWN,Value
2009,,,,,2093
2010,,,,,1789
2011,,,,,1809
2012,,,,,2415
2013,,,,,2339
2014,,,,,2629
2015,,,,,3333
2016,,,,,7005
2017,,,,,7323
2018,,,,,7178
2019,,,,,6490
2020,,,,,8577
2021,,,,,9038
2022,,,,,8725
2009,Женщины,,,,1927
2010,Женщины,,,,1659
2011,Женщины,,,,1714
2012,Женщины,,,,2341
2013,Женщины,,,,2269
2014,Женщины,,,,2531
2015,Женщины,,,,3229
2016,Женщины,,,,6795
2017,Женщины,,,,6966
2018,Женщины,,,,6562
2019,Женщины,,,,5989
2020,Женщины,,,,8060
2021,Женщины,,,,8587
2022,Женщины,,,,8347
2009,Мужчины,,,,166
2010,Мужчины,,,,130
2011,Мужчины,,,,95
2012,Мужчины,,,,74
2013,Мужчины,,,,70
2014,Мужчины,,,,98
2015,Мужчины,,,,104
2016,Мужчины,,,,210
2017,Мужчины,,,,357
2018,Мужчины,,,,616
2019,Мужчины,,,,501
2020,Мужчины,,,,517
2021,Мужчины,,,,451
2022,Мужчины,,,,378
2009,,до 20 лет,,,126
2010,,до 20 лет,,,212
2011,,до 20 лет,,,37
2012,,до 20 лет,,,92
2013,,до 20 лет,,,73
2014,,до 20 лет,,,100
2015,,до 20 лет,,,134
2016,,до 20 лет,,,533
2017,,до 20 лет,,,394
2018,,до 20 лет,,,250
2019,,до 20 лет,,,561
2009,,от 21 до 30 лет,,,738
2010,,от 21 до 30 лет,,,634
2011,,от 21 до 30 лет,,,476
2012,,от 21 до 30 лет,,,654
2013,,от 21 до 30 лет,,,678
2014,,от 21 до 30 лет,,,837
2015,,от 21 до 30 лет,,,1054
2016,,от 21 до 30 лет,,,2085
2017,,от 21 до 30 лет,,,1888
2018,,от 21 до 30 лет,,,2108
2019,,от 21 до 30 лет,,,1879
2009,,от 31 до 40 лет,,,762
2010,,от 31 до 40 лет,,,552
2011,,от 31 до 40 лет,,,687
2012,,от 31 до 40 лет,,,1108
2013,,от 31 до 40 лет,,,957
2014,,от 31 до 40 лет,,,904
