Year,Сноски на уровне наблюдения,Территория,Пол,Возраст,Тип местности,Уровень дохода или квантиль благосостояния,Статус инвалидности,GeoCode,Value
2014,743,,,,,,,,571
2023,,,,,,,,,649
2014,755,,Мужчины,,,,,,599
2023,,,Мужчины,,,,,,690
2014,730,,Женщины,,,,,,544
2023,,,Женщины,,,,,,607
2014,769,,,,Городская,,,,600
2023,,,,,Городская,,,,650
2014,731,,,,Сельская,,,,560
2023,,,,,Сельская,,,,648
2014,468,Баткенская область,,,,,,KG05,494
2023,,Баткенская область,,,,,,KG05,634
2014,655,Джалал-Абадская область,,,,,,KG03,429
2023,,Джалал-Абадская область,,,,,,KG03,546
2014,809,Иссык-Кульская область,,,,,,KG02,482
2023,,Иссык-Кульская область,,,,,,KG02,522
2014,740,Нарынская область,,,,,,KG04,580
2023,,Нарынская область,,,,,,KG04,820
2014,744,Ошская область,,,,,,KG06,578
2023,,Ошская область,,,,,,KG06,707
2014,799,Таласская область,,,,,,KG07,711
2023,,Таласская область,,,,,,KG07,751
2014,835,Чуйская область,,,,,,KG08,668
2023,,Чуйская область,,,,,,KG08,625
2014,805,г. Бишкек,,,,,,KG11,703
2023,,г. Бишкек,,,,,,KG11,616
2014,856,г. Ош,,,,,,KG21,711
2023,,г. Ош,,,,,,KG21,828
2014,553,,,от 1 до 2 лет,,,,,455
2023,,,,от 1 до 2 лет,,,,,445
2014,712,,,от 3 до 4 лет,,,,,671
2023,,,,от 3 до 4 лет,,,,,637
2014,794,,,от 5 до 9 лет,,,,,619
2023,,,,от 5 до 9 лет,,,,,693
2014,788,,,от 10 до 14 лет,,,,,527
2023,,,,от 10 до 14 лет,,,,,677
2023,,,,,,,Ребенок с инвалидностью,,673
2023,,,,,,,Ребенок без инвалидности,,668
2023,,,,,,,Наличие инвалидности у матери,,687
2023,,,,,,,Отсутствие инвалидности у матери,,662
2014,709,,,,,Квинтиль 1 (беднейшие),,,551
2023,,,,,,Квинтиль 1 (беднейшие),,,659
2014,706,,,,,Квинтиль 2,,,581
2023,,,,,,Квинтиль 2,,,666
2014,731,,,,,Квинтиль 3,,,547
2023,,,,,,Квинтиль 3,,,639
2014,814,,,,,Квинтиль 4,,,565
2023,,,,,,Квинтиль 4,,,647
2014,774,,,,,Квинтиль 5 (богатейшие),,,625
2023,,,,,,Квинтиль 5 (богатейшие),,,627
