Year,Series,Пол,Value
2014,_L_KG_160501_1B1,,378
2015,_L_KG_160501_1B1,,336
2016,_L_KG_160501_1B1,,351
2017,_L_KG_160501_1B1,,234
2018,_L_KG_160501_1B1,,342
2019,_L_KG_160501_1B1,,242
2014,_L_KG_160501_1B2,,62
2015,_L_KG_160501_1B2,,69
2016,_L_KG_160501_1B2,,72
2017,_L_KG_160501_1B2,,52
2018,_L_KG_160501_1B2,,56
2019,_L_KG_160501_1B2,,79
2014,_L_KG_160501_1B1,Мужчины,323
2015,_L_KG_160501_1B1,Мужчины,278
2016,_L_KG_160501_1B1,Мужчины,286
2017,_L_KG_160501_1B1,Мужчины,196
2018,_L_KG_160501_1B1,Мужчины,297
2019,_L_KG_160501_1B1,Мужчины,210
2014,_L_KG_160501_1B2,Мужчины,57
2015,_L_KG_160501_1B2,Мужчины,65
2016,_L_KG_160501_1B2,Мужчины,61
2017,_L_KG_160501_1B2,Мужчины,44
2018,_L_KG_160501_1B2,Мужчины,53
2019,_L_KG_160501_1B2,Мужчины,68
2014,_L_KG_160501_1B1,Женщины,55
2015,_L_KG_160501_1B1,Женщины,58
2016,_L_KG_160501_1B1,Женщины,65
2017,_L_KG_160501_1B1,Женщины,38
2018,_L_KG_160501_1B1,Женщины,45
2019,_L_KG_160501_1B1,Женщины,32
2014,_L_KG_160501_1B2,Женщины,5
2015,_L_KG_160501_1B2,Женщины,4
2016,_L_KG_160501_1B2,Женщины,11
2017,_L_KG_160501_1B2,Женщины,8
2018,_L_KG_160501_1B2,Женщины,3
2019,_L_KG_160501_1B2,Женщины,11
