Year,Пол,Возраст,Value
2015,Мужчины,15 лет,53.5
2016,Мужчины,15 лет,53.7
2017,Мужчины,15 лет,53.8
2018,Мужчины,15 лет,54.0
2019,Мужчины,15 лет,54.2
2020,Мужчины,15 лет,54.2
2021,Мужчины,15 лет,54.4
2022,Мужчины,15 лет,54.4
2023,Мужчины,15 лет,54.7
2015,Мужчины,45 лет,26.5
2016,Мужчины,45 лет,26.2
2017,Мужчины,45 лет,26.2
2018,Мужчины,45 лет,26.2
2019,Мужчины,45 лет,26.4
2020,Мужчины,45 лет,26.3
2021,Мужчины,45 лет,26.7
2022,Мужчины,45 лет,26.3
2023,Мужчины,45 лет,26.5
2015,Мужчины,65 лет,11.7
2016,Мужчины,65 лет,10.9
2017,Мужчины,65 лет,11.0
2018,Мужчины,65 лет,10.7
2019,Мужчины,65 лет,10.8
2020,Мужчины,65 лет,10.7
2021,Мужчины,65 лет,11.5
2022,Мужчины,65 лет,10.1
2023,Мужчины,65 лет,9.8
2015,Женщины,15 лет,61.4
2016,Женщины,15 лет,61.6
2017,Женщины,15 лет,61.8
2018,Женщины,15 лет,62.0
2019,Женщины,15 лет,62.1
2020,Женщины,15 лет,62.3
2021,Женщины,15 лет,62.5
2022,Женщины,15 лет,62.6
2023,Женщины,15 лет,62.9
2015,Женщины,45 лет,32.8
2016,Женщины,45 лет,33.0
2017,Женщины,45 лет,33.0
2018,Женщины,45 лет,33.2
2019,Женщины,45 лет,33.2
2020,Женщины,45 лет,33.5
2021,Женщины,45 лет,33.7
2022,Женщины,45 лет,33.6
2023,Женщины,45 лет,33.8
2015,Женщины,65 лет,15.8
2016,Женщины,65 лет,15.8
2017,Женщины,65 лет,15.8
2018,Женщины,65 лет,15.9
2019,Женщины,65 лет,15.8
2020,Женщины,65 лет,16.0
2021,Женщины,65 лет,16.6
2022,Женщины,65 лет,15.9
2023,Женщины,65 лет,16.0
