Year,SERIES,Value
2007,"Доля мест, занимаемых женщинами в национальных парламентах (% от общего числа мест)",25.6
2008,"Доля мест, занимаемых женщинами в национальных парламентах (% от общего числа мест)",25.6
2009,"Доля мест, занимаемых женщинами в национальных парламентах (% от общего числа мест)",25.6
2010,"Доля мест, занимаемых женщинами в национальных парламентах (% от общего числа мест)",23.5
2011,"Доля мест, занимаемых женщинами в национальных парламентах (% от общего числа мест)",20.8
2012,"Доля мест, занимаемых женщинами в национальных парламентах (% от общего числа мест)",20.8
2013,"Доля мест, занимаемых женщинами в национальных парламентах (% от общего числа мест)",22.5
2014,"Доля мест, занимаемых женщинами в национальных парламентах (% от общего числа мест)",21.7
2015,"Доля мест, занимаемых женщинами в национальных парламентах (% от общего числа мест)",21.7
2016,"Доля мест, занимаемых женщинами в национальных парламентах (% от общего числа мест)",15.8
2017,"Доля мест, занимаемых женщинами в национальных парламентах (% от общего числа мест)",16.7
2018,"Доля мест, занимаемых женщинами в национальных парламентах (% от общего числа мест)",15.8
2019,"Доля мест, занимаемых женщинами в национальных парламентах (% от общего числа мест)",16.7
2020,"Доля мест, занимаемых женщинами в национальных парламентах (% от общего числа мест)",16.7
2021,"Доля мест, занимаемых женщинами в национальных парламентах (% от общего числа мест)",20.5
2016,"Доля мест, занимаемых женщинами в местных органах власти (% от общего числа мест)",15.61
2017,"Доля мест, занимаемых женщинами в местных органах власти (% от общего числа мест)",15.09
2018,"Доля мест, занимаемых женщинами в местных органах власти (% от общего числа мест)",14.96
2019,"Доля мест, занимаемых женщинами в местных органах власти (% от общего числа мест)",15.16
2020,"Доля мест, занимаемых женщинами в местных органах власти (% от общего числа мест)",14.98
2021,"Доля мест, занимаемых женщинами в местных органах власти (% от общего числа мест)",31.55
2022,"Доля мест, занимаемых женщинами в местных органах власти (% от общего числа мест)",36.46
