Value,Disaggregation combinations using this value,Number of indicators
"According to Multiple Indicator Cluster Survey, 2014",60,3
"According to Multiple Indicator Cluster Survey, 2014.",29,1
"According to Multiple Indicator Cluster Survey,2014",26,1
"According to Multiple Indicator Cluster Survey, 2018.",46,2
"According to Multiple Indicator Cluster Survey, 2018",75,3
Education of head houshold,5,1
education of mother,4,1
Education of mother,9,2
household head education,5,1
including Osh city,1,1
until 2013 y. including Osh city,1,1
