Value,Disaggregation combinations using this value,Number of indicators
Accommodation and food service activities,4,3
Activities of extraterritorial organisations and bodies,1,1
Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,1,1
Administrative and support service activities,4,3
"Agriculture, forestry and fishing",6,5
"Arts, entertainment and recreation",4,3
Construction,5,4
Education,4,3
"Electricity, gas, steam and air conditioning supply",4,3
Financial and insurance activities,4,3
Human health and social work activities,4,3
Industry (total),2,2
Information and communication,4,3
Manufacturing,4,3
Mining and quarrying,4,3
Other service activities,5,4
"Professional, scientific and technical activities",4,3
Public administration and defence; compulsory social security,3,2
Real estate activities,4,3
Transportation and storage,4,3
"Water supply; sewerage, waste management and remediation activities",4,3
Wholesale and retail trade; repair of motor vehicles and motorcycles,4,3
