Value,Disaggregation combinations using this value,Number of indicators
Above-ground biomass in forest per hectare (tonnes per hectare),1,1
Arable land for reasons of non-use,7,1
Arable land,1,1
Assets to GDP,1,1
"Budget deficit and sources of financing, milllion soms",1,1
Deposits to GDP,1,1
Electricity production by hydropower plants,1,1
"Export, million USD",1,1
Fatal occupational injuries among employees (rate),26,1
"Foreign trade, as a percentage of the previous year",1,1
Freight volume (tonne kilometres),6,1
"GDP growth rate (decline), as a percentage of the previous year",1,1
"Import, million USD",1,1
Insurance premiums collected,1,1
Loans to GDP,1,1
Manufacturing value added as a proportion of GDP,1,1
Manufacturing value added per capita,1,1
"Median value, som per month per capita",1,1
Non-fatal occupational injuries among employees (rate),30,1
Number of appeals to the Ombudsman,1,1
"Number of automated teller machines (ATMs) per 100,000 adults",1,1
"Number of commercial bank branches per 100,000 adults",1,1
Number of convictions for malfeasance,3,1
Number of convictions for сorruption and bribery,3,1
Number of firearms seized,1,1
Number of firearms voluntarily surrendered,1,1
Number of insurance companies reporting,1,1
Number of pensioners who receive pensions below the subsistence level of the pensioner,1,1
Number of people with disabilities receiving pensions Monthly Social Allowance,1,1
Number of successful appeals to the Ombudsman,1,1
"Number of victims of intentional homicide per 100,000 population",10,1
Number of victims of intentional homicide,10,1
Number of women treated for injuries resulting from domestic violence,1,1
"Number of women who contacted ambulance stations (units, hospitals) due to domestic violence",1,1
Number of women who contacted forensic medical units due to domestic violence,1,1
"Number of women who contacted healthcare organizations that provide health
and preventive care, due to domestic violence",1,1
Number of women who contacted paramedic-midwifery units due to domestic violence,1,1
Passenger volume (passenger kilometres),6,1
Power generation at small hydroelecric plant,1,1
Power intensity of GDP by indusry,3,1
Prevalence of moderate or severe food insecurity in the population,12,1
Prevalence of severe food insecurity in the population,12,1
"Producer Price Indices, as a percentage of the previous year",1,1
Proportion of ​​agricultural crops fertilized with mineral fertilizers,1,1
Proportion of ​​agricultural crops fertilized with organic fertilizers,1,1
Proportion of children moderately or severely overweight,56,1
Proportion of children moderately or severely wasted (number),56,1
Proportion of drinking water samples that do not meet established microbiological standards,1,1
Proportion of drinking water samples that do not meet established sanitary-chemical standards,1,1
Proportion of forest area with a long-term management plan,1,1
Proportion of forest area within legally established protected areas,1,1
Proportion of government capital expenditure to sectors,5,1
Proportion of government recurrent expenditure to sectors,5,1
Proportion of pensioners who receive pensions below the subsistence level of the pensioner to total number of pensioners,1,1
Proportion of pensioners who receive pensions below the subsistence level of the pensioner to total population,1,1
Proportion of people living below 50 percent of median income,18,1
Proportion of people with disabilities receiving pensions Monthly Social Allowance to total population,1,1
Proportion of population covered by at least a 2G mobile network,1,1
Proportion of population covered by at least a 3G mobile network,1,1
Proportion of population covered by at least a 4G mobile network,1,1
Proportion of population receiving Monthly Allowance for Low-Income Families to total population,1,1
Proportion of population receiving retirement benefits to total population,1,1
Proportion of population receiving social assistance,1,1
Proportion of positions in public institutions: in administrative positions,3,1
Proportion of positions in public institutions: in political positions,3,1
Proportion of positions in public institutions: in special positions,3,1
Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),10,1
Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),10,1
Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),10,1
Proportion of time spent on unpaid care work,5,1
Proportion of time spent on unpaid domestic chores and care work,5,1
Proportion of time spent on unpaid domestic chores,5,1
"Proportion of total government spending on essential services (education, health and social protection)",1,1
"Proportion of total government spending on essential services, education",1,1
Proportion of total government spending on health,1,1
Proportion of total government spending on social protection,1,1
Proportion of women aged 15-49 years with anaemia [2.2.3],3,1
"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",10,1
Proportion of women aged 20-24 years who were married or in a union before age 15,20,1
Proportion of women aged 20-24 years who were married or in a union before age 18,20,1
"Rate of net change in forest area per year, ha",1,1
Share of employed in medium enterprises in total employment,1,1
Share of employed in small enterprises in total employment,1,1
Share of renewable energy sources in the total energy consumption,1,1
"The consumer price index, as a percentage of the previous year",1,1
"Volume of public debt, million soms",1,1
Water loss at transportation as proportion of total water withdrawal,10,1
Water loss at transportation (volume),10,1
