Year,Unit measure,Observation status,Unit multiplier,Value
2007,"Per 100,000 population",Normal value,Units,349.7
2008,"Per 100,000 population",Normal value,Units,346.3
2009,"Per 100,000 population",Normal value,Units,326.5
2010,"Per 100,000 population",Normal value,Units,323.9
2011,"Per 100,000 population",Normal value,Units,326.3
2012,"Per 100,000 population",Normal value,Units,331.2
2013,"Per 100,000 population",Normal value,Units,308.2
2014,"Per 100,000 population",Normal value,Units,307.0
2015,"Per 100,000 population",Normal value,Units,297.0
2016,"Per 100,000 population",Normal value,Units,279.7
2017,"Per 100,000 population",Normal value,Units,276.0
2007,"Per 100,000 population",Normal value,Units,289.2
2008,"Per 100,000 population",Normal value,Units,295.3
2009,"Per 100,000 population",Normal value,Units,301.8
2010,"Per 100,000 population",Normal value,Units,285.1
2011,"Per 100,000 population",Normal value,Units,305.7
2012,"Per 100,000 population",Normal value,Units,338.2
2013,"Per 100,000 population",Normal value,Units,289.5
2014,"Per 100,000 population",Normal value,Units,283.0
2015,"Per 100,000 population",Normal value,Units,284.8
2016,"Per 100,000 population",Normal value,Units,292.3
2017,"Per 100,000 population",Normal value,Units,284.3
2007,"Per 100,000 population",Normal value,Units,284.4
2008,"Per 100,000 population",Normal value,Units,298.4
2009,"Per 100,000 population",Normal value,Units,278.5
2010,"Per 100,000 population",Normal value,Units,266.2
2011,"Per 100,000 population",Normal value,Units,289.8
2012,"Per 100,000 population",Normal value,Units,286.2
2013,"Per 100,000 population",Normal value,Units,264.6
2014,"Per 100,000 population",Normal value,Units,264.6
2015,"Per 100,000 population",Normal value,Units,268.3
2016,"Per 100,000 population",Normal value,Units,249.0
2017,"Per 100,000 population",Normal value,Units,244.0
2007,"Per 100,000 population",Normal value,Units,425.5
2008,"Per 100,000 population",Normal value,Units,400.8
2009,"Per 100,000 population",Normal value,Units,378.8
2010,"Per 100,000 population",Normal value,Units,391.1
2011,"Per 100,000 population",Normal value,Units,360.5
2012,"Per 100,000 population",Normal value,Units,394.9
2013,"Per 100,000 population",Normal value,Units,385.8
2014,"Per 100,000 population",Normal value,Units,363.0
2015,"Per 100,000 population",Normal value,Units,361.0
2016,"Per 100,000 population",Normal value,Units,328.7
2017,"Per 100,000 population",Normal value,Units,325.9
2007,"Per 100,000 population",Normal value,Units,338.0
2008,"Per 100,000 population",Normal value,Units,314.3
2009,"Per 100,000 population",Normal value,Units,289.6
2010,"Per 100,000 population",Normal value,Units,301.1
2011,"Per 100,000 population",Normal value,Units,326.3
2012,"Per 100,000 population",Normal value,Units,318.2
2013,"Per 100,000 population",Normal value,Units,327.4
2014,"Per 100,000 population",Normal value,Units,317.6
2015,"Per 100,000 population",Normal value,Units,310.0
2016,"Per 100,000 population",Normal value,Units,312.8
2017,"Per 100,000 population",Normal value,Units,302.7
2007,"Per 100,000 population",Normal value,Units,256.5
2008,"Per 100,000 population",Normal value,Units,263.2
2009,"Per 100,000 population",Normal value,Units,278.7
2010,"Per 100,000 population",Normal value,Units,285.1
2011,"Per 100,000 population",Normal value,Units,275.2
2012,"Per 100,000 population",Normal value,Units,281.6
2013,"Per 100,000 population",Normal value,Units,264.4
2014,"Per 100,000 population",Normal value,Units,273.0
2015,"Per 100,000 population",Normal value,Units,265.7
2016,"Per 100,000 population",Normal value,Units,239.0
2017,"Per 100,000 population",Normal value,Units,240.8
2007,"Per 100,000 population",Normal value,Units,361.0
2008,"Per 100,000 population",Normal value,Units,353.3
2009,"Per 100,000 population",Normal value,Units,363.8
2010,"Per 100,000 population",Normal value,Units,333.8
2011,"Per 100,000 population",Normal value,Units,345.0
2012,"Per 100,000 population",Normal value,Units,342.5
2013,"Per 100,000 population",Normal value,Units,309.8
2014,"Per 100,000 population",Normal value,Units,332.7
2015,"Per 100,000 population",Normal value,Units,322.5
2016,"Per 100,000 population",Normal value,Units,288.7
2017,"Per 100,000 population",Normal value,Units,301.9
2007,"Per 100,000 population",Normal value,Units,562.2
2008,"Per 100,000 population",Normal value,Units,553.3
2009,"Per 100,000 population",Normal value,Units,479.6
2010,"Per 100,000 population",Normal value,Units,484.0
2011,"Per 100,000 population",Normal value,Units,467.0
2012,"Per 100,000 population",Normal value,Units,466.9
2013,"Per 100,000 population",Normal value,Units,441.6
2014,"Per 100,000 population",Normal value,Units,430.2
2015,"Per 100,000 population",Normal value,Units,400.8
2016,"Per 100,000 population",Normal value,Units,381.3
2017,"Per 100,000 population",Normal value,Units,377.7
2007,"Per 100,000 population",Normal value,Units,368.8
2008,"Per 100,000 population",Normal value,Units,337.4
2009,"Per 100,000 population",Normal value,Units,303.9
2010,"Per 100,000 population",Normal value,Units,298.3
2011,"Per 100,000 population",Normal value,Units,305.4
2012,"Per 100,000 population",Normal value,Units,297.0
2013,"Per 100,000 population",Normal value,Units,269.6
2014,"Per 100,000 population",Normal value,Units,272.6
2015,"Per 100,000 population",Normal value,Units,253.2
2016,"Per 100,000 population",Normal value,Units,242.5
2017,"Per 100,000 population",Normal value,Units,242.4
2007,"Per 100,000 population",Normal value,Units,248.9
2008,"Per 100,000 population",Normal value,Units,290.1
2009,"Per 100,000 population",Normal value,Units,273.8
2010,"Per 100,000 population",Normal value,Units,268.0
2011,"Per 100,000 population",Normal value,Units,281.9
2012,"Per 100,000 population",Normal value,Units,298.7
2013,"Per 100,000 population",Normal value,Units,266.8
2014,"Per 100,000 population",Normal value,Units,270.1
2015,"Per 100,000 population",Normal value,Units,253.5
2016,"Per 100,000 population",Normal value,Units,248.9
2017,"Per 100,000 population",Normal value,Units,240.4
2007,"Per 100,000 population",Normal value,Units,57.1
2008,"Per 100,000 population",Normal value,Units,58.2
2009,"Per 100,000 population",Normal value,Units,60.7
2010,"Per 100,000 population",Normal value,Units,59.4
2011,"Per 100,000 population",Normal value,Units,61.3
2012,"Per 100,000 population",Normal value,Units,59.4
2013,"Per 100,000 population",Normal value,Units,61.0
2014,"Per 100,000 population",Normal value,Units,64.3
2015,"Per 100,000 population",Normal value,Units,64.5
2016,"Per 100,000 population",Normal value,Units,64.4
2017,"Per 100,000 population",Normal value,Units,62.2
2007,"Per 100,000 population",Normal value,Units,32.3
2008,"Per 100,000 population",Normal value,Units,26.4
2009,"Per 100,000 population",Normal value,Units,30.2
2010,"Per 100,000 population",Normal value,Units,33.8
2011,"Per 100,000 population",Normal value,Units,33.9
2012,"Per 100,000 population",Normal value,Units,33.0
2013,"Per 100,000 population",Normal value,Units,32.1
2014,"Per 100,000 population",Normal value,Units,35.6
2015,"Per 100,000 population",Normal value,Units,42.3
2016,"Per 100,000 population",Normal value,Units,38.6
2017,"Per 100,000 population",Normal value,Units,32.6
2007,"Per 100,000 population",Normal value,Units,36.3
2008,"Per 100,000 population",Normal value,Units,42.0
2009,"Per 100,000 population",Normal value,Units,47.8
2010,"Per 100,000 population",Normal value,Units,46.3
2011,"Per 100,000 population",Normal value,Units,51.5
2012,"Per 100,000 population",Normal value,Units,47.3
2013,"Per 100,000 population",Normal value,Units,49.2
2014,"Per 100,000 population",Normal value,Units,51.0
2015,"Per 100,000 population",Normal value,Units,52.9
2016,"Per 100,000 population",Normal value,Units,54.2
2017,"Per 100,000 population",Normal value,Units,50.9
2007,"Per 100,000 population",Normal value,Units,74.6
2008,"Per 100,000 population",Normal value,Units,72.4
2009,"Per 100,000 population",Normal value,Units,78.7
2010,"Per 100,000 population",Normal value,Units,73.4
2011,"Per 100,000 population",Normal value,Units,74.0
2012,"Per 100,000 population",Normal value,Units,84.8
2013,"Per 100,000 population",Normal value,Units,81.8
2014,"Per 100,000 population",Normal value,Units,85.2
2015,"Per 100,000 population",Normal value,Units,89.1
2016,"Per 100,000 population",Normal value,Units,83.9
2017,"Per 100,000 population",Normal value,Units,80.9
2007,"Per 100,000 population",Normal value,Units,70.8
2008,"Per 100,000 population",Normal value,Units,72.0
2009,"Per 100,000 population",Normal value,Units,72.0
2010,"Per 100,000 population",Normal value,Units,66.7
2011,"Per 100,000 population",Normal value,Units,81.9
2012,"Per 100,000 population",Normal value,Units,63.8
2013,"Per 100,000 population",Normal value,Units,78.2
2014,"Per 100,000 population",Normal value,Units,82.4
2015,"Per 100,000 population",Normal value,Units,89.5
2016,"Per 100,000 population",Normal value,Units,88.1
2017,"Per 100,000 population",Normal value,Units,81.8
2007,"Per 100,000 population",Normal value,Units,38.1
2008,"Per 100,000 population",Normal value,Units,36.4
2009,"Per 100,000 population",Normal value,Units,40.7
2010,"Per 100,000 population",Normal value,Units,40.1
2011,"Per 100,000 population",Normal value,Units,43.6
2012,"Per 100,000 population",Normal value,Units,43.0
2013,"Per 100,000 population",Normal value,Units,43.0
2014,"Per 100,000 population",Normal value,Units,50.7
2015,"Per 100,000 population",Normal value,Units,50.6
2016,"Per 100,000 population",Normal value,Units,49.9
2017,"Per 100,000 population",Normal value,Units,49.1
2007,"Per 100,000 population",Normal value,Units,47.2
2008,"Per 100,000 population",Normal value,Units,54.7
2009,"Per 100,000 population",Normal value,Units,59.7
2010,"Per 100,000 population",Normal value,Units,66.0
2011,"Per 100,000 population",Normal value,Units,59.9
2012,"Per 100,000 population",Normal value,Units,58.5
2013,"Per 100,000 population",Normal value,Units,68.3
2014,"Per 100,000 population",Normal value,Units,68.9
2015,"Per 100,000 population",Normal value,Units,60.6
2016,"Per 100,000 population",Normal value,Units,70.7
2017,"Per 100,000 population",Normal value,Units,62.6
2007,"Per 100,000 population",Normal value,Units,88.1
2008,"Per 100,000 population",Normal value,Units,91.2
2009,"Per 100,000 population",Normal value,Units,95.3
2010,"Per 100,000 population",Normal value,Units,89.6
2011,"Per 100,000 population",Normal value,Units,92.0
2012,"Per 100,000 population",Normal value,Units,91.5
2013,"Per 100,000 population",Normal value,Units,88.3
2014,"Per 100,000 population",Normal value,Units,92.7
2015,"Per 100,000 population",Normal value,Units,82.6
2016,"Per 100,000 population",Normal value,Units,94.3
2017,"Per 100,000 population",Normal value,Units,91.3
2007,"Per 100,000 population",Normal value,Units,82.3
2008,"Per 100,000 population",Normal value,Units,82.6
2009,"Per 100,000 population",Normal value,Units,75.8
2010,"Per 100,000 population",Normal value,Units,78.1
2011,"Per 100,000 population",Normal value,Units,69.8
2012,"Per 100,000 population",Normal value,Units,67.4
2013,"Per 100,000 population",Normal value,Units,69.3
2014,"Per 100,000 population",Normal value,Units,73.1
2015,"Per 100,000 population",Normal value,Units,76.6
2016,"Per 100,000 population",Normal value,Units,66.5
2017,"Per 100,000 population",Normal value,Units,69.1
2007,"Per 100,000 population",Normal value,Units,46.8
2008,"Per 100,000 population",Normal value,Units,50.5
