Value,Disaggregation combinations using this value,Number of indicators
0.2,1,1
0.3,1,1
0.67,1,1
0.68,1,1
0.7,2,1
0.8,1,1
0.9,1,1
0.97,1,1
1.69,1,1
1.9,1,1
5.58,1,1
5.6,1,1
5.67,1,1
"According to Multiple Indicator Cluster Survey, 2014.",29,1
"According to Multiple Indicator Cluster Survey, 2014",92,3
"According to Multiple Indicator Cluster Survey, 2018",75,3
"According to Multiple Indicator Cluster Survey, 2018.",78,2
"According to Multiple Indicator Cluster Survey,2014",26,1
Education of head houshold,5,1
education of mother,4,1
Education of mother,17,3
household head education,5,1
including Osh city,1,1
until 2013 y. including Osh city,1,1
По данным лесоустройства 2022 года Лесной службы при Министерстве чрезвычайных ситуаций КР,8,1
