Value,Disaggregation combinations using this value,Number of indicators
"Доля важных с точки зрения биологического разнообразия районов суши и пресноводных районов, находящихся под охраной",1,1
"Доля местных органов власти, принявших и осуществляющих местные стратегии снижения риска бедствий",2,2
Процент завершения начального образования,25,1
Процент завершения неполного среднего образования,19,1
Процент завершения полного среднего образования,19,1
"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",31,1
"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",31,1
"Процентная доля домохозяйств, в которых есть приспособление для мытья рук, где имеются вода и мыло или другое моющее средство",22,1
"Процентная доля женщин в возрасте 15-24 лет, в последние 3 месяца выполнявших указанные действия с компьютером",10,1
"Процентная доля женщин в возрасте 15-49 лет, в последние 3 месяца выполнявших указанные действия с компьютером",10,1
"Процентная доля членов домохозяйств, которые пользуются улучшенными источниками питьевой воды, находящимися либо в их собственном жилище/дворе/на их собственном участке, либо не более чем в 30 минутах пути туда и обратно",22,1
"Процентная доля членов домохозяйств, которые пользуются улучшенными санитарно-гигиеническими устройствами не совместно с другими лицами",22,1
"Число местных органов власти, принявших и осуществляющих местные DRR стратегии по снижению риска бедствий в соответствии с национальными стратегиями",2,2
Число местных органов власти,2,2
