Year,Территория,Тип местности,Value
2011,,,92.4
2012,,,93.2
2013,,,89.6
2014,,,88.9
2015,,,89.1
2016,,,89.9
2017,,,91.1
2018,,,91.8
2019,,,94.060699
2011,,Городская,99.7
2012,,Городская,99.8
2013,,Городская,99.5
2014,,Городская,99.1
2015,,Городская,99.1
2016,,Городская,99.3
2017,,Городская,93.9
2018,,Городская,99.3
2019,,Городская,99.422592
2011,,Сельская,88.0
2012,,Сельская,89.4
2013,,Сельская,84.4
2014,,Сельская,83.3
2015,,Сельская,83.7
2016,,Сельская,84.9
2017,,Сельская,86.7
2018,,Сельская,87.8
2019,,Сельская,91.081092
2011,Баткенская область,,69.7
2012,Баткенская область,,70.0
2013,Баткенская область,,73.1
2014,Баткенская область,,74.3
2015,Баткенская область,,73.3
2016,Баткенская область,,74.1
2017,Баткенская область,,79.0
2018,Баткенская область,,83.6
2019,Баткенская область,,81.026395
2011,Джалал-Абадская область,,95.4
2012,Джалал-Абадская область,,96.0
2013,Джалал-Абадская область,,91.6
2014,Джалал-Абадская область,,89.5
2015,Джалал-Абадская область,,87.7
2016,Джалал-Абадская область,,87.3
2017,Джалал-Абадская область,,91.2
2018,Джалал-Абадская область,,86.4
2019,Джалал-Абадская область,,88.71095
2011,Иссык-Кульская область,,99.0
2012,Иссык-Кульская область,,99.0
2013,Иссык-Кульская область,,93.7
2014,Иссык-Кульская область,,96.8
2015,Иссык-Кульская область,,96.4
2016,Иссык-Кульская область,,97.3
2017,Иссык-Кульская область,,97.0
2018,Иссык-Кульская область,,96.0
2019,Иссык-Кульская область,,96.284686
2011,Нарынская область,,89.2
2012,Нарынская область,,89.1
2013,Нарынская область,,86.8
2014,Нарынская область,,84.4
2015,Нарынская область,,90.3
2016,Нарынская область,,95.9
2017,Нарынская область,,95.8
2018,Нарынская область,,96.3
2019,Нарынская область,,96.816529
2011,Ошская область,,86.4
2012,Ошская область,,88.7
2013,Ошская область,,73.7
2014,Ошская область,,72.9
2015,Ошская область,,74.5
2016,Ошская область,,76.4
2017,Ошская область,,77.3
2018,Ошская область,,83.2
2019,Ошская область,,92.436112
2011,Таласская область,,96.5
2012,Таласская область,,97.6
2013,Таласская область,,99.7
2014,Таласская область,,99.7
2015,Таласская область,,99.2
2016,Таласская область,,100.0
2017,Таласская область,,99.4
2018,Таласская область,,99.4
2019,Таласская область,,99.291966
2011,Чуйская область,,99.6
2012,Чуйская область,,99.8
2013,Чуйская область,,100.0
2014,Чуйская область,,100.0
2015,Чуйская область,,100.0
2016,Чуйская область,,100.0
2017,Чуйская область,,100.0
2018,Чуйская область,,100.0
2019,Чуйская область,,100.0
2011,г. Бишкек,,100.0
2012,г. Бишкек,,100.0
2013,г. Бишкек,,99.8
2014,г. Бишкек,,99.8
2015,г. Бишкек,,100.0
2016,г. Бишкек,,100.0
2017,г. Бишкек,,100.0
2018,г. Бишкек,,100.0
2019,г. Бишкек,,100.0
2013,г. Ош,,99.7
2014,г. Ош,,96.5
2015,г. Ош,,96.7
2016,г. Ош,,100.0
2017,г. Ош,,95.7
2018,г. Ош,,96.5
2019,г. Ош,,97.757015
