Year,Территория,Тип местности,GeoCode,Value
2015,,,,38.5
2016,,,,30.3
2017,,,,31.2
2018,,,,29.8
2019,,,,24.8
2020,,,,42.4
2021,,,,37.1
2022,,,,28.1
2023,,,,26.0
2024,,,,25.7
2015,Баткенская область,,KG05,32.6
2016,Баткенская область,,KG05,41.9
2017,Баткенская область,,KG05,59.4
2018,Баткенская область,,KG05,26.9
2019,Баткенская область,,KG05,32.3
2020,Баткенская область,,KG05,42.4
2021,Баткенская область,,KG05,45.7
2022,Баткенская область,,KG05,34.9
2023,Баткенская область,,KG05,14.5
2024,Баткенская область,,KG05,30.4
2015,Джалал-Абадская область,,KG03,56.4
2016,Джалал-Абадская область,,KG03,33.5
2017,Джалал-Абадская область,,KG03,50.3
2018,Джалал-Абадская область,,KG03,38.2
2019,Джалал-Абадская область,,KG03,34.1
2020,Джалал-Абадская область,,KG03,53.2
2021,Джалал-Абадская область,,KG03,30.5
2022,Джалал-Абадская область,,KG03,28.7
2023,Джалал-Абадская область,,KG03,46.9
2024,Джалал-Абадская область,,KG03,30.6
2015,Иссык-Кульская область,,KG02,17.8
2016,Иссык-Кульская область,,KG02,43.4
2017,Иссык-Кульская область,,KG02,37.0
2018,Иссык-Кульская область,,KG02,62.3
2019,Иссык-Кульская область,,KG02,18.9
2020,Иссык-Кульская область,,KG02,100.6
2021,Иссык-Кульская область,,KG02,103.5
2022,Иссык-Кульская область,,KG02,38.5
2023,Иссык-Кульская область,,KG02,26.5
2024,Иссык-Кульская область,,KG02,56.5
2015,Нарынская область,,KG04,30.6
2016,Нарынская область,,KG04,29.2
2018,Нарынская область,,KG04,135.9
2019,Нарынская область,,KG04,33.1
2020,Нарынская область,,KG04,52.6
2021,Нарынская область,,KG04,167.5
2022,Нарынская область,,KG04,48.0
2015,Ошская область,,KG06,30.6
2016,Ошская область,,KG06,27.7
2017,Ошская область,,KG06,25.6
2018,Ошская область,,KG06,22.2
2019,Ошская область,,KG06,25.5
2020,Ошская область,,KG06,24.5
2021,Ошская область,,KG06,33.3
2022,Ошская область,,KG06,25.6
2023,Ошская область,,KG06,30.2
2024,Ошская область,,KG06,7.3
2015,Таласская область,,KG07,15.1
2019,Таласская область,,KG07,33.3
2020,Таласская область,,KG07,51.9
2021,Таласская область,,KG07,37.1
2022,Таласская область,,KG07,104.5
2023,Таласская область,,KG07,63.9
2024,Таласская область,,KG07,70.1
2015,Чуйская область,,KG08,49.2
2016,Чуйская область,,KG08,43.5
2017,Чуйская область,,KG08,22.9
2018,Чуйская область,,KG08,20.1
2019,Чуйская область,,KG08,36.6
2020,Чуйская область,,KG08,46.1
2021,Чуйская область,,KG08,32.5
2022,Чуйская область,,KG08,23.5
2023,Чуйская область,,KG08,28.1
2024,Чуйская область,,KG08,50.2
2015,г. Бишкек,,KG11,30.5
2016,г. Бишкек,,KG11,17.6
2017,г. Бишкек,,KG11,13.4
2018,г. Бишкек,,KG11,14.4
2019,г. Бишкек,,KG11,10.1
2020,г. Бишкек,,KG11,26.8
2021,г. Бишкек,,KG11,19.3
2022,г. Бишкек,,KG11,34.3
2023,г. Бишкек,,KG11,13.5
2024,г. Бишкек,,KG11,27.0
2015,г. Ош,,KG21,68.1
2016,г. Ош,,KG21,13.5
2017,г. Ош,,KG21,51.9
2018,г. Ош,,KG21,16.7
2020,г. Ош,,KG21,33.6
2021,г. Ош,,KG21,16.5
2023,г. Ош,,KG21,14.0
2024,г. Ош,,KG21,8.6
2015,,Городская,,26.678354
2016,,Городская,,15.500872
2017,,Городская,,18.928997
2018,,Городская,,25.787319
2019,,Городская,,19.722071
2020,,Городская,,28.096387
2021,,Городская,,15.620851
2022,,Городская,,19.598556
2023,,Городская,,19.821114
2024,,Городская,,20.34588
2015,,Сельская,,44.154089
2016,,Сельская,,36.602534
2017,,Сельская,,37.701779
2018,,Сельская,,32.079778
2019,,Сельская,,27.889335
2020,,Сельская,,51.226359
2021,,Сельская,,54.557907
2022,,Сельская,,32.585734
2023,,Сельская,,28.404787
2024,,Сельская,,28.487219
